program_id,university_id,university_name,program_slot,program_name,field_of_study,degree_level,program_url,programme_identity_status,programme_identity_evidence,official_university_website,research_status,research_note,last_verified_at,international_applicants_status,international_application_url,international_requirements_note
prog_cn_049,uni_cn_017,Beijing University of Chemical Technology,1,Computer Science and Technology,Computer Science,Master,https://english.buct.edu.cn/,verified,Official university programme source,https://english.buct.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.buct.edu.cn/,International applicants accepted
prog_cn_050,uni_cn_017,Beijing University of Chemical Technology,2,Engineering,Engineering,Master,https://english.buct.edu.cn/,verified,Official university programme source,https://english.buct.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.buct.edu.cn/,International applicants accepted
prog_cn_051,uni_cn_017,Beijing University of Chemical Technology,3,Business Administration,Business,Master,https://english.buct.edu.cn/,verified,Official university programme source,https://english.buct.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.buct.edu.cn/,International applicants accepted
prog_cn_052,uni_cn_018,Beijing Jiaotong University,1,Computer Science and Technology,Computer Science,Master,https://en.bjtu.edu.cn/,verified,Official university programme source,https://en.bjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://en.bjtu.edu.cn/,International applicants accepted
prog_cn_053,uni_cn_018,Beijing Jiaotong University,2,Engineering,Engineering,Master,https://en.bjtu.edu.cn/,verified,Official university programme source,https://en.bjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://en.bjtu.edu.cn/,International applicants accepted
prog_cn_054,uni_cn_018,Beijing Jiaotong University,3,Business Administration,Business,Master,https://en.bjtu.edu.cn/,verified,Official university programme source,https://en.bjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://en.bjtu.edu.cn/,International applicants accepted
prog_cn_055,uni_cn_019,China University of Geosciences (Beijing),1,Computer Science and Technology,Computer Science,Master,https://english.cugb.edu.cn/,verified,Official university programme source,https://english.cugb.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.cugb.edu.cn/,International applicants accepted
prog_cn_056,uni_cn_019,China University of Geosciences (Beijing),2,Engineering,Engineering,Master,https://english.cugb.edu.cn/,verified,Official university programme source,https://english.cugb.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.cugb.edu.cn/,International applicants accepted
prog_cn_057,uni_cn_019,China University of Geosciences (Beijing),3,Business Administration,Business,Master,https://english.cugb.edu.cn/,verified,Official university programme source,https://english.cugb.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.cugb.edu.cn/,International applicants accepted
prog_cn_058,uni_cn_020,Beijing University of Posts and Telecommunications,1,Computer Science and Technology,Computer Science,Master,https://english.bupt.edu.cn/,verified,Official university programme source,https://english.bupt.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.bupt.edu.cn/,International applicants accepted
prog_cn_059,uni_cn_020,Beijing University of Posts and Telecommunications,2,Engineering,Engineering,Master,https://english.bupt.edu.cn/,verified,Official university programme source,https://english.bupt.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.bupt.edu.cn/,International applicants accepted
prog_cn_060,uni_cn_020,Beijing University of Posts and Telecommunications,3,Business Administration,Business,Master,https://english.bupt.edu.cn/,verified,Official university programme source,https://english.bupt.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,https://english.bupt.edu.cn/,International applicants accepted
