program_id,tuition_fee,tuition_currency,tuition_period,tuition_academic_year,tuition_student_scope,tuition_source_url,tuition_last_verified_at,tuition_note
prog_jp_018,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_014,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_015,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_013,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_007,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_008,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_009,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_001,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_003,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_002,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_012,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_010,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_011,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_025,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_026,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_027,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_032,991000,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_033,991000,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_031,991000,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
