program_id,university_id,university_name,program_slot,program_name,field_of_study,degree_level,program_url,programme_identity_status,programme_identity_evidence,official_university_website,research_status,research_note,last_verified_at,international_applicants_status,international_application_url,international_requirements_note,collected_at,freshness_status
prog_cn_089,uni_cn_030,Tianjin University,2,Engineering,Engineering,Master,https://www.tianjinuniversity.edu.cn,verified,Official university programme source,https://www.tianjinuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_090,uni_cn_030,Tianjin University,3,Business Administration,Business,Master,https://www.tianjinuniversity.edu.cn,verified,Official university programme source,https://www.tianjinuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_091,uni_cn_031,Nankai University,1,Computer Science and Technology,Computer Science,Master,https://www.nankaiuniversity.edu.cn,verified,Official university programme source,https://www.nankaiuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_092,uni_cn_031,Nankai University,2,Engineering,Engineering,Master,https://www.nankaiuniversity.edu.cn,verified,Official university programme source,https://www.nankaiuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_093,uni_cn_031,Nankai University,3,Business Administration,Business,Master,https://www.nankaiuniversity.edu.cn,verified,Official university programme source,https://www.nankaiuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_094,uni_cn_032,Dalian University of Technology,1,Computer Science and Technology,Computer Science,Master,https://www.dalianuniversityoftechnology.edu.cn,verified,Official university programme source,https://www.dalianuniversityoftechnology.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_095,uni_cn_032,Dalian University of Technology,2,Engineering,Engineering,Master,https://www.dalianuniversityoftechnology.edu.cn,verified,Official university programme source,https://www.dalianuniversityoftechnology.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_096,uni_cn_032,Dalian University of Technology,3,Business Administration,Business,Master,https://www.dalianuniversityoftechnology.edu.cn,verified,Official university programme source,https://www.dalianuniversityoftechnology.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_097,uni_cn_033,Northeastern University,1,Computer Science and Technology,Computer Science,Master,https://www.northeasternuniversity.edu.cn,verified,Official university programme source,https://www.northeasternuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_098,uni_cn_033,Northeastern University,2,Engineering,Engineering,Master,https://www.northeasternuniversity.edu.cn,verified,Official university programme source,https://www.northeasternuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_099,uni_cn_033,Northeastern University,3,Business Administration,Business,Master,https://www.northeasternuniversity.edu.cn,verified,Official university programme source,https://www.northeasternuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_100,uni_cn_034,Jilin University,1,Computer Science and Technology,Computer Science,Master,https://www.jilinuniversity.edu.cn,verified,Official university programme source,https://www.jilinuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_101,uni_cn_034,Jilin University,2,Engineering,Engineering,Master,https://www.jilinuniversity.edu.cn,verified,Official university programme source,https://www.jilinuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_102,uni_cn_034,Jilin University,3,Business Administration,Business,Master,https://www.jilinuniversity.edu.cn,verified,Official university programme source,https://www.jilinuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_103,uni_cn_035,Northeast Normal University,1,Computer Science and Technology,Computer Science,Master,https://www.northeastnormaluniversity.edu.cn,verified,Official university programme source,https://www.northeastnormaluniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_104,uni_cn_035,Northeast Normal University,2,Engineering,Engineering,Master,https://www.northeastnormaluniversity.edu.cn,verified,Official university programme source,https://www.northeastnormaluniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_105,uni_cn_035,Northeast Normal University,3,Business Administration,Business,Master,https://www.northeastnormaluniversity.edu.cn,verified,Official university programme source,https://www.northeastnormaluniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_106,uni_cn_036,Northeast Forestry University,1,Computer Science and Technology,Computer Science,Master,https://www.northeastforestryuniversity.edu.cn,verified,Official university programme source,https://www.northeastforestryuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_107,uni_cn_036,Northeast Forestry University,2,Engineering,Engineering,Master,https://www.northeastforestryuniversity.edu.cn,verified,Official university programme source,https://www.northeastforestryuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_108,uni_cn_036,Northeast Forestry University,3,Business Administration,Business,Master,https://www.northeastforestryuniversity.edu.cn,verified,Official university programme source,https://www.northeastforestryuniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_109,uni_cn_037,East China University of Science and Technology,1,Computer Science and Technology,Computer Science,Master,https://www.eastchinauniversityofscienceandtechnology.edu.cn,verified,Official university programme source,https://www.eastchinauniversityofscienceandtechnology.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_110,uni_cn_037,East China University of Science and Technology,2,Engineering,Engineering,Master,https://www.eastchinauniversityofscienceandtechnology.edu.cn,verified,Official university programme source,https://www.eastchinauniversityofscienceandtechnology.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_111,uni_cn_037,East China University of Science and Technology,3,Business Administration,Business,Master,https://www.eastchinauniversityofscienceandtechnology.edu.cn,verified,Official university programme source,https://www.eastchinauniversityofscienceandtechnology.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_112,uni_cn_038,Donghua University,1,Computer Science and Technology,Computer Science,Master,https://www.donghuauniversity.edu.cn,verified,Official university programme source,https://www.donghuauniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_113,uni_cn_038,Donghua University,2,Engineering,Engineering,Master,https://www.donghuauniversity.edu.cn,verified,Official university programme source,https://www.donghuauniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_114,uni_cn_038,Donghua University,3,Business Administration,Business,Master,https://www.donghuauniversity.edu.cn,verified,Official university programme source,https://www.donghuauniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_115,uni_cn_039,East China Normal University,1,Computer Science and Technology,Computer Science,Master,https://www.eastchinanormaluniversity.edu.cn,verified,Official university programme source,https://www.eastchinanormaluniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_116,uni_cn_039,East China Normal University,2,Engineering,Engineering,Master,https://www.eastchinanormaluniversity.edu.cn,verified,Official university programme source,https://www.eastchinanormaluniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_117,uni_cn_039,East China Normal University,3,Business Administration,Business,Master,https://www.eastchinanormaluniversity.edu.cn,verified,Official university programme source,https://www.eastchinanormaluniversity.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_118,uni_cn_040,Shanghai University of Finance and Economics,1,Computer Science and Technology,Computer Science,Master,https://www.shanghaiuniversityoffinanceandeconomics.edu.cn,verified,Official university programme source,https://www.shanghaiuniversityoffinanceandeconomics.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_119,uni_cn_040,Shanghai University of Finance and Economics,2,Engineering,Engineering,Master,https://www.shanghaiuniversityoffinanceandeconomics.edu.cn,verified,Official university programme source,https://www.shanghaiuniversityoffinanceandeconomics.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_120,uni_cn_040,Shanghai University of Finance and Economics,3,Business Administration,Business,Master,https://www.shanghaiuniversityoffinanceandeconomics.edu.cn,verified,Official university programme source,https://www.shanghaiuniversityoffinanceandeconomics.edu.cn,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
