"program_id","university_id","university_name","country_id","program_slot","program_name","degree_level","field_of_study","program_url","programme_identity_status","programme_identity_evidence","international_applicants_status","international_application_url","international_requirements_note","programme_eligibility_evidence","programme_eligibility_research_status","university_international_students_status","university_international_admissions_url","university_international_admissions_note","university_eligibility_evidence","university_eligibility_research_status","official_university_website","verification_method","last_verified_at","research_note"
"prog_hk_011","uni_hk_004","The Hong Kong Polytechnic University","country_hk","2","Bachelor of Science (Honours) Scheme in Data Science and Artificial Intelligence","Bachelor","Data Science and Artificial Intelligence","https://www.polyu.edu.hk/dsai/study/ug/prospective-students/bsc-scheme-in-data-science-and-artificial-intelligence/","VERIFIED","Official university admissions programme page verified for 2026/27 undergraduate admission.","verified_yes","https://www.polyu.edu.hk/dsai/study/ug/prospective-students/bsc-scheme-in-data-science-and-artificial-intelligence/","Official PolyU programme page explicitly provides an International Students route for non-local students with international qualifications.","Official university admissions source supports international/non-local application to this programme.","VERIFIED","verified_yes","https://www.polyu.edu.hk/study/ug/admissions/international-other-qualifications/international-other-qualifications-general","PolyU welcomes applicants from around the world using international and other non-local qualifications.","Official PolyU international qualifications source.","VERIFIED","http://www.polyu.edu.hk/web/en/home/index.html","OFFICIAL_UNIVERSITY_SOURCE","2026-08-21","Batch 1 official-source verification. Programme availability does not waive applicant-specific academic, language, visa, or programme requirements."
"prog_hk_012","uni_hk_004","The Hong Kong Polytechnic University","country_hk","3","Bachelor's Degree Scheme in Business Administration","Bachelor","Business Administration","https://www.polyu.edu.hk/study/ug/international/2026/js3003","VERIFIED","Official university admissions programme page verified for 2026/27 undergraduate admission.","verified_yes","https://www.polyu.edu.hk/study/ug/international/2026/js3003","Official PolyU international programme page provides Non-Local International / Other Qualification admission.","Official university admissions source supports international/non-local application to this programme.","VERIFIED","verified_yes","https://www.polyu.edu.hk/study/ug/admissions/international-other-qualifications/international-other-qualifications-general","PolyU welcomes applicants from around the world using international and other non-local qualifications.","Official PolyU international qualifications source.","VERIFIED","http://www.polyu.edu.hk/web/en/home/index.html","OFFICIAL_UNIVERSITY_SOURCE","2026-08-21","Batch 1 official-source verification. Programme availability does not waive applicant-specific academic, language, visa, or programme requirements."
"prog_hk_013","uni_hk_005","City University of Hong Kong","country_hk","1","BSc Computer Science","Bachelor","Computer Science","https://www.cityu.edu.hk/admo/programmes/bsc-computer-science","VERIFIED","Official university admissions programme page verified for 2026/27 undergraduate admission.","verified_yes","https://www.cityu.edu.hk/admo/programmes/bsc-computer-science","Official CityUHK programme page explicitly includes International Admission.","Official university admissions source supports international/non-local application to this programme.","VERIFIED","verified_yes","https://www.cityu.edu.hk/admo/admissions","CityUHK provides a dedicated International Admission route for non-local undergraduate applicants.","Official CityUHK undergraduate admissions source.","VERIFIED","https://www.cityu.edu.hk","OFFICIAL_UNIVERSITY_SOURCE","2026-08-21","Batch 1 official-source verification. Programme availability does not waive applicant-specific academic, language, visa, or programme requirements."
"prog_hk_014","uni_hk_005","City University of Hong Kong","country_hk","2","Data Science (Majors: BSc Data Science / BSc Data and Systems Engineering)","Bachelor","Data Science and Systems Engineering","https://www.cityu.edu.hk/admo/programmes/school-data-science-options-bsc-data-science-bsc-data-and-systems-engineering","VERIFIED","Official university admissions programme page verified for 2026/27 undergraduate admission.","verified_yes","https://www.cityu.edu.hk/admo/programmes/school-data-science-options-bsc-data-science-bsc-data-and-systems-engineering","Official CityUHK programme page explicitly includes International Admission.","Official university admissions source supports international/non-local application to this programme.","VERIFIED","verified_yes","https://www.cityu.edu.hk/admo/admissions","CityUHK provides a dedicated International Admission route for non-local undergraduate applicants.","Official CityUHK undergraduate admissions source.","VERIFIED","https://www.cityu.edu.hk","OFFICIAL_UNIVERSITY_SOURCE","2026-08-21","Batch 1 official-source verification. Programme availability does not waive applicant-specific academic, language, visa, or programme requirements."
"prog_hk_015","uni_hk_005","City University of Hong Kong","country_hk","3","BBA Global Business","Bachelor","Business Administration and Global Business","https://www.cityu.edu.hk/admo/programmes/bba-global-business","VERIFIED","Official university admissions programme page verified for 2026/27 undergraduate admission.","verified_yes","https://www.cityu.edu.hk/admo/programmes/bba-global-business","Official CityUHK programme page explicitly includes International Admission.","Official university admissions source supports international/non-local application to this programme.","VERIFIED","verified_yes","https://www.cityu.edu.hk/admo/admissions","CityUHK provides a dedicated International Admission route for non-local undergraduate applicants.","Official CityUHK undergraduate admissions source.","VERIFIED","https://www.cityu.edu.hk","OFFICIAL_UNIVERSITY_SOURCE","2026-08-21","Batch 1 official-source verification. Programme availability does not waive applicant-specific academic, language, visa, or programme requirements."
"prog_hk_016","uni_hk_006","Hong Kong Baptist University","country_hk","1","Bachelor of Science (Hons) in Business Computing and Data Analytics","Bachelor","Business Computing and Data Analytics","https://admissions.hkbu.edu.hk/programmes/faculty-of-science/bachelor-of-science-hons-in-business-computing-and-data-analytics-year1.html","VERIFIED","Current official programme/admissions source confirms the programme identity.","verified_yes","https://admissions.hkbu.edu.hk/programmes/faculty-of-science/bachelor-of-science-hons-in-business-computing-and-data-analytics-year1.html","Official HKBU Year-1 programme page supports International Qualifications admission.","Official admissions evidence supports international/non-local application for this programme.","VERIFIED","verified_yes","https://admissions.hkbu.edu.hk/admissions/international-qualifications.html","HKBU officially accepts applicants using international qualifications for undergraduate admission.","Official HKBU Undergraduate Admissions international-qualifications source.","VERIFIED","https://www.hkbu.edu.hk/","OFFICIAL_SOURCE_VERIFICATION","2026-08-21","Hong Kong Batch 2. Eligibility was not inferred where programme-specific official evidence was insufficient."
"prog_hk_017","uni_hk_006","Hong Kong Baptist University","country_hk","2","Bachelor of Business Administration (Hons)","Bachelor","Business Administration","https://admissions.hkbu.edu.hk/programmes/school-of-business/bachelor-of-business-administration-hons-year1.html","VERIFIED","Current official programme/admissions source confirms the programme identity.","verified_yes","https://admissions.hkbu.edu.hk/programmes/school-of-business/bachelor-of-business-administration-hons-year1.html","Official HKBU Year-1 programme page explicitly includes International Qualifications.","Official admissions evidence supports international/non-local application for this programme.","VERIFIED","verified_yes","https://admissions.hkbu.edu.hk/admissions/international-qualifications.html","HKBU officially accepts applicants using international qualifications for undergraduate admission.","Official HKBU Undergraduate Admissions international-qualifications source.","VERIFIED","https://www.hkbu.edu.hk/","OFFICIAL_SOURCE_VERIFICATION","2026-08-21","Hong Kong Batch 2. Eligibility was not inferred where programme-specific official evidence was insufficient."
"prog_hk_018","uni_hk_006","Hong Kong Baptist University","country_hk","3","Bachelor of Communication (Hons) (Journalism and Digital Media / Public Relations and Advertising)","Bachelor","Communication and Digital Media","https://admissions.hkbu.edu.hk/programmes/school-of-communication/bachelor-of-communication-hons-journalism-and-digital-media-public-relations-and-advertising-year1.html","VERIFIED","Current official programme/admissions source confirms the programme identity.","verified_yes","https://admissions.hkbu.edu.hk/programmes/school-of-communication/bachelor-of-communication-hons-journalism-and-digital-media-public-relations-and-advertising-year1.html","Official HKBU Year-1 programme page explicitly includes International Qualifications.","Official admissions evidence supports international/non-local application for this programme.","VERIFIED","verified_yes","https://admissions.hkbu.edu.hk/admissions/international-qualifications.html","HKBU officially accepts applicants using international qualifications for undergraduate admission.","Official HKBU Undergraduate Admissions international-qualifications source.","VERIFIED","https://www.hkbu.edu.hk/","OFFICIAL_SOURCE_VERIFICATION","2026-08-21","Hong Kong Batch 2. Eligibility was not inferred where programme-specific official evidence was insufficient."
"prog_hk_019","uni_hk_007","Lingnan University","country_hk","1","Bachelor of Science (Honours) in Data Science","Bachelor","Data Science","https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/data-science","VERIFIED","Current official programme/admissions source confirms the programme identity.","unknown","","Current programme identity is verified. University-level international access is verified, but programme-specific international applicant eligibility has not been sufficiently confirmed.","Programme identity was verified, but programme-specific international applicant eligibility was not sufficiently supported by the available official evidence.","REVIEWED_UNRESOLVED","verified_yes","https://apply.ln.edu.hk/contact","Official Lingnan University content confirms undergraduate entrants from overseas countries. University-level international student access is therefore verified.","Official Lingnan University evidence confirms enrolled overseas undergraduate students.","VERIFIED","https://www.ln.edu.hk/","OFFICIAL_SOURCE_VERIFICATION","2026-08-21","Hong Kong Batch 2. Eligibility was not inferred where programme-specific official evidence was insufficient."
"prog_hk_020","uni_hk_007","Lingnan University","country_hk","2","Bachelor of Social Sciences (Honours) - Government and International Affairs","Bachelor","Government and International Affairs","https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/government-and-international-affairs","VERIFIED","Current official programme/admissions source confirms the programme identity.","unknown","","Current programme identity is verified. Programme-specific international applicant eligibility remains unresolved.","Programme identity was verified, but programme-specific international applicant eligibility was not sufficiently supported by the available official evidence.","REVIEWED_UNRESOLVED","verified_yes","https://apply.ln.edu.hk/contact","Official Lingnan University content confirms undergraduate entrants from overseas countries. University-level international student access is therefore verified.","Official Lingnan University evidence confirms enrolled overseas undergraduate students.","VERIFIED","https://www.ln.edu.hk/","OFFICIAL_SOURCE_VERIFICATION","2026-08-21","Hong Kong Batch 2. Eligibility was not inferred where programme-specific official evidence was insufficient."
"prog_hk_021","uni_hk_007","Lingnan University","country_hk","3","Bachelor of Social Sciences (Honours) - Social Data Science","Bachelor","Social Data Science","https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/social-data-science","VERIFIED","Current official programme/admissions source confirms the programme identity.","unknown","","Current programme identity is verified. Programme-specific international applicant eligibility remains unresolved.","Programme identity was verified, but programme-specific international applicant eligibility was not sufficiently supported by the available official evidence.","REVIEWED_UNRESOLVED","verified_yes","https://apply.ln.edu.hk/contact","Official Lingnan University content confirms undergraduate entrants from overseas countries. University-level international student access is therefore verified.","Official Lingnan University evidence confirms enrolled overseas undergraduate students.","VERIFIED","https://www.ln.edu.hk/","OFFICIAL_SOURCE_VERIFICATION","2026-08-21","Hong Kong Batch 2. Eligibility was not inferred where programme-specific official evidence was insufficient."
"prog_hk_022","uni_hk_008","The Education University of Hong Kong","country_hk","1","Bachelor of Science (Honours) in Artificial Intelligence and Educational Technology","Bachelor","Artificial Intelligence and Educational Technology","https://www.apply.eduhk.hk/ug/programmes/aiet","VERIFIED","Current official programme/admissions source confirms the programme identity.","verified_yes","https://www.apply.eduhk.hk/ug/programmes/aiet","EdUHK lists this programme for applicants using International Qualifications.","Official admissions evidence supports international/non-local application for this programme.","VERIFIED","verified_yes","https://www.apply.eduhk.hk/ug/nonlocal_procedures","EdUHK officially welcomes non-local applicants with overseas or international qualifications to undergraduate programmes.","Official EdUHK non-local undergraduate application source.","VERIFIED","https://www.eduhk.hk/en/","OFFICIAL_SOURCE_VERIFICATION","2026-08-21","Hong Kong Batch 2. Eligibility was not inferred where programme-specific official evidence was insufficient."
"prog_hk_023","uni_hk_008","The Education University of Hong Kong","country_hk","2","Bachelor of Arts (Honours) in English Studies and Digital Communication","Bachelor","English Studies and Digital Communication","https://www.apply.eduhk.hk/ug/programmes/esdc/","VERIFIED","Current official programme/admissions source confirms the programme identity.","verified_yes","https://www.apply.eduhk.hk/ug/programmes/esdc/","Official EdUHK programme information includes International Qualifications as an admission scheme.","Official admissions evidence supports international/non-local application for this programme.","VERIFIED","verified_yes","https://www.apply.eduhk.hk/ug/nonlocal_procedures","EdUHK officially welcomes non-local applicants with overseas or international qualifications to undergraduate programmes.","Official EdUHK non-local undergraduate application source.","VERIFIED","https://www.eduhk.hk/en/","OFFICIAL_SOURCE_VERIFICATION","2026-08-21","Hong Kong Batch 2. Eligibility was not inferred where programme-specific official evidence was insufficient."
"prog_hk_024","uni_hk_008","The Education University of Hong Kong","country_hk","3","Bachelor of Social Sciences (Honours) in Psychology","Bachelor","Psychology","https://www.apply.eduhk.hk/ug/programmes/psy","VERIFIED","Current official programme/admissions source confirms the programme identity.","verified_yes","https://www.apply.eduhk.hk/ug/programmes/psy","Official EdUHK programme list and non-local admission route support international applicants.","Official admissions evidence supports international/non-local application for this programme.","VERIFIED","verified_yes","https://www.apply.eduhk.hk/ug/nonlocal_procedures","EdUHK officially welcomes non-local applicants with overseas or international qualifications to undergraduate programmes.","Official EdUHK non-local undergraduate application source.","VERIFIED","https://www.eduhk.hk/en/","OFFICIAL_SOURCE_VERIFICATION","2026-08-21","Hong Kong Batch 2. Eligibility was not inferred where programme-specific official evidence was insufficient."
"prog_hk_025","uni_hk_009","Hong Kong Metropolitan University","country_hk","1","Bachelor of Science with Honours in Computing","Bachelor","Computing","https://admissions.hkmu.edu.hk/ug/st/bachelor-of-science-with-honours-in-computing/","VERIFIED","Current official programme/admissions source confirms the programme identity.","verified_yes","https://admissions.hkmu.edu.hk/ug/st/bachelor-of-science-with-honours-in-computing/","Official programme page provides Direct Admission (Non-Local).","Official admissions evidence supports international/non-local application for this programme.","VERIFIED","verified_yes","https://admissions.hkmu.edu.hk/ug/","HKMU undergraduate admissions provides a Direct Admission route for non-local applicants.","Official HKMU undergraduate admissions source.","VERIFIED","https://www.hkmu.edu.hk/","OFFICIAL_SOURCE_VERIFICATION","2026-08-21","Hong Kong Batch 2. Eligibility was not inferred where programme-specific official evidence was insufficient."
"prog_hk_026","uni_hk_009","Hong Kong Metropolitan University","country_hk","2","Bachelor of Business Administration with Honours in Business Management","Bachelor","Business Management","https://admissions.hkmu.edu.hk/ug/ba/business-management/","VERIFIED","Current official programme/admissions source confirms the programme identity.","verified_yes","https://admissions.hkmu.edu.hk/ug/ba/business-management/","Official programme page provides Direct Admission (Non-Local).","Official admissions evidence supports international/non-local application for this programme.","VERIFIED","verified_yes","https://admissions.hkmu.edu.hk/ug/","HKMU undergraduate admissions provides a Direct Admission route for non-local applicants.","Official HKMU undergraduate admissions source.","VERIFIED","https://www.hkmu.edu.hk/","OFFICIAL_SOURCE_VERIFICATION","2026-08-21","Hong Kong Batch 2. Eligibility was not inferred where programme-specific official evidence was insufficient."
"prog_hk_027","uni_hk_009","Hong Kong Metropolitan University","country_hk","3","Bachelor of Business Administration with Honours in Finance and Financial Technology","Bachelor","Finance and Financial Technology","https://admissions.hkmu.edu.hk/ug/ba/finance-and-financial-technology/","VERIFIED","Current official programme/admissions source confirms the programme identity.","verified_yes","https://admissions.hkmu.edu.hk/ug/ba/finance-and-financial-technology/","Official programme page provides Direct Admission (Non-Local).","Official admissions evidence supports international/non-local application for this programme.","VERIFIED","verified_yes","https://admissions.hkmu.edu.hk/ug/","HKMU undergraduate admissions provides a Direct Admission route for non-local applicants.","Official HKMU undergraduate admissions source.","VERIFIED","https://www.hkmu.edu.hk/","OFFICIAL_SOURCE_VERIFICATION","2026-08-21","Hong Kong Batch 2. Eligibility was not inferred where programme-specific official evidence was insufficient."
"prog_hk_028","uni_hk_010","Hong Kong Shue Yan University","country_hk","1","Bachelor of Science with Honours in Applied Data Science","Bachelor","Applied Data Science","https://adsci.hksyu.edu/programme/BSc-ADS/programme-overview","VERIFIED","Current official programme/admissions source confirms the programme identity.","verified_yes","https://adsci.hksyu.edu/programme/BSc-ADS/programme-overview","Programme identity is official and HKSYU accepts non-local applicants with overseas qualifications. Current non-local tuition is also published for this programme.","Official admissions evidence supports international/non-local application for this programme.","VERIFIED","verified_yes","https://uao.hksyu.edu/en/qualifications/other","HKSYU officially accepts undergraduate applications from local or non-local applicants holding overseas academic qualifications.","Official HKSYU overseas-qualification admissions source.","VERIFIED","https://www.hksyu.edu/","OFFICIAL_SOURCE_VERIFICATION","2026-08-21","Hong Kong Batch 2. Eligibility was not inferred where programme-specific official evidence was insufficient."
"prog_hk_029","uni_hk_010","Hong Kong Shue Yan University","country_hk","2","Bachelor of Commerce (Honours) in Financial Technology","Bachelor","Financial Technology","https://ef.hksyu.edu/Programmes/BCom-in-FinTech","VERIFIED","Current official programme/admissions source confirms the programme identity.","verified_yes","https://ef.hksyu.edu/Programmes/BCom-in-FinTech","Official programme page publishes a 2026/27 non-local tuition rate and HKSYU accepts non-local overseas-qualification applicants.","Official admissions evidence supports international/non-local application for this programme.","VERIFIED","verified_yes","https://uao.hksyu.edu/en/qualifications/other","HKSYU officially accepts undergraduate applications from local or non-local applicants holding overseas academic qualifications.","Official HKSYU overseas-qualification admissions source.","VERIFIED","https://www.hksyu.edu/","OFFICIAL_SOURCE_VERIFICATION","2026-08-21","Hong Kong Batch 2. Eligibility was not inferred where programme-specific official evidence was insufficient."
"prog_hk_030","uni_hk_010","Hong Kong Shue Yan University","country_hk","3","Bachelor of Social Sciences (Honours) in Psychology","Bachelor","Psychology","https://counpsy.hksyu.edu/","VERIFIED","Current official programme/admissions source confirms the programme identity.","verified_yes","https://counpsy.hksyu.edu/","Official department source confirms the undergraduate Psychology programme and HKSYU's official admissions source accepts non-local overseas-qualification applicants.","Official admissions evidence supports international/non-local application for this programme.","VERIFIED","verified_yes","https://uao.hksyu.edu/en/qualifications/other","HKSYU officially accepts undergraduate applications from local or non-local applicants holding overseas academic qualifications.","Official HKSYU overseas-qualification admissions source.","VERIFIED","https://www.hksyu.edu/","OFFICIAL_SOURCE_VERIFICATION","2026-08-21","Hong Kong Batch 2. Eligibility was not inferred where programme-specific official evidence was insufficient."
"prog_hk_031","uni_hk_011","The Hang Seng University of Hong Kong","country_hk","1","Bachelor of Science (Honours) in Applied Computing","Bachelor","","https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/hkdse-sssdp/admission-policy/bachelor-of-science-hons-in-applied-computing-jssh03/","VERIFIED","Current official programme/admissions source confirms the programme identity.","verified_yes","https://admission.hsu.edu.hk/programmes/by-schools/","Programme-specific official evidence supports non-local undergraduate access.","Official HSUHK programme listing confirms a non-local self-financing route for this programme.","VERIFIED","verified_yes","https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/international-qualification/apply-here3/non-local-applicants/","Official non-local undergraduate application route.","Official HSUHK non-local undergraduate admissions source confirms international/non-local access.","VERIFIED","https://www.hsu.edu.hk/en/","OFFICIAL_SOURCE_VERIFICATION","2026-08-21","Hong Kong Batch 3. Programme identity, university-level international access, and programme-level eligibility were verified using official sources."
"prog_hk_032","uni_hk_011","The Hang Seng University of Hong Kong","country_hk","2","Bachelor of Science (Honours) in Data Science and Business Intelligence","Bachelor","","https://msi.hsu.edu.hk/en/dsbi/programme-information/","VERIFIED","Current official programme/admissions source confirms the programme identity.","verified_yes","https://admission.hsu.edu.hk/programmes/by-schools/","Programme-specific official evidence supports non-local undergraduate access.","Official HSUHK programme listing confirms a non-local self-financing route for this programme.","VERIFIED","verified_yes","https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/international-qualification/apply-here3/non-local-applicants/","Official non-local undergraduate application route.","Official HSUHK non-local undergraduate admissions source confirms international/non-local access.","VERIFIED","https://www.hsu.edu.hk/en/","OFFICIAL_SOURCE_VERIFICATION","2026-08-21","Hong Kong Batch 3. Programme identity, university-level international access, and programme-level eligibility were verified using official sources."
