program_id,university_id,program_slot,program_name,field_of_study,degree_level,official_source_url,collection_status,verification_status,research_notes
prog_mm_023,uni_mm_008,2,Master of Education (Two-year Course),Education,Master,https://www.yuoe.edu.mm/academic/,Identity Collected,Current First-Party Programme Verified,YUOE current Academic page explicitly lists M.Ed Two-year Course with two semesters in each academic year.
prog_mm_024,uni_mm_008,3,Diploma in Early Childhood Care and Development,Early Childhood Care and Development,Diploma,https://www.yuoe.edu.mm/academic/,Identity Collected,Current First-Party Programme Verified,"YUOE current Academic page lists Diploma in ECCD and states a nine-month, three-semester structure."
prog_mm_025,uni_mm_009,1,Bachelor of Arts in English,English,Bachelor,https://www.pathein-u.edu.mm/department-of-english/,Identity Collected,First-Party Department Programme Verified,Pathein University Department of English explicitly lists BA (English) among Degrees Available for Day Students.
prog_mm_026,uni_mm_009,2,Bachelor of Arts in Geography,Geography,Bachelor,https://www.pathein-u.edu.mm/department-of-geography/,Identity Collected,First-Party Department Programme Verified,Pathein University Geography Department explicitly lists BA (Geography) as a day-student degree.
prog_mm_027,uni_mm_009,3,Bachelor of Laws (LLB),Law,Bachelor,https://www.pathein-u.edu.mm/department-of-law/,Identity Collected,First-Party Department Programme Verified,Pathein University Department of Law explicitly lists LLB (Law) for day students and provides its curriculum.
prog_mm_028,uni_mm_010,1,Bachelor of Economics in Economics,Economics,Bachelor,https://mue.edu.mm/academic-department/main/economics,Identity Collected,Current First-Party Programme Verified,MUE Economics Department explicitly lists B.Econ (Economics) as a four-year full-time course.
prog_mm_029,uni_mm_010,2,Master of Economics in Economics,Economics,Master,https://mue.edu.mm/academic-department/main/economics,Identity Collected,Current First-Party Programme Verified,MUE Economics Department explicitly lists M.Econ (Economics) as a two-year full-time programme.
prog_mm_030,uni_mm_010,3,Master of Public Administration,Public Administration,Master,https://mue.edu.mm/academic-department/main/economics,Identity Collected,Current First-Party Programme Verified,MUE Economics Department explicitly describes the Master of Public Administration as a three-year graduate degree programme.
prog_mm_037,uni_mm_013,1,Bachelor of Arts in English,English,Bachelor,https://www.yude.edu.mm/english-department/,Identity Collected,Current First-Party Degree Verified,YUDE English Department explicitly lists B.A. (English) under Degree Offered with First through Fourth Year study.
prog_mm_038,uni_mm_013,2,Online Bachelor of Laws (LLB),Law,Bachelor,https://www.yude.edu.mm/law-department/,Identity Collected,First-Party Online Programme Verified,YUDE Law Department explicitly identifies the Online LLB programme and states a five-year duration.
prog_mm_039,uni_mm_013,3,Online Master of Laws (LLM),Law,Master,https://www.yude.edu.mm/law-department/,Identity Collected,First-Party Online Programme Verified,YUDE Law Department explicitly identifies the Online LLM programme and states a two-year duration.
prog_mm_049,uni_mm_017,1,Bachelor of Arts in Geography,Geography,Bachelor,https://www.eyu.edu.mm/department-of-geography/,Identity Collected,Current First-Party Programme Verified,East Yangon University Geography Department explicitly lists BA (Geography) for day students. The university's 2025-2026 admission announcement also includes Geography.
prog_mm_050,uni_mm_017,2,Bachelor of Science in Chemistry,Chemistry,Bachelor,https://www.eyu.edu.mm/my/department-of-chemistry/,Identity Collected,Current First-Party Programme Verified,East Yangon University Chemistry Department explicitly lists BSc (Chemistry). Current university admission material also lists Chemistry.
prog_mm_051,uni_mm_017,3,Bachelor of Laws (LLB),Law,Bachelor,https://www.eyu.edu.mm/my/department-of-law/,Identity Collected,Current First-Party Programme Verified,East Yangon University Law Department states that LLB is currently offered for day students. The 2025-2026 admission announcement also explicitly includes Law (LL.B).
