country_id,country_name,university_name,national_source_name,national_source_url,selection_status,verification_status,country_code,ror_id,ror_display_name,city,establishment_year,official_website,ror_status,ror_types,ror_last_modified,match_status,metadata_status
country_my,Malaysia,Universiti Kebangsaan Malaysia,Education Malaysia,https://educationmalaysia.gov.my/,Seed Selected,Official Verification Pending,MY,https://ror.org/00bw8d226,National University of Malaysia,Bangi,1970,https://www.ukm.my,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_my,Malaysia,Universiti Putra Malaysia,Education Malaysia,https://educationmalaysia.gov.my/,Seed Selected,Official Verification Pending,MY,https://ror.org/02e91jd64,Universiti Putra Malaysia,Seri Kembangan,1931,https://upm.edu.my,active,education|funder,5/20/2025,Exact Name Match,ROR Matched
country_my,Malaysia,Universiti Sains Malaysia,Education Malaysia,https://educationmalaysia.gov.my/,Seed Selected,Official Verification Pending,MY,https://ror.org/02rgb2k63,Universiti Sains Malaysia,George Town,1969,https://www.usm.my,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_my,Malaysia,Universiti Teknologi Malaysia,Education Malaysia,https://educationmalaysia.gov.my/,Seed Selected,Official Verification Pending,MY,https://ror.org/026w31v75,University of Technology Malaysia,Johor Bahru,1975,https://www.utm.my,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_my,Malaysia,International Islamic University Malaysia,Education Malaysia,https://educationmalaysia.gov.my/,Seed Selected,Official Verification Pending,MY,https://ror.org/03s9hs139,International Islamic University Malaysia,Kuala Lumpur,1983,http://www.iium.edu.my/,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_my,Malaysia,Universiti Teknologi PETRONAS,Education Malaysia,https://educationmalaysia.gov.my/,Seed Selected,Official Verification Pending,MY,https://ror.org/048g2sh07,Universiti Teknologi Petronas,Ipoh,1997,http://www.utp.edu.my/,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_my,Malaysia,Taylor's University,Education Malaysia,https://educationmalaysia.gov.my/,Seed Selected,Official Verification Pending,MY,https://ror.org/0498pcx51,Taylor's University,Subang Jaya,1969,http://university.taylors.edu.my/,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_my,Malaysia,Sunway University,Education Malaysia,https://educationmalaysia.gov.my/,Seed Selected,Official Verification Pending,MY,https://ror.org/04mjt7f73,Sunway University,Petaling Jaya,2004,https://sunwayuniversity.edu.my,active,education|funder,12/11/2024,Exact Name Match,ROR Matched
country_kr,South Korea,Seoul National University,Study in Korea,https://www.studyinkorea.go.kr/,Seed Selected,Official Verification Pending,KR,https://ror.org/04h9pn542,Seoul National University,Seoul,1946,https://www.snu.ac.kr,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_kr,South Korea,Korea Advanced Institute of Science and Technology,Study in Korea,https://www.studyinkorea.go.kr/,Seed Selected,Official Verification Pending,KR,https://ror.org/05apxxy63,Korea Advanced Institute of Science and Technology,Daejeon,1971,https://www.kaist.ac.kr,active,education|funder,12/11/2024,Exact Name Match,ROR Matched
country_kr,South Korea,Yonsei University,Study in Korea,https://www.studyinkorea.go.kr/,Seed Selected,Official Verification Pending,KR,https://ror.org/01wjejq96,Yonsei University,Seoul,1885,https://www.yonsei.ac.kr,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_kr,South Korea,Korea University,Study in Korea,https://www.studyinkorea.go.kr/,Seed Selected,Official Verification Pending,KR,https://ror.org/047dqcg40,Korea University,Seoul,1905,https://www.korea.ac.kr,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_kr,South Korea,Sungkyunkwan University,Study in Korea,https://www.studyinkorea.go.kr/,Seed Selected,Official Verification Pending,KR,https://ror.org/04q78tk20,Sungkyunkwan University,Suwon,1398,https://skku.edu,active,education|funder,8/3/2026,Exact Name Match,ROR Matched
country_kr,South Korea,Pohang University of Science and Technology,Study in Korea,https://www.studyinkorea.go.kr/,Seed Selected,Official Verification Pending,KR,https://ror.org/04xysgw12,Pohang University of Science and Technology,Pohang,1986,http://www.postech.ac.kr/,active,education|funder,12/11/2024,Exact Name Match,ROR Matched
country_kr,South Korea,Hanyang University,Study in Korea,https://www.studyinkorea.go.kr/,Seed Selected,Official Verification Pending,KR,https://ror.org/046865y68,Hanyang University,Seoul,1939,http://www.hanyang.ac.kr/english/,active,education|funder,6/2/2026,Exact Name Match,ROR Matched
country_kr,South Korea,Kyung Hee University,Study in Korea,https://www.studyinkorea.go.kr/,Seed Selected,Official Verification Pending,KR,https://ror.org/01zqcg218,Kyung Hee University,Seoul,1949,http://www.kyunghee.edu/,active,education|funder,9/22/2025,Exact Name Match,ROR Matched
country_tw,Taiwan,National Taiwan University,Study in Taiwan,https://www.studyintaiwan.org/how-to-apply/school,Seed Selected,Official Verification Pending,TW,https://ror.org/05bqach95,National Taiwan University,Taipei,1928,http://www.ntu.edu.tw/english/,active,education|funder,5/5/2025,Exact Name Match,ROR Matched
country_tw,Taiwan,National Tsing Hua University,Study in Taiwan,https://www.studyintaiwan.org/how-to-apply/school,Seed Selected,Official Verification Pending,TW,https://ror.org/00zdnkx70,National Tsing Hua University,Hsinchu,1911,http://www.nthu.edu.tw/english/,active,education|funder,12/11/2024,Exact Name Match,ROR Matched
country_tw,Taiwan,National Yang Ming Chiao Tung University,Study in Taiwan,https://www.studyintaiwan.org/how-to-apply/school,Seed Selected,Official Verification Pending,TW,https://ror.org/00se2k293,National Yang Ming Chiao Tung University,Hsinchu,1896,https://www.nycu.edu.tw/,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_tw,Taiwan,National Cheng Kung University,Study in Taiwan,https://www.studyintaiwan.org/how-to-apply/school,Seed Selected,Official Verification Pending,TW,https://ror.org/01b8kcc49,National Cheng Kung University,Tainan City,1931,http://web.ncku.edu.tw/bin/home.php,active,education|funder,12/11/2024,Exact Name Match,ROR Matched
country_tw,Taiwan,National Taiwan University of Science and Technology,Study in Taiwan,https://www.studyintaiwan.org/how-to-apply/school,Seed Selected,Official Verification Pending,TW,https://ror.org/00q09pe49,National Taiwan University of Science and Technology,Taipei,1974,http://www.ntust.edu.tw/home.php?Lang=en,active,education|funder,12/11/2024,Exact Name Match,ROR Matched
country_hk,Hong Kong,The University of Hong Kong,Hong Kong University Grants Committee,https://www.ugc.edu.hk/eng/ugc/site/fund_inst.html,Seed Selected,Official Verification Pending,HK,https://ror.org/02zhqgq86,University of Hong Kong,Pok Fu Lam,1911,https://www.hku.hk,active,education|funder,7/20/2026,Exact Alias Match,ROR Matched
country_hk,Hong Kong,The Chinese University of Hong Kong,Hong Kong University Grants Committee,https://www.ugc.edu.hk/eng/ugc/site/fund_inst.html,Seed Selected,Official Verification Pending,HK,https://ror.org/00t33hh48,Chinese University of Hong Kong,Hong Kong,1963,http://www.cuhk.edu.hk/english/index.html,active,education|funder,7/20/2026,Exact Alias Match,ROR Matched
country_hk,Hong Kong,The Hong Kong University of Science and Technology,Hong Kong University Grants Committee,https://www.ugc.edu.hk/eng/ugc/site/fund_inst.html,Seed Selected,Official Verification Pending,HK,https://ror.org/00q4vv597,Hong Kong University of Science and Technology,Hong Kong,1991,https://hkust.edu.hk,active,education|funder,3/12/2026,Exact Alias Match,ROR Matched
country_hk,Hong Kong,The Hong Kong Polytechnic University,Hong Kong University Grants Committee,https://www.ugc.edu.hk/eng/ugc/site/fund_inst.html,Seed Selected,Official Verification Pending,HK,https://ror.org/0030zas98,Hong Kong Polytechnic University,Hong Kong,1937,http://www.polyu.edu.hk/web/en/home/index.html,active,education|funder,7/20/2026,Exact Alias Match,ROR Matched
country_hk,Hong Kong,City University of Hong Kong,Hong Kong University Grants Committee,https://www.ugc.edu.hk/eng/ugc/site/fund_inst.html,Seed Selected,Official Verification Pending,HK,https://ror.org/03q8dnn23,City University of Hong Kong,Hong Kong,1984,https://www.cityu.edu.hk,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_th,Thailand,Chulalongkorn University,Thailand MHESI / OPS,https://www.ops.go.th/,Seed Selected,Official Verification Pending,TH,https://ror.org/028wp3y58,Chulalongkorn University,Bangkok,1917,http://www.chula.ac.th/en/,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_th,Thailand,Mahidol University,Thailand MHESI / OPS,https://www.ops.go.th/,Seed Selected,Official Verification Pending,TH,https://ror.org/01znkr924,Mahidol University,Bangkok,1943,http://www.mahidol.ac.th/en/,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_th,Thailand,Chiang Mai University,Thailand MHESI / OPS,https://www.ops.go.th/,Seed Selected,Official Verification Pending,TH,https://ror.org/05m2fqn25,Chiang Mai University,Chiang Mai,1964,http://www.cmu.ac.th/,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_th,Thailand,Thammasat University,Thailand MHESI / OPS,https://www.ops.go.th/,Seed Selected,Official Verification Pending,TH,https://ror.org/002yp7f20,Thammasat University,Bangkok,1934,https://tu.ac.th,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
country_th,Thailand,Kasetsart University,Thailand MHESI / OPS,https://www.ops.go.th/,Seed Selected,Official Verification Pending,TH,https://ror.org/05gzceg21,Kasetsart University,Bangkok,1943,http://www.ku.ac.th/web2012/index.php?c=adms&m=mainpage1,active,education|funder,7/20/2026,Exact Name Match,ROR Matched
