university_id,university_name,country_id,city,university_type,official_website,establishment_year,global_ranking,ranking_source,ranking_year,degree_levels,scholarship_available,source_url,collected_at,last_verified_at,freshness_status
uni_cn_047,Nanjing Agricultural University,country_cn,Nanjing,Public,https://english.njau.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_048,China Pharmaceutical University,country_cn,Nanjing,Public,https://en.cpu.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_049,Hefei University of Technology,country_cn,Hefei,Public,https://en.hfut.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_050,Xiamen University,country_cn,Xiamen,Public,https://en.xmu.edu.cn/,,,,,,,https://en.moe.gov.cn/subordinate_universities/,2026-08-19,2026-08-19,current
uni_cn_051,Wuhan University,country_cn,Wuhan,Public,https://www.whu.edu.cn/,,,,,,,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202606/t20260618_1441074.html,2026-08-19,2026-08-19,current
uni_cn_052,Huazhong University of Science and Technology,country_cn,Wuhan,Public,https://www.hust.edu.cn/,,,,,,,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202606/t20260618_1441074.html,2026-08-19,2026-08-19,current
uni_cn_053,Shandong University,country_cn,Jinan,Public,https://www.sdu.edu.cn/,,,,,,,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202606/t20260618_1441074.html,2026-08-19,2026-08-19,current
uni_cn_054,Sichuan University,country_cn,Chengdu,Public,https://www.scu.edu.cn/,,,,,,,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202606/t20260618_1441074.html,2026-08-19,2026-08-19,current
uni_cn_055,Central South University,country_cn,Changsha,Public,https://www.csu.edu.cn/,,,,,,,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202606/t20260618_1441074.html,2026-08-19,2026-08-19,current
uni_cn_056,Chongqing University,country_cn,Chongqing,Public,https://www.cqu.edu.cn/,,,,,,,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202606/t20260618_1441074.html,2026-08-19,2026-08-19,current
uni_cn_057,Xidian University,country_cn,Xi'an,Public,https://www.xidian.edu.cn/,,,,,,,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202606/t20260618_1441074.html,2026-08-19,2026-08-19,current
uni_cn_058,Lanzhou University,country_cn,Lanzhou,Public,https://www.lzu.edu.cn/,,,,,,,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202606/t20260618_1441074.html,2026-08-19,2026-08-19,current
uni_hk_001,The University of Hong Kong,country_hk,Pok Fu Lam,,https://www.hku.hk,1911,,,,,,https://www.hku.hk,2026-08-09,,unknown
uni_hk_002,The Chinese University of Hong Kong,country_hk,Hong Kong,,http://www.cuhk.edu.hk/english/index.html,1963,,,,,,http://www.cuhk.edu.hk/english/index.html,2026-08-09,,unknown
uni_hk_003,The Hong Kong University of Science and Technology,country_hk,Hong Kong,,https://hkust.edu.hk,1991,,,,,,https://hkust.edu.hk,2026-08-09,,unknown
uni_hk_004,The Hong Kong Polytechnic University,country_hk,Hong Kong,,http://www.polyu.edu.hk/web/en/home/index.html,1937,,,,,,http://www.polyu.edu.hk/web/en/home/index.html,2026-08-09,,unknown
uni_hk_005,City University of Hong Kong,country_hk,Hong Kong,,https://www.cityu.edu.hk,1984,,,,,,https://www.cityu.edu.hk,2026-08-09,,unknown
uni_hk_006,Hong Kong Baptist University,country_hk,Hong Kong,,https://www.hkbu.edu.hk/,,,,,,,https://www.hkbu.edu.hk/,2026-08-19,2026-08-19,current
uni_hk_007,Lingnan University,country_hk,Hong Kong,,https://www.ln.edu.hk/,,,,,,,https://www.ln.edu.hk/,2026-08-19,2026-08-19,current
uni_hk_008,The Education University of Hong Kong,country_hk,Hong Kong,,https://www.eduhk.hk/en/,,,,,,,https://www.eduhk.hk/en/,2026-08-19,2026-08-19,current
uni_hk_009,Hong Kong Metropolitan University,country_hk,Hong Kong,,https://www.hkmu.edu.hk/,,,,,,,https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html,2026-08-19,2026-08-19,current
uni_hk_010,Hong Kong Shue Yan University,country_hk,Hong Kong,,https://www.hksyu.edu/,,,,,,,https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html,2026-08-19,2026-08-19,current
uni_hk_011,The Hang Seng University of Hong Kong,country_hk,Hong Kong,,https://www.hsu.edu.hk/en/,,,,,,,https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html,2026-08-19,2026-08-19,current
uni_hk_012,Hong Kong Chu Hai College,country_hk,Hong Kong,,https://www.chuhai.edu.hk/,,,,,,,https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html,2026-08-19,2026-08-19,current
uni_hk_013,Saint Francis University,country_hk,Hong Kong,,https://www.sfu.edu.hk/en/,,,,,,,https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html,2026-08-19,2026-08-19,current
uni_hk_014,Technological and Higher Education Institute of Hong Kong,country_hk,Hong Kong,,https://www.thei.edu.hk/,,,,,,,https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html,2026-08-19,2026-08-19,current
uni_hk_015,Tung Wah College,country_hk,Hong Kong,,https://www.twc.edu.hk/en/,,,,,,,https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html,2026-08-19,2026-08-19,current
uni_id_001,Universitas Indonesia,country_id,Depok,,https://www.ui.ac.id/,,,,,,,https://international.ui.ac.id/,2026-08-18,2026-08-18,current
uni_id_002,Institut Teknologi Bandung,country_id,Bandung,,https://itb.ac.id/en/,,,,,,,https://itb.ac.id/en/,2026-08-18,2026-08-18,current
uni_id_003,Universitas Gadjah Mada,country_id,Yogyakarta,,https://ugm.ac.id/en/,,,,,,,https://admissions.ugm.ac.id/v26/,2026-08-18,2026-08-18,current
uni_id_004,IPB University,country_id,Bogor,,https://www.ipb.ac.id/en/,,,,,,,https://www.ipb.ac.id/en/,2026-08-18,2026-08-18,current
uni_id_005,Universitas Airlangga,country_id,Surabaya,,https://unair.ac.id/en/,,,,,,,https://unair.ac.id/en/,2026-08-19,2026-08-19,current
uni_id_006,Diponegoro University,country_id,Semarang,,https://www.undip.ac.id/language/en,,,,,,,https://www.undip.ac.id/language/en,2026-08-19,2026-08-19,current
uni_id_007,Universitas Brawijaya,country_id,Malang,,https://ub.ac.id/,,,,,,,https://ub.ac.id/,2026-08-19,2026-08-19,current
uni_id_008,Institut Teknologi Sepuluh Nopember,country_id,Surabaya,,https://www.its.ac.id/,,,,,,,https://www.its.ac.id/,2026-08-19,2026-08-19,current
uni_id_009,Hasanuddin University,country_id,Makassar,,https://www.unhas.ac.id/,,,,,,,https://www.unhas.ac.id/,2026-08-19,2026-08-19,current
uni_id_010,Universitas Sebelas Maret,country_id,Surakarta,,https://uns.ac.id/en/,,,,,,,https://uns.ac.id/en/about-uns/university-profile/,2026-08-19,2026-08-19,current
uni_id_011,Universitas Padjadjaran,country_id,Bandung,Public,https://www.unpad.ac.id/,,,,,,,https://www.unpad.ac.id/,2026-08-19,2026-08-19,current
uni_id_012,Universitas Pendidikan Indonesia,country_id,Bandung,Public,https://www.upi.edu/,,,,,,,https://www.upi.edu/,2026-08-19,2026-08-19,current
uni_id_013,Universitas Negeri Yogyakarta,country_id,Yogyakarta,Public,https://www.uny.ac.id/,,,,,,,https://www.uny.ac.id/,2026-08-19,2026-08-19,current
uni_id_014,Universitas Negeri Malang,country_id,Malang,Public,https://um.ac.id/,,,,,,,https://um.ac.id/,2026-08-19,2026-08-19,current
uni_id_015,Universitas Negeri Semarang,country_id,Semarang,Public,https://unnes.ac.id/,,,,,,,https://unnes.ac.id/,2026-08-19,2026-08-19,current
uni_id_016,Universitas Negeri Surabaya,country_id,Surabaya,Public,https://www.unesa.ac.id/,,,,,,,https://www.unesa.ac.id/,2026-08-19,2026-08-19,current
uni_id_017,Universitas Negeri Padang,country_id,Padang,Public,https://unp.ac.id/,,,,,,,https://unp.ac.id/,2026-08-19,2026-08-19,current
uni_id_018,Universitas Negeri Makassar,country_id,Makassar,Public,https://unm.ac.id/,,,,,,,https://unm.ac.id/,2026-08-19,2026-08-19,current
uni_id_019,Universitas Negeri Jakarta,country_id,Jakarta,Public,https://unj.ac.id/,,,,,,,https://unj.ac.id/,2026-08-19,2026-08-19,current
uni_id_020,Universitas Sumatera Utara,country_id,Medan,Public,https://www.usu.ac.id/,,,,,,,https://www.usu.ac.id/,2026-08-19,2026-08-19,current
uni_id_021,Universitas Andalas,country_id,Padang,Public,https://www.unand.ac.id/,,,,,,,https://www.unand.ac.id/,2026-08-19,2026-08-19,current
uni_id_022,Universitas Sriwijaya,country_id,Palembang,Public,https://unsri.ac.id/,,,,,,,https://unsri.ac.id/,2026-08-19,2026-08-19,current
uni_id_023,Universitas Lampung,country_id,Bandar Lampung,Public,https://www.unila.ac.id/,,,,,,,https://www.unila.ac.id/,2026-08-19,2026-08-19,current
uni_id_024,Universitas Riau,country_id,Pekanbaru,Public,https://www.unri.ac.id/,,,,,,,https://www.unri.ac.id/,2026-08-19,2026-08-19,current
uni_id_025,Universitas Jember,country_id,Jember,Public,https://unej.ac.id/,,,,,,,https://unej.ac.id/,2026-08-19,2026-08-19,current
uni_id_026,Universitas Udayana,country_id,Denpasar,Public,https://www.unud.ac.id/,,,,,,,https://www.unud.ac.id/,2026-08-19,2026-08-19,current
uni_id_027,Universitas Mataram,country_id,Mataram,Public,https://unram.ac.id/,,,,,,,https://unram.ac.id/,2026-08-19,2026-08-19,current
uni_id_028,Universitas Sam Ratulangi,country_id,Manado,Public,https://www.unsrat.ac.id/,,,,,,,https://www.unsrat.ac.id/,2026-08-19,2026-08-19,current
uni_id_029,Universitas Mulawarman,country_id,Samarinda,Public,https://unmul.ac.id/,,,,,,,https://unmul.ac.id/,2026-08-19,2026-08-19,current
uni_id_030,Universitas Syiah Kuala,country_id,Banda Aceh,Public,https://usk.ac.id/,,,,,,,https://usk.ac.id/,2026-08-19,2026-08-19,current
uni_id_031,Universitas Bengkulu,country_id,Bengkulu,Public,https://www.unib.ac.id/,,,,,,,https://www.unib.ac.id/,2026-08-19,2026-08-19,current
uni_id_032,Universitas Halu Oleo,country_id,Kendari,Public,https://uho.ac.id/,,,,,,,https://uho.ac.id/,2026-08-19,2026-08-19,current
uni_id_033,Universitas Tadulako,country_id,Palu,Public,https://untad.ac.id/,,,,,,,https://untad.ac.id/,2026-08-19,2026-08-19,current
uni_id_034,Universitas Cenderawasih,country_id,Jayapura,Public,https://www.uncen.ac.id/,,,,,,,https://www.uncen.ac.id/,2026-08-19,2026-08-19,current
uni_id_035,Universitas Negeri Gorontalo,country_id,Gorontalo,Public,https://ung.ac.id/,,,,,,,https://ung.ac.id/,2026-08-19,2026-08-19,current
uni_id_036,Universitas Pendidikan Ganesha,country_id,Singaraja,Public,https://undiksha.ac.id/,,,,,,,https://undiksha.ac.id/,2026-08-19,2026-08-19,current
uni_id_037,Universitas Sultan Ageng Tirtayasa,country_id,Serang,Public,https://untirta.ac.id/,,,,,,,https://untirta.ac.id/,2026-08-19,2026-08-19,current
uni_id_038,Universitas Jenderal Soedirman,country_id,Purwokerto,Public,https://unsoed.ac.id/,,,,,,,https://unsoed.ac.id/,2026-08-19,2026-08-19,current
uni_id_039,UPN Veteran Yogyakarta,country_id,Yogyakarta,Public,https://www.upnyk.ac.id/,,,,,,,https://www.upnyk.ac.id/,2026-08-19,2026-08-19,current
uni_id_040,UPN Veteran Jawa Timur,country_id,Surabaya,Public,https://www.upnjatim.ac.id/,,,,,,,https://www.upnjatim.ac.id/,2026-08-19,2026-08-19,current
uni_id_041,UPN Veteran Jakarta,country_id,Jakarta,Public,https://www.upnvj.ac.id/,,,,,,,https://www.upnvj.ac.id/,2026-08-19,2026-08-19,current
uni_id_042,Universitas Bangka Belitung,country_id,Bangka,Public,https://www.ubb.ac.id/,,,,,,,https://www.ubb.ac.id/,2026-08-19,2026-08-19,current
uni_id_043,Universitas Tanjungpura,country_id,Pontianak,Public,https://www.untan.ac.id/,,,,,,,https://www.untan.ac.id/,2026-08-19,2026-08-19,current
uni_id_044,Universitas Palangka Raya,country_id,Palangka Raya,Public,https://www.upr.ac.id/,,,,,,,https://www.upr.ac.id/,2026-08-19,2026-08-19,current
uni_id_045,Universitas Pattimura,country_id,Ambon,Public,https://www.unpatti.ac.id/,,,,,,,https://www.unpatti.ac.id/,2026-08-19,2026-08-19,current
uni_id_046,Universitas Khairun,country_id,Ternate,Public,https://unkhair.ac.id/,,,,,,,https://unkhair.ac.id/,2026-08-19,2026-08-19,current
uni_id_047,Universitas Nusa Cendana,country_id,Kupang,Public,https://undana.ac.id/,,,,,,,https://undana.ac.id/,2026-08-19,2026-08-19,current
uni_id_048,Universitas Negeri Medan,country_id,Medan,Public,https://www.unimed.ac.id/,,,,,,,https://www.unimed.ac.id/,2026-08-19,2026-08-19,current
uni_id_049,Universitas Lambung Mangkurat,country_id,Banjarmasin,Public,https://ulm.ac.id/,,,,,,,https://ulm.ac.id/,2026-08-19,2026-08-19,current
uni_id_050,Universitas Maritim Raja Ali Haji,country_id,Tanjungpinang,Public,https://umrah.ac.id/,,,,,,,https://umrah.ac.id/,2026-08-19,2026-08-19,current
uni_jp_001,The University of Tokyo,country_jp,Tokyo,,https://www.u-tokyo.ac.jp,1877,,,,,,https://www.u-tokyo.ac.jp,2026-08-09,,unknown
uni_jp_002,Kyoto University,country_jp,Kyoto,,http://www.kyoto-u.ac.jp/en,1897,,,,,,http://www.kyoto-u.ac.jp/en,2026-08-09,,unknown
uni_jp_003,Osaka University,country_jp,Osaka,,https://www.osaka-u.ac.jp,1724,,,,,,https://www.osaka-u.ac.jp,2026-08-09,,unknown
uni_jp_004,Tohoku University,country_jp,Sendai,,http://www.tohoku.ac.jp/en/,1907,,,,,,http://www.tohoku.ac.jp/en/,2026-08-09,,unknown
uni_jp_005,Nagoya University,country_jp,Nagoya,,http://en.nagoya-u.ac.jp/,1871,,,,,,http://en.nagoya-u.ac.jp/,2026-08-09,,unknown
uni_jp_006,Kyushu University,country_jp,Fukuoka,,http://www.kyushu-u.ac.jp/english/,1903,,,,,,http://www.kyushu-u.ac.jp/english/,2026-08-09,,unknown
uni_jp_007,Hokkaido University,country_jp,Sapporo,,https://www.global.hokudai.ac.jp/,1876,,,,,,https://www.global.hokudai.ac.jp/,2026-08-09,,unknown
uni_jp_008,Institute of Science Tokyo,country_jp,Tokyo,,https://www.isct.ac.jp,2024,,,,,,https://www.isct.ac.jp,2026-08-09,,unknown
uni_jp_009,University of Tsukuba,country_jp,Tsukuba,,https://www.tsukuba.ac.jp,1973,,,,,,https://www.tsukuba.ac.jp,2026-08-09,,unknown
uni_jp_010,Kobe University,country_jp,Kobe,,http://www.kobe-u.ac.jp/en/alumni/index.html,1949,,,,,,http://www.kobe-u.ac.jp/en/alumni/index.html,2026-08-09,,unknown
uni_jp_011,Waseda University,country_jp,Tokyo,,https://www.waseda.jp/top/,1882,,,,,,https://www.waseda.jp/top/,2026-08-09,,unknown
uni_jp_012,Keio University,country_jp,Tokyo,,https://www.keio.ac.jp,1858,,,,,,https://www.keio.ac.jp,2026-08-09,,unknown
uni_jp_013,Ritsumeikan Asia Pacific University,country_jp,Beppu,,https://en.apu.ac.jp/home/,,,,,,,https://en.apu.ac.jp/home/,2026-08-11,,unknown
uni_jp_014,Soka University,country_jp,Hachioji,,https://www.soka.ac.jp/en/,,,,,,,https://www.soka.ac.jp/en/,2026-08-11,,unknown
uni_jp_015,Akita University,country_jp,Akita,,https://www.akita-u.ac.jp/eng/,,,,,,,https://www.akita-u.ac.jp/eng/,2026-08-11,,unknown
uni_jp_016,"The Graduate University for Advanced Studies, SOKENDAI",country_jp,Hayama,,https://www.soken.ac.jp/en/,,,,,,,https://www.soken.ac.jp/en/,2026-08-11,,unknown
uni_jp_017,Hiroshima University,country_jp,Higashihiroshima,,https://www.hiroshima-u.ac.jp/en,,,,,,,https://www.hiroshima-u.ac.jp/en,2026-08-19,2026-08-19,current
uni_jp_018,Ritsumeikan University,country_jp,Kyoto,,https://en.ritsumei.ac.jp/,,,,,,,https://en.ritsumei.ac.jp/,2026-08-19,2026-08-19,current
uni_jp_019,Sophia University,country_jp,Tokyo,,https://www.sophia.ac.jp/eng/,,,,,,,https://www.sophia.ac.jp/eng/,2026-08-19,2026-08-19,current
uni_jp_020,Tokyo University of Science,country_jp,Tokyo,,https://www.tus.ac.jp/en/,,,,,,,https://www.tus.ac.jp/en/,2026-08-19,2026-08-19,current
uni_jp_021,Tokyo Metropolitan University,country_jp,Tokyo,,https://www.tmu.ac.jp/english/,,,,,,,https://www.tmu.ac.jp/english/,2026-08-19,2026-08-19,current
uni_jp_022,Chiba University,country_jp,Chiba,Public,https://www.chiba-u.jp/,,,,,,,https://jpcup.niad.ac.jp/what-jpcup/lists.html,2026-08-19,2026-08-19,current
uni_jp_023,Yokohama National University,country_jp,Yokohama,Public,https://www.ynu.ac.jp/,,,,,,,https://jpcup.niad.ac.jp/what-jpcup/lists.html,2026-08-19,2026-08-19,current
uni_jp_024,Tokyo University of Foreign Studies,country_jp,Fuchu,Public,https://www.tufs.ac.jp/,,,,,,,https://jpcup.niad.ac.jp/what-jpcup/lists.html,2026-08-19,2026-08-19,current
uni_jp_025,Ochanomizu University,country_jp,Tokyo,Public,https://www.ocha.ac.jp/,,,,,,,https://jpcup.niad.ac.jp/what-jpcup/lists.html,2026-08-19,2026-08-19,current
uni_jp_026,Hitotsubashi University,country_jp,Tokyo,Public,https://www.hit-u.ac.jp/,,,,,,,https://jpcup.niad.ac.jp/what-jpcup/lists.html,2026-08-19,2026-08-19,current
uni_jp_027,Tokyo University of Agriculture and Technology,country_jp,Fuchu,Public,https://www.tuat.ac.jp/,,,,,,,https://jpcup.niad.ac.jp/what-jpcup/lists.html,2026-08-19,2026-08-19,current
uni_jp_028,The University of Electro-Communications,country_jp,Chofu,Public,https://www.uec.ac.jp/,,,,,,,https://jpcup.niad.ac.jp/what-jpcup/lists.html,2026-08-19,2026-08-19,current
uni_jp_029,Saitama University,country_jp,Saitama,Public,https://www.saitama-u.ac.jp/,,,,,,,https://jpcup.niad.ac.jp/what-jpcup/lists.html,2026-08-19,2026-08-19,current
