program_id,university_id,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,collected_at,last_verified_at,freshness_status
prog_hk_001,uni_hk_001,Computing and Data Science,Data Science,Bachelor,4,Full-time,,,,,,,,,,,https://admissions.hku.hk/programmes/undergraduate-programmes/computing-and-data-science,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_020,uni_hk_007,Bachelor of Social Sciences (Honours) - Government and International Affairs,International Relations & Public Policy,Bachelor,4,Full-time,,,,,,,,,,,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/government-and-international-affairs,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_021,uni_hk_007,Bachelor of Social Sciences (Honours) - Social Data Science,Data Science,Bachelor,4,Full-time,,,,,,,,,,,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/social-data-science,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_022,uni_hk_008,Bachelor of Science (Honours) in Artificial Intelligence and Educational Technology,Artificial Intelligence & Intelligent Systems,Bachelor,4,Full-time,,,,,,,,,,,https://www.apply.eduhk.hk/ug/programmes/aiet,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_023,uni_hk_008,Bachelor of Arts (Honours) in English Studies and Digital Communication,Communication & Media,Bachelor,4,Full-time,,,,,,,,,,,https://www.apply.eduhk.hk/ug/programmes/esdc/,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_024,uni_hk_008,Bachelor of Social Sciences (Honours) in Psychology,Psychology,Bachelor,4,Full-time,,,,,,,,,,,https://www.apply.eduhk.hk/ug/programmes/psy,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_025,uni_hk_009,Bachelor of Science with Honours in Computing,Computer Science,Bachelor,4,Full-time,,,,,,,,,,,https://admissions.hkmu.edu.hk/ug/st/bachelor-of-science-with-honours-in-computing/,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_026,uni_hk_009,Bachelor of Business Administration with Honours in Business Management,Business & Management,Bachelor,4,Full-time,,,,,,,,,,,https://admissions.hkmu.edu.hk/ug/ba/business-management/,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_027,uni_hk_009,Bachelor of Business Administration with Honours in Finance and Financial Technology,Finance & Financial Technology,Bachelor,4,Full-time,,,,,,,,,,,https://admissions.hkmu.edu.hk/ug/ba/finance-and-financial-technology/,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_028,uni_hk_010,Bachelor of Science with Honours in Applied Data Science,Data Science,Bachelor,4,Full-time,,,,,,,,,,,https://adsci.hksyu.edu/programme/BSc-ADS/programme-overview,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_029,uni_hk_010,Bachelor of Commerce (Honours) in Financial Technology,Finance & Financial Technology,Bachelor,4,Full-time,,,,,,,,,,,https://ef.hksyu.edu/Programmes/BCom-in-FinTech,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_030,uni_hk_010,Bachelor of Social Sciences (Honours) in Psychology,Psychology,Bachelor,4,Full-time,,,,,,,,,,,https://counpsy.hksyu.edu/,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_031,uni_hk_011,Bachelor of Science (Honours) in Applied Computing,Computer Science,Bachelor,4,Full-time,,,,,,,,,,,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/hkdse-sssdp/admission-policy/bachelor-of-science-hons-in-applied-computing-jssh03/,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_032,uni_hk_011,Bachelor of Science (Honours) in Data Science and Business Intelligence,Data Science,Bachelor,4,Full-time,,,,,,,,,,,https://msi.hsu.edu.hk/en/dsbi/programme-information/,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_033,uni_hk_011,Bachelor of Science (Honours) in Business Analytics and Information Management,Business Analytics & Information Systems,Bachelor,4,Full-time,,,,,,,,,,,https://scm.hsu.edu.hk/baim-msim-programme-overview/,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_034,uni_hk_012,Bachelor of Science (Hons) in Computer Science,Computer Science,Bachelor,4,Full-time,,,,,,,,,,,https://cs.chuhai.edu.hk/home/?lang=en,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_035,uni_hk_012,Bachelor of Business Administration (Hons) in Finance and Information Management,Finance & Financial Technology,Bachelor,4,Full-time,,,,,,,,,,,https://fne.chuhai.edu.hk/?page_id=142,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_036,uni_hk_012,Bachelor of Arts (Hons) in Communication and Digital Media,Communication & Media,Bachelor,4,Full-time,,,,,,,,,,,https://jcm.chuhai.edu.hk/bachelor-of-arts-hons-in-communication-and-digital-media/,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_037,uni_hk_013,Bachelor of Business Administration (Honours),Business & Management,Bachelor,4,Full-time,,,,,,,,,,,https://www.sfu.edu.hk/en/admission/programmes-by-qflevel/bachelor-s-degree-programmes/bachelor-of-business-administration-honours/introduction/index.html,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_038,uni_hk_013,Bachelor of Arts (Honours) in Translation Technology,Languages & Translation,Bachelor,4,Full-time,,,,,,,,,,,https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-arts-honours-in-translation-technology/introduction/index.html,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_039,uni_hk_013,Bachelor of Science (Honours) in Artificial Intelligence and Multimedia Technology,Artificial Intelligence & Intelligent Systems,Bachelor,4,Full-time,,,,,,,,,,,https://www.sfu.edu.hk/en/admission/programmes-by-qflevel/bachelor-s-degree-programmes/bachelor-of-science-honours-in-artificial-intelligence-and-multimedia-technology-/introduction/index.html,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_040,uni_hk_014,Bachelor of Science (Honours) in Multimedia Technology and Innovation,Media & Design,Bachelor,4,Full-time,,,,,,,,,,,https://thei.edu.hk/departments/department-of-digital-innovation-and-technology/bachelor-of-science-honours-multimedia-technology-and-innovation/,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_041,uni_hk_014,Bachelor of Science (Honours) in Information and Communications Technology,Information Science & Informatics,Bachelor,4,Full-time,,,,,,,,,,,https://thei.edu.hk/departments/department-of-digital-innovation-and-technology/bachelor-of-science-honours-information-and-communications-technology/,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_042,uni_hk_014,Bachelor of Arts (Honours) in Fashion Design,Fashion & Design,Bachelor,4,Full-time,,,,,,,,,,,https://thei.edu.hk/departments/department-of-design-and-architecture/bachelor-of-arts-honours-fashion-design/,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_043,uni_hk_015,Bachelor of Social Science (Honours) in Applied Psychology,Psychology,Bachelor,4,Full-time,,,,,,,,,,,https://www.twc.edu.hk/en/Programmes/bssap/admission_requirement,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_044,uni_hk_015,Bachelor of Management (Honours) in Social and Business Sustainability,Sustainability & Social Sciences,Bachelor,4,Full-time,,,,,,,,,,,https://www.twc.edu.hk/en/Programmes/bmgtsbs/admission_requirement,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
prog_hk_045,uni_hk_015,Bachelor of Science (Honours) in Biomedical Science,Biomedical & Health Sciences,Bachelor,4,Full-time,,,,,,,,,,,https://www.twc.edu.hk/en/Programmes/bsbms,2026-08-21,2026-08-21,Pending Detail Verification; Duration Verified; Study Mode Verified
