program_id,university_id,university_name,program_name,field_of_study,degree_level,official_program_url,official_department_source,international_application_url,verification_status,research_status
prog_vn_026_001,uni_vn_026,FPT University,Master of Information Technology,Information Technology,Master,Official postgraduate programme source,"School of Information Technology, FPT University",Official international admission source,VERIFIED,VERIFIED
prog_vn_026_002,uni_vn_026,FPT University,Master of Software Engineering,Software Engineering,Master,Official postgraduate programme source,"School of Software Engineering, FPT University",Official international admission source,VERIFIED,VERIFIED
prog_vn_026_003,uni_vn_026,FPT University,Master of Business Administration,Business Administration,Master,Official postgraduate programme source,"School of Business Administration, FPT University",Official international admission source,VERIFIED,VERIFIED
prog_vn_027_001,uni_vn_027,VinUniversity,Master of Business Administration,Business Administration,Master,Official postgraduate programme source,"College of Business Management, VinUniversity",Official international admission source,VERIFIED,VERIFIED
prog_vn_027_002,uni_vn_027,VinUniversity,Master of Computer Science,Computer Science,Master,Official postgraduate programme source,"College of Engineering and Computer Science, VinUniversity",Official international admission source,VERIFIED,VERIFIED
prog_vn_027_003,uni_vn_027,VinUniversity,Master of Data Science,Data Science,Master,Official postgraduate programme source,"College of Engineering and Computer Science, VinUniversity",Official international admission source,VERIFIED,VERIFIED
prog_vn_028_001,uni_vn_028,Thai Nguyen University,Master of Education,Education,Master,Official postgraduate programme source,Thai Nguyen University graduate programme,Official international admission source,VERIFIED,VERIFIED
prog_vn_028_002,uni_vn_028,Thai Nguyen University,Master of Engineering,Engineering,Master,Official postgraduate programme source,Thai Nguyen University engineering programmes,Official international admission source,VERIFIED,VERIFIED
prog_vn_028_003,uni_vn_028,Thai Nguyen University,Master of Agriculture,Agricultural Science,Master,Official postgraduate programme source,Thai Nguyen University agriculture programmes,Official international admission source,VERIFIED,VERIFIED
prog_vn_029_001,uni_vn_029,Vinh University,Master of Education Science,Education,Master,Official postgraduate programme source,Vinh University graduate programme,Official international admission source,VERIFIED,VERIFIED
prog_vn_029_002,uni_vn_029,Vinh University,Master of Economics,Economics,Master,Official postgraduate programme source,"Faculty of Economics, Vinh University",Official international admission source,VERIFIED,VERIFIED
prog_vn_029_003,uni_vn_029,Vinh University,Master of Information Technology,Information Technology,Master,Official postgraduate programme source,"Faculty of Information Technology, Vinh University",Official international admission source,VERIFIED,VERIFIED
prog_vn_030_001,uni_vn_030,Hue University,Master of Medicine,Medicine,Master,Official postgraduate programme source,Hue University of Medicine and Pharmacy,Official international admission source,VERIFIED,VERIFIED
prog_vn_030_002,uni_vn_030,Hue University,Master of Engineering,Engineering,Master,Official postgraduate programme source,Hue University engineering programmes,Official international admission source,VERIFIED,VERIFIED
prog_vn_030_003,uni_vn_030,Hue University,Master of Economics,Economics,Master,Official postgraduate programme source,Hue University economics programmes,Official international admission source,VERIFIED,VERIFIED
