program_id,university_id,university_name,target_programme,field_of_study,degree_level,official_program_url,official_department_source,programme_page_checked,department_source_checked,international_source_checked,programme_identity_status,international_status,research_status,verification_note,verified_by,verified_date
prog_cn_045,uni_cn_015,University of Science and Technology Beijing,,,Master,,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_046,uni_cn_016,Beijing Language and Culture University,,,Master,,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_047,uni_cn_016,Beijing Language and Culture University,,,Master,,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_048,uni_cn_016,Beijing Language and Culture University,,,Master,,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_049,uni_cn_017,Beijing University of Chemical Technology,,,Master,,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_050,uni_cn_017,Beijing University of Chemical Technology,,,Master,,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_051,uni_cn_017,Beijing University of Chemical Technology,,,Master,,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_052,uni_cn_018,Beijing Jiaotong University,,,Master,,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_053,uni_cn_018,Beijing Jiaotong University,,,Master,,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_054,uni_cn_018,Beijing Jiaotong University,,,Master,,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_055,uni_cn_019,China University of Geosciences (Beijing),,,Master,,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_056,uni_cn_019,China University of Geosciences (Beijing),,,Master,,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_057,uni_cn_019,China University of Geosciences (Beijing),,,Master,,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_058,uni_cn_020,Beijing University of Posts and Telecommunications,,,Master,,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_059,uni_cn_020,Beijing University of Posts and Telecommunications,,,Master,,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
prog_cn_060,uni_cn_020,Beijing University of Posts and Telecommunications,,,Master,,,NO,NO,NO,PENDING,PENDING,PENDING,Awaiting official source verification,,
