program_id,university_id,university_name,program_name,official_program_url,official_department_source,international_application_url,verification_status,notes
prog_cn_088,uni_cn_030,Tianjin University,Chemical Engineering,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_089,uni_cn_030,Tianjin University,Mechanical Engineering,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_090,uni_cn_030,Tianjin University,Computer Science and Technology,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_091,uni_cn_031,Nankai University,Chemistry,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_092,uni_cn_031,Nankai University,Economics,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_093,uni_cn_031,Nankai University,Computer Science and Technology,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_094,uni_cn_032,Dalian University of Technology,Mechanical Engineering,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_095,uni_cn_032,Dalian University of Technology,Chemical Engineering,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_096,uni_cn_032,Dalian University of Technology,Computer Science and Technology,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_097,uni_cn_033,Northeastern University,Computer Science and Technology,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_098,uni_cn_033,Northeastern University,Metallurgical Engineering,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_099,uni_cn_033,Northeastern University,Mechanical Engineering,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_100,uni_cn_034,Jilin University,Computer Science and Technology,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_101,uni_cn_034,Jilin University,Chemistry,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_102,uni_cn_034,Jilin University,Economics,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_103,uni_cn_035,Northeast Normal University,Education,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_104,uni_cn_035,Northeast Normal University,Psychology,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_105,uni_cn_035,Northeast Normal University,Biology,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_106,uni_cn_036,Northeast Forestry University,Forestry,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_107,uni_cn_036,Northeast Forestry University,Wildlife Conservation,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_108,uni_cn_036,Northeast Forestry University,Environmental Science,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_109,uni_cn_037,East China University of Science and Technology,Chemical Engineering,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_110,uni_cn_037,East China University of Science and Technology,Materials Science and Engineering,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_111,uni_cn_037,East China University of Science and Technology,Computer Science and Technology,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_112,uni_cn_038,Donghua University,Textile Engineering,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_113,uni_cn_038,Donghua University,Fashion Design,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_114,uni_cn_038,Donghua University,Materials Science and Engineering,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_115,uni_cn_039,East China Normal University,Education,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_116,uni_cn_039,East China Normal University,Psychology,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_117,uni_cn_039,East China Normal University,Computer Science and Technology,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_118,uni_cn_040,Shanghai University of Finance and Economics,Finance,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_119,uni_cn_040,Shanghai University of Finance and Economics,Economics,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
prog_cn_120,uni_cn_040,Shanghai University of Finance and Economics,Business Administration,,,,URL_RESEARCH_PENDING,Awaiting verified official university URLs
