program_id,university_id,university_name,program_name,field_of_study,degree_level,program_url,programme_identity_status,programme_identity_evidence,official_university_website,research_status,research_note,last_verified_at,international_applicants_status,international_application_url,international_requirements_note,collected_at,freshness_status
prog_cn_017,uni_cn_006,University of Science and Technology of China,Electronic Engineering,Engineering,Master,https://ee.ustc.edu.cn/,verified,Official university department/programme source,https://ee.ustc.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_018,uni_cn_006,University of Science and Technology of China,Business Administration,Business,Master,https://www.ustc.edu.cn/,verified,Official university department/programme source,https://www.ustc.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_019,uni_cn_007,Harbin Institute of Technology,Computer Science and Technology,Computer Science,Master,https://www.hit.edu.cn/,verified,Official university department/programme source,https://www.hit.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_020,uni_cn_007,Harbin Institute of Technology,Mechanical Engineering,Engineering,Master,https://www.hit.edu.cn/,verified,Official university department/programme source,https://www.hit.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_021,uni_cn_007,Harbin Institute of Technology,Business Administration,Business,Master,https://www.hit.edu.cn/,verified,Official university department/programme source,https://www.hit.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_022,uni_cn_008,Xi'an Jiaotong University,Computer Science and Technology,Computer Science,Master,https://www.xjtu.edu.cn/,verified,Official university department/programme source,https://www.xjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_023,uni_cn_008,Xi'an Jiaotong University,Electrical Engineering,Engineering,Master,https://www.xjtu.edu.cn/,verified,Official university department/programme source,https://www.xjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_024,uni_cn_008,Xi'an Jiaotong University,Business Administration,Business,Master,https://www.xjtu.edu.cn/,verified,Official university department/programme source,https://www.xjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_025,uni_cn_009,Sun Yat-sen University,Computer Science and Technology,Computer Science,Master,https://www.sysu.edu.cn/,verified,Official university department/programme source,https://www.sysu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_026,uni_cn_009,Sun Yat-sen University,Engineering,Engineering,Master,https://www.sysu.edu.cn/,verified,Official university department/programme source,https://www.sysu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_027,uni_cn_009,Sun Yat-sen University,Business Administration,Business,Master,https://www.sysu.edu.cn/,verified,Official university department/programme source,https://www.sysu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_028,uni_cn_010,Tongji University,Computer Science and Technology,Computer Science,Master,https://www.tongji.edu.cn/,verified,Official university department/programme source,https://www.tongji.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_029,uni_cn_010,Tongji University,Architecture,Architecture,Master,https://www.tongji.edu.cn/,verified,Official university department/programme source,https://www.tongji.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_030,uni_cn_010,Tongji University,Business Administration,Business,Master,https://www.tongji.edu.cn/,verified,Official university department/programme source,https://www.tongji.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_031,uni_cn_011,Renmin University of China,Computer Science and Technology,Computer Science,Master,https://www.ruc.edu.cn/,verified,Official university department/programme source,https://www.ruc.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_032,uni_cn_011,Renmin University of China,Economics,Economics,Master,https://www.ruc.edu.cn/,verified,Official university department/programme source,https://www.ruc.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_033,uni_cn_011,Renmin University of China,Business Administration,Business,Master,https://www.ruc.edu.cn/,verified,Official university department/programme source,https://www.ruc.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_034,uni_cn_012,Beijing Normal University,Computer Science,Computer Science,Master,https://www.bnu.edu.cn/,verified,Official university department/programme source,https://www.bnu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_035,uni_cn_012,Beijing Normal University,Education,Education,Master,https://www.bnu.edu.cn/,verified,Official university department/programme source,https://www.bnu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_036,uni_cn_012,Beijing Normal University,Psychology,Psychology,Master,https://www.bnu.edu.cn/,verified,Official university department/programme source,https://www.bnu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_037,uni_cn_013,China Agricultural University,Agricultural Engineering,Engineering,Master,https://www.cau.edu.cn/,verified,Official university department/programme source,https://www.cau.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_038,uni_cn_013,China Agricultural University,Food Science and Engineering,Food Science,Master,https://www.cau.edu.cn/,verified,Official university department/programme source,https://www.cau.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_039,uni_cn_013,China Agricultural University,Biotechnology,Biotechnology,Master,https://www.cau.edu.cn/,verified,Official university department/programme source,https://www.cau.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_040,uni_cn_014,Beijing Foreign Studies University,International Relations,Political Science,Master,https://www.bfsu.edu.cn/,verified,Official university department/programme source,https://www.bfsu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_041,uni_cn_014,Beijing Foreign Studies University,International Business,Business,Master,https://www.bfsu.edu.cn/,verified,Official university department/programme source,https://www.bfsu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_042,uni_cn_014,Beijing Foreign Studies University,Foreign Languages,Languages,Master,https://www.bfsu.edu.cn/,verified,Official university department/programme source,https://www.bfsu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_043,uni_cn_015,University of Science and Technology Beijing,Computer Science and Technology,Computer Science,Master,https://www.ustb.edu.cn/,verified,Official university department/programme source,https://www.ustb.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_044,uni_cn_015,University of Science and Technology Beijing,Materials Science and Engineering,Engineering,Master,https://www.ustb.edu.cn/,verified,Official university department/programme source,https://www.ustb.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_045,uni_cn_015,University of Science and Technology Beijing,Mechanical Engineering,Engineering,Master,https://www.ustb.edu.cn/,verified,Official university department/programme source,https://www.ustb.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_046,uni_cn_016,Beijing Language and Culture University,Chinese Language Education,Education,Master,https://www.blcu.edu.cn/,verified,Official university department/programme source,https://www.blcu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_047,uni_cn_016,Beijing Language and Culture University,International Studies,International Studies,Master,https://www.blcu.edu.cn/,verified,Official university department/programme source,https://www.blcu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_048,uni_cn_016,Beijing Language and Culture University,Linguistics,Languages,Master,https://www.blcu.edu.cn/,verified,Official university department/programme source,https://www.blcu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_049,uni_cn_017,Beijing University of Chemical Technology,Chemical Engineering,Engineering,Master,https://www.buct.edu.cn/,verified,Official university department/programme source,https://www.buct.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_050,uni_cn_017,Beijing University of Chemical Technology,Materials Science and Engineering,Engineering,Master,https://www.buct.edu.cn/,verified,Official university department/programme source,https://www.buct.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_051,uni_cn_017,Beijing University of Chemical Technology,Computer Science and Technology,Computer Science,Master,https://www.buct.edu.cn/,verified,Official university department/programme source,https://www.buct.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_052,uni_cn_018,Beijing Jiaotong University,Computer Science and Technology,Computer Science,Master,https://www.bjtu.edu.cn/,verified,Official university department/programme source,https://www.bjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_053,uni_cn_018,Beijing Jiaotong University,Transportation Engineering,Engineering,Master,https://www.bjtu.edu.cn/,verified,Official university department/programme source,https://www.bjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_054,uni_cn_018,Beijing Jiaotong University,Business Administration,Business,Master,https://www.bjtu.edu.cn/,verified,Official university department/programme source,https://www.bjtu.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_055,uni_cn_019,China University of Geosciences (Beijing),Geology,Earth Science,Master,https://www.cugb.edu.cn/,verified,Official university department/programme source,https://www.cugb.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_056,uni_cn_019,China University of Geosciences (Beijing),Environmental Science,Environmental Science,Master,https://www.cugb.edu.cn/,verified,Official university department/programme source,https://www.cugb.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_057,uni_cn_019,China University of Geosciences (Beijing),Computer Science and Technology,Computer Science,Master,https://www.cugb.edu.cn/,verified,Official university department/programme source,https://www.cugb.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_058,uni_cn_020,Beijing University of Posts and Telecommunications,Computer Science and Technology,Computer Science,Master,https://www.bupt.edu.cn/,verified,Official university department/programme source,https://www.bupt.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_059,uni_cn_020,Beijing University of Posts and Telecommunications,Electronic Engineering,Engineering,Master,https://www.bupt.edu.cn/,verified,Official university department/programme source,https://www.bupt.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_060,uni_cn_020,Beijing University of Posts and Telecommunications,Information Technology,Information Technology,Master,https://www.bupt.edu.cn/,verified,Official university department/programme source,https://www.bupt.edu.cn/,verified,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
