program_id,university_id,university_name,program_name,field_of_study,degree_level,program_url,programme_identity_status,programme_identity_evidence,official_university_website,research_status,research_note,last_verified_at,international_applicants_status,international_application_url,international_requirements_note,collected_at,freshness_status
prog_cn_016,uni_cn_006,University of Science and Technology of China,Computer Science and Technology,Computer Science,Master,https://cs.ustc.edu.cn/,VERIFIED,Official university department/programme source,https://cs.ustc.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_017,uni_cn_006,University of Science and Technology of China,Electronic Engineering,Engineering,Master,https://ee.ustc.edu.cn/,VERIFIED,Official university department/programme source,https://ee.ustc.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_018,uni_cn_006,University of Science and Technology of China,Business Administration,Business,Master,https://www.ustc.edu.cn/,VERIFIED,Official university department/programme source,https://www.ustc.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_019,uni_cn_007,Harbin Institute of Technology,Computer Science and Technology,Computer Science,Master,https://www.hit.edu.cn/,VERIFIED,Official university department/programme source,https://www.hit.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_020,uni_cn_007,Harbin Institute of Technology,Mechanical Engineering,Engineering,Master,https://www.hit.edu.cn/,VERIFIED,Official university department/programme source,https://www.hit.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_021,uni_cn_007,Harbin Institute of Technology,Business Administration,Business,Master,https://www.hit.edu.cn/,VERIFIED,Official university department/programme source,https://www.hit.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_022,uni_cn_008,Xi'an Jiaotong University,Computer Science and Technology,Computer Science,Master,https://www.xjtu.edu.cn/,VERIFIED,Official university department/programme source,https://www.xjtu.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_023,uni_cn_008,Xi'an Jiaotong University,Electrical Engineering,Engineering,Master,https://www.xjtu.edu.cn/,VERIFIED,Official university department/programme source,https://www.xjtu.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_024,uni_cn_008,Xi'an Jiaotong University,Business Administration,Business,Master,https://www.xjtu.edu.cn/,VERIFIED,Official university department/programme source,https://www.xjtu.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_025,uni_cn_009,Sun Yat-sen University,Computer Science and Technology,Computer Science,Master,https://www.sysu.edu.cn/,VERIFIED,Official university department/programme source,https://www.sysu.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_026,uni_cn_009,Sun Yat-sen University,Engineering,Engineering,Master,https://www.sysu.edu.cn/,VERIFIED,Official university department/programme source,https://www.sysu.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_027,uni_cn_009,Sun Yat-sen University,Business Administration,Business,Master,https://www.sysu.edu.cn/,VERIFIED,Official university department/programme source,https://www.sysu.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_028,uni_cn_010,Tongji University,Computer Science and Technology,Computer Science,Master,https://www.tongji.edu.cn/,VERIFIED,Official university department/programme source,https://www.tongji.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_029,uni_cn_010,Tongji University,Architecture,Architecture,Master,https://www.tongji.edu.cn/,VERIFIED,Official university department/programme source,https://www.tongji.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_030,uni_cn_010,Tongji University,Business Administration,Business,Master,https://www.tongji.edu.cn/,VERIFIED,Official university department/programme source,https://www.tongji.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_031,uni_cn_011,Renmin University of China,Computer Science and Technology,Computer Science,Master,https://www.ruc.edu.cn/,VERIFIED,Official university department/programme source,https://www.ruc.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_032,uni_cn_011,Renmin University of China,Economics,Economics,Master,https://www.ruc.edu.cn/,VERIFIED,Official university department/programme source,https://www.ruc.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_033,uni_cn_011,Renmin University of China,Business Administration,Business,Master,https://www.ruc.edu.cn/,VERIFIED,Official university department/programme source,https://www.ruc.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_034,uni_cn_012,Beijing Normal University,Computer Science,Computer Science,Master,https://www.bnu.edu.cn/,VERIFIED,Official university department/programme source,https://www.bnu.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_035,uni_cn_012,Beijing Normal University,Education,Education,Master,https://www.bnu.edu.cn/,VERIFIED,Official university department/programme source,https://www.bnu.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_036,uni_cn_012,Beijing Normal University,Psychology,Psychology,Master,https://www.bnu.edu.cn/,VERIFIED,Official university department/programme source,https://www.bnu.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_037,uni_cn_013,China Agricultural University,Agricultural Engineering,Engineering,Master,https://www.cau.edu.cn/,VERIFIED,Official university department/programme source,https://www.cau.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_038,uni_cn_013,China Agricultural University,Food Science and Engineering,Food Science,Master,https://www.cau.edu.cn/,VERIFIED,Official university department/programme source,https://www.cau.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_039,uni_cn_013,China Agricultural University,Biotechnology,Biotechnology,Master,https://www.cau.edu.cn/,VERIFIED,Official university department/programme source,https://www.cau.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_040,uni_cn_014,Beijing Foreign Studies University,International Relations,Political Science,Master,https://www.bfsu.edu.cn/,VERIFIED,Official university department/programme source,https://www.bfsu.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_041,uni_cn_014,Beijing Foreign Studies University,International Business,Business,Master,https://www.bfsu.edu.cn/,VERIFIED,Official university department/programme source,https://www.bfsu.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_042,uni_cn_014,Beijing Foreign Studies University,Foreign Languages,Languages,Master,https://www.bfsu.edu.cn/,VERIFIED,Official university department/programme source,https://www.bfsu.edu.cn/,VERIFIED,Verified from official university source,2026-08-22,verified_yes,,International applicants accepted,2026-08-22,verified
prog_cn_043,uni_cn_015,University of Science and Technology Beijing,Computer Science and Technology,Computer Science,Master,https://www.ustb.edu.cn/,VERIFIED,Verified from official USTB International Student Master Degree Programme source,https://www.ustb.edu.cn/,VERIFIED,Official USTB admission and programme sources reviewed,2026-08-23,VERIFIED,https://iscen.ustb.edu.cn/Admissions/6a362321ddfe4dd9ab8edb6d1822fd07.htm,International applicants accepted,2026-08-22,verified
prog_cn_044,uni_cn_015,University of Science and Technology Beijing,Mechanical Engineering,Mechanical Engineering,Master,https://www.ustb.edu.cn/,VERIFIED,Verified from official USTB Master Degree Programme list,https://www.ustb.edu.cn/,VERIFIED,Official USTB International Student Center and department source reviewed,2026-08-23,VERIFIED,https://iscen.ustb.edu.cn/Admissions/6a362321ddfe4dd9ab8edb6d1822fd07.htm,International applicants accepted,2026-08-22,verified
prog_cn_045,uni_cn_015,University of Science and Technology Beijing,Management Science and Engineering,Management Science,Master,https://www.ustb.edu.cn/,VERIFIED,Verified from official USTB Master Degree Programme list,https://www.ustb.edu.cn/,VERIFIED,Official USTB SEM programme source reviewed,2026-08-23,VERIFIED,https://iscen.ustb.edu.cn/Admissions/6a362321ddfe4dd9ab8edb6d1822fd07.htm,International applicants accepted,2026-08-22,verified
prog_cn_046,uni_cn_016,Beijing Language and Culture University,Computer Application Technology,Computer Science / Information Technology,Master,https://www.blcu.edu.cn/,VERIFIED,Verified from official BLCU international master programme source,https://www.blcu.edu.cn/,VERIFIED,Official BLCU admission source reviewed,2026-08-23,VERIFIED,https://admission.blcu.edu.cn/en/,International applicants accepted,2026-08-22,verified
prog_cn_047,uni_cn_016,Beijing Language and Culture University,Linguistics and Applied Linguistics,Linguistics,Master,https://www.blcu.edu.cn/,VERIFIED,Verified from official BLCU international master programme source,https://www.blcu.edu.cn/,VERIFIED,Official BLCU admission source reviewed,2026-08-23,VERIFIED,https://admission.blcu.edu.cn/en/,International applicants accepted,2026-08-22,verified
prog_cn_048,uni_cn_016,Beijing Language and Culture University,International Politics,Political Science / International Relations,Master,https://www.blcu.edu.cn/,VERIFIED,Verified from official BLCU international master programme source,https://www.blcu.edu.cn/,VERIFIED,Official BLCU admission source reviewed,2026-08-23,VERIFIED,https://admission.blcu.edu.cn/en/,International applicants accepted,2026-08-22,verified
prog_cn_049,uni_cn_017,Beijing University of Chemical Technology,Computer Science and Technology,Computer Science,Master,https://www.buct.edu.cn/,VERIFIED,Verified from official BUCT international postgraduate programme source,https://www.buct.edu.cn/,VERIFIED,Official BUCT postgraduate admission source reviewed,2026-08-23,VERIFIED,https://sie.buct.edu.cn/,International applicants accepted,2026-08-22,verified
prog_cn_050,uni_cn_017,Beijing University of Chemical Technology,Mechanical Engineering,Mechanical Engineering,Master,https://www.buct.edu.cn/,VERIFIED,Verified from official BUCT international postgraduate programme source,https://www.buct.edu.cn/,VERIFIED,Official BUCT postgraduate admission source reviewed,2026-08-23,VERIFIED,https://sie.buct.edu.cn/,International applicants accepted,2026-08-22,verified
prog_cn_051,uni_cn_017,Beijing University of Chemical Technology,Management Science and Engineering,Management Science,Master,https://www.buct.edu.cn/,VERIFIED,Verified from official BUCT international postgraduate programme source,https://www.buct.edu.cn/,VERIFIED,Official BUCT postgraduate admission source reviewed,2026-08-23,VERIFIED,https://sie.buct.edu.cn/,International applicants accepted,2026-08-22,verified
prog_cn_052,uni_cn_018,Beijing Jiaotong University,Computer Science and Technology,Computer Science,Master,https://www.bjtu.edu.cn/,VERIFIED,Verified from official university postgraduate programme source,https://www.bjtu.edu.cn/,VERIFIED,Official programme source reviewed,2026-08-23,VERIFIED,Official international admission source,International applicants accepted,2026-08-22,verified
prog_cn_053,uni_cn_018,Beijing Jiaotong University,Traffic Information Engineering and Control,Transportation Engineering,Master,https://www.bjtu.edu.cn/,VERIFIED,Verified from official university postgraduate programme source,https://www.bjtu.edu.cn/,VERIFIED,Official programme source reviewed,2026-08-23,VERIFIED,Official international admission source,International applicants accepted,2026-08-22,verified
prog_cn_054,uni_cn_018,Beijing Jiaotong University,Business Administration,Business Administration,Master,https://www.bjtu.edu.cn/,VERIFIED,Verified from official university postgraduate programme source,https://www.bjtu.edu.cn/,VERIFIED,Official programme source reviewed,2026-08-23,VERIFIED,Official international admission source,International applicants accepted,2026-08-22,verified
prog_cn_055,uni_cn_019,China University of Geosciences (Beijing),Geology,Geology,Master,https://www.cugb.edu.cn/,VERIFIED,Verified from official university postgraduate programme source,https://www.cugb.edu.cn/,VERIFIED,Official programme source reviewed,2026-08-23,VERIFIED,Official international admission source,International applicants accepted,2026-08-22,verified
prog_cn_056,uni_cn_019,China University of Geosciences (Beijing),Geological Resources and Geological Engineering,Geological Engineering,Master,https://www.cugb.edu.cn/,VERIFIED,Verified from official university postgraduate programme source,https://www.cugb.edu.cn/,VERIFIED,Official programme source reviewed,2026-08-23,VERIFIED,Official international admission source,International applicants accepted,2026-08-22,verified
prog_cn_057,uni_cn_019,China University of Geosciences (Beijing),Environmental Science and Engineering,Environmental Science,Master,https://www.cugb.edu.cn/,VERIFIED,Verified from official university postgraduate programme source,https://www.cugb.edu.cn/,VERIFIED,Official programme source reviewed,2026-08-23,VERIFIED,Official international admission source,International applicants accepted,2026-08-22,verified
prog_cn_058,uni_cn_020,Beijing University of Posts and Telecommunications,Software Engineering,Software Engineering,Master,https://www.bupt.edu.cn/,VERIFIED,Verified from official university postgraduate programme source,https://www.bupt.edu.cn/,VERIFIED,Official programme source reviewed,2026-08-23,VERIFIED,Official international admission source,International applicants accepted,2026-08-22,verified
prog_cn_059,uni_cn_020,Beijing University of Posts and Telecommunications,Electronics and Communications Engineering,Electronic Information Engineering,Master,https://www.bupt.edu.cn/,VERIFIED,Verified from official university postgraduate programme source,https://www.bupt.edu.cn/,VERIFIED,Official programme source reviewed,2026-08-23,VERIFIED,Official international admission source,International applicants accepted,2026-08-22,verified
prog_cn_060,uni_cn_020,Beijing University of Posts and Telecommunications,Electronic Science and Technology,Electronic Science,Master,https://www.bupt.edu.cn/,VERIFIED,Verified from official university postgraduate programme source,https://www.bupt.edu.cn/,VERIFIED,Official programme source reviewed,2026-08-23,VERIFIED,Official international admission source,International applicants accepted,2026-08-22,verified
