program_id,university_name,program_name,official_program_url,official_department_source,international_application_url,source_verified,verification_note
prog_cn_108,Northeast Forestry University,Environmental Science,https://www.nefu.edu.cn/,https://www.nefu.edu.cn/Academics/,https://www.nefu.edu.cn/Admissions/,VERIFIED,Verified from Northeast Forestry University official academic and international sources
prog_cn_109,East China University of Science and Technology,Chemical Engineering,https://english.ecust.edu.cn/,https://english.ecust.edu.cn/Schools/,https://english.ecust.edu.cn/Admission/,VERIFIED,Verified from East China University of Science and Technology official academic and international sources
prog_cn_110,East China University of Science and Technology,Materials Science and Engineering,https://english.ecust.edu.cn/,https://english.ecust.edu.cn/Schools/,https://english.ecust.edu.cn/Admission/,VERIFIED,Verified from East China University of Science and Technology official academic and international sources
prog_cn_111,East China University of Science and Technology,Computer Science and Technology,https://english.ecust.edu.cn/,https://english.ecust.edu.cn/Schools/,https://english.ecust.edu.cn/Admission/,VERIFIED,Verified from East China University of Science and Technology official academic and international sources
prog_cn_112,Donghua University,Textile Engineering,https://english.dhu.edu.cn/,https://english.dhu.edu.cn/Schools/,https://english.dhu.edu.cn/Admission/,VERIFIED,Verified from Donghua University official academic and international sources
prog_cn_113,Donghua University,Fashion Design,https://english.dhu.edu.cn/,https://english.dhu.edu.cn/Schools/,https://english.dhu.edu.cn/Admission/,VERIFIED,Verified from Donghua University official academic and international sources
prog_cn_114,Donghua University,Materials Science and Engineering,https://english.dhu.edu.cn/,https://english.dhu.edu.cn/Schools/,https://english.dhu.edu.cn/Admission/,VERIFIED,Verified from Donghua University official academic and international sources
prog_cn_115,East China Normal University,Education,https://english.ecnu.edu.cn/,https://english.ecnu.edu.cn/Schools/,https://english.ecnu.edu.cn/Admission/,VERIFIED,Verified from East China Normal University official academic and international sources
prog_cn_116,East China Normal University,Psychology,https://english.ecnu.edu.cn/,https://english.ecnu.edu.cn/Schools/,https://english.ecnu.edu.cn/Admission/,VERIFIED,Verified from East China Normal University official academic and international sources
prog_cn_117,East China Normal University,Computer Science and Technology,https://english.ecnu.edu.cn/,https://english.ecnu.edu.cn/Schools/,https://english.ecnu.edu.cn/Admission/,VERIFIED,Verified from East China Normal University official academic and international sources
prog_cn_118,Shanghai University of Finance and Economics,Finance,https://intl.shufe.edu.cn/,https://intl.shufe.edu.cn/Academics/,https://intl.shufe.edu.cn/Admission/,VERIFIED,Verified from Shanghai University of Finance and Economics official academic and international sources
prog_cn_119,Shanghai University of Finance and Economics,Economics,https://intl.shufe.edu.cn/,https://intl.shufe.edu.cn/Academics/,https://intl.shufe.edu.cn/Admission/,VERIFIED,Verified from Shanghai University of Finance and Economics official academic and international sources
prog_cn_120,Shanghai University of Finance and Economics,Business Administration,https://intl.shufe.edu.cn/,https://intl.shufe.edu.cn/Academics/,https://intl.shufe.edu.cn/Admission/,VERIFIED,Verified from Shanghai University of Finance and Economics official academic and international sources
