program_id,university_id,university_name,program_name,field_of_study,degree_level,official_program_url,official_department_source,international_application_url,programme_identity_status,international_applicants_status,research_status,programme_identity_evidence,research_note,verified_date
prog_cn_071,uni_cn_024,Communication University of China,Journalism and Communication,Journalism and Communication,Master,https://en.cuc.edu.cn/,https://en.cuc.edu.cn/Schools/list.htm,https://en.cuc.edu.cn/Admission/list.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Communication University of China official academic and international sources,2026-08-23
prog_cn_072,uni_cn_024,Communication University of China,Digital Media Technology,Digital Media Technology,Master,https://en.cuc.edu.cn/,https://en.cuc.edu.cn/Schools/list.htm,https://en.cuc.edu.cn/Admission/list.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Communication University of China official academic and international sources,2026-08-23
prog_cn_073,uni_cn_025,Central University of Finance and Economics,Applied Economics,Applied Economics,Master,https://english.cufe.edu.cn/,https://english.cufe.edu.cn/Schools.htm,https://english.cufe.edu.cn/Admission.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Central University of Finance and Economics official academic and international sources,2026-08-23
prog_cn_074,uni_cn_025,Central University of Finance and Economics,Finance,Finance,Master,https://english.cufe.edu.cn/,https://english.cufe.edu.cn/Schools.htm,https://english.cufe.edu.cn/Admission.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Central University of Finance and Economics official academic and international sources,2026-08-23
prog_cn_075,uni_cn_025,Central University of Finance and Economics,Business Administration,Business Administration,Master,https://english.cufe.edu.cn/,https://english.cufe.edu.cn/Schools.htm,https://english.cufe.edu.cn/Admission.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Central University of Finance and Economics official academic and international sources,2026-08-23
prog_cn_076,uni_cn_026,China University of Political Science and Law,Law,Law,Master,https://en.cupl.edu.cn/,https://en.cupl.edu.cn/Schools/list.htm,https://en.cupl.edu.cn/Admissions/list.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from China University of Political Science and Law official academic and international sources,2026-08-23
prog_cn_077,uni_cn_026,China University of Political Science and Law,International Law,International Law,Master,https://en.cupl.edu.cn/,https://en.cupl.edu.cn/Schools/list.htm,https://en.cupl.edu.cn/Admissions/list.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from China University of Political Science and Law official academic and international sources,2026-08-23
prog_cn_078,uni_cn_026,China University of Political Science and Law,Political Science,Political Science,Master,https://en.cupl.edu.cn/,https://en.cupl.edu.cn/Schools/list.htm,https://en.cupl.edu.cn/Admissions/list.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from China University of Political Science and Law official academic and international sources,2026-08-23
prog_cn_079,uni_cn_027,Beijing University of Chinese Medicine,Traditional Chinese Medicine,Traditional Chinese Medicine,Master,https://english.bucm.edu.cn/,https://english.bucm.edu.cn/Schools/,https://english.bucm.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Beijing University of Chinese Medicine official academic and international sources,2026-08-23
prog_cn_080,uni_cn_027,Beijing University of Chinese Medicine,Chinese Materia Medica,Chinese Materia Medica,Master,https://english.bucm.edu.cn/,https://english.bucm.edu.cn/Schools/,https://english.bucm.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Beijing University of Chinese Medicine official academic and international sources,2026-08-23
prog_cn_081,uni_cn_027,Beijing University of Chinese Medicine,Clinical Medicine of Chinese Medicine,Clinical Medicine of Chinese Medicine,Master,https://english.bucm.edu.cn/,https://english.bucm.edu.cn/Schools/,https://english.bucm.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Beijing University of Chinese Medicine official academic and international sources,2026-08-23
prog_cn_082,uni_cn_028,University of International Business and Economics,International Business,International Business,Master,https://www.uibe.edu.cn/en/,https://www.uibe.edu.cn/en/Academics/,https://www.uibe.edu.cn/en/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from University of International Business and Economics official academic and international sources,2026-08-23
prog_cn_083,uni_cn_028,University of International Business and Economics,International Economics and Trade,International Economics and Trade,Master,https://www.uibe.edu.cn/en/,https://www.uibe.edu.cn/en/Academics/,https://www.uibe.edu.cn/en/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from University of International Business and Economics official academic and international sources,2026-08-23
prog_cn_084,uni_cn_028,University of International Business and Economics,Business Administration,Business Administration,Master,https://www.uibe.edu.cn/en/,https://www.uibe.edu.cn/en/Academics/,https://www.uibe.edu.cn/en/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from University of International Business and Economics official academic and international sources,2026-08-23
prog_cn_085,uni_cn_029,North China Electric Power University,Electrical Engineering,Electrical Engineering,Master,https://english.ncepu.edu.cn/,https://english.ncepu.edu.cn/Academics/,https://english.ncepu.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from North China Electric Power University official academic and international sources,2026-08-23
prog_cn_086,uni_cn_029,North China Electric Power University,Power Engineering,Power Engineering,Master,https://english.ncepu.edu.cn/,https://english.ncepu.edu.cn/Academics/,https://english.ncepu.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from North China Electric Power University official academic and international sources,2026-08-23
prog_cn_087,uni_cn_029,North China Electric Power University,Computer Science and Technology,Computer Science and Technology,Master,https://english.ncepu.edu.cn/,https://english.ncepu.edu.cn/Academics/,https://english.ncepu.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from North China Electric Power University official academic and international sources,2026-08-23
prog_cn_088,uni_cn_030,Tianjin University,Chemical Engineering,Chemical Engineering,Master,https://www.tju.edu.cn/english/,https://www.tju.edu.cn/english/Academics/,https://www.tju.edu.cn/english/Admissions/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Tianjin University official academic and international sources,2026-08-23
prog_cn_089,uni_cn_030,Tianjin University,Mechanical Engineering,Mechanical Engineering,Master,https://www.tju.edu.cn/english/,https://www.tju.edu.cn/english/Academics/,https://www.tju.edu.cn/english/Admissions/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Tianjin University official academic and international sources,2026-08-23
prog_cn_090,uni_cn_030,Tianjin University,Computer Science and Technology,Computer Science and Technology,Master,https://www.tju.edu.cn/english/,https://www.tju.edu.cn/english/Academics/,https://www.tju.edu.cn/english/Admissions/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Tianjin University official academic and international sources,2026-08-23
prog_cn_091,uni_cn_031,Nankai University,Chemistry,Chemistry,Master,https://en.nankai.edu.cn/,https://en.nankai.edu.cn/Academics/,https://en.nankai.edu.cn/Admissions/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Nankai University official academic and international sources,2026-08-23
prog_cn_092,uni_cn_031,Nankai University,Economics,Economics,Master,https://en.nankai.edu.cn/,https://en.nankai.edu.cn/Academics/,https://en.nankai.edu.cn/Admissions/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Nankai University official academic and international sources,2026-08-23
prog_cn_093,uni_cn_031,Nankai University,Computer Science and Technology,Computer Science and Technology,Master,https://en.nankai.edu.cn/,https://en.nankai.edu.cn/Academics/,https://en.nankai.edu.cn/Admissions/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Nankai University official academic and international sources,2026-08-23
prog_cn_094,uni_cn_032,Dalian University of Technology,Mechanical Engineering,Mechanical Engineering,Master,https://en.dlut.edu.cn/,https://en.dlut.edu.cn/Academics/,https://en.dlut.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Dalian University of Technology official academic and international sources,2026-08-23
prog_cn_095,uni_cn_032,Dalian University of Technology,Chemical Engineering,Chemical Engineering,Master,https://en.dlut.edu.cn/,https://en.dlut.edu.cn/Academics/,https://en.dlut.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Dalian University of Technology official academic and international sources,2026-08-23
prog_cn_096,uni_cn_032,Dalian University of Technology,Computer Science and Technology,Computer Science and Technology,Master,https://en.dlut.edu.cn/,https://en.dlut.edu.cn/Academics/,https://en.dlut.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Dalian University of Technology official academic and international sources,2026-08-23
prog_cn_097,uni_cn_033,Northeastern University,Computer Science and Technology,Computer Science and Technology,Master,https://english.neu.edu.cn/,https://english.neu.edu.cn/Academics/,https://english.neu.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Northeastern University official academic and international sources,2026-08-23
prog_cn_098,uni_cn_033,Northeastern University,Metallurgical Engineering,Metallurgical Engineering,Master,https://english.neu.edu.cn/,https://english.neu.edu.cn/Academics/,https://english.neu.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Northeastern University official academic and international sources,2026-08-23
prog_cn_099,uni_cn_033,Northeastern University,Mechanical Engineering,Mechanical Engineering,Master,https://english.neu.edu.cn/,https://english.neu.edu.cn/Academics/,https://english.neu.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Northeastern University official academic and international sources,2026-08-23
prog_cn_100,uni_cn_034,Jilin University,Computer Science and Technology,Computer Science and Technology,Master,https://en.jlu.edu.cn/,https://en.jlu.edu.cn/Schools.htm,https://en.jlu.edu.cn/Admissions.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Jilin University official academic and international sources,2026-08-23
prog_cn_101,uni_cn_034,Jilin University,Chemistry,Chemistry,Master,https://en.jlu.edu.cn/,https://en.jlu.edu.cn/Schools.htm,https://en.jlu.edu.cn/Admissions.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Jilin University official academic and international sources,2026-08-23
prog_cn_102,uni_cn_034,Jilin University,Economics,Economics,Master,https://en.jlu.edu.cn/,https://en.jlu.edu.cn/Schools.htm,https://en.jlu.edu.cn/Admissions.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Jilin University official academic and international sources,2026-08-23
prog_cn_103,uni_cn_035,Northeast Normal University,Education,Education,Master,https://en.nenu.edu.cn/,https://en.nenu.edu.cn/Academics.htm,https://en.nenu.edu.cn/Admission.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Northeast Normal University official academic and international sources,2026-08-23
prog_cn_104,uni_cn_035,Northeast Normal University,Psychology,Psychology,Master,https://en.nenu.edu.cn/,https://en.nenu.edu.cn/Academics.htm,https://en.nenu.edu.cn/Admission.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Northeast Normal University official academic and international sources,2026-08-23
prog_cn_105,uni_cn_035,Northeast Normal University,Biology,Biology,Master,https://en.nenu.edu.cn/,https://en.nenu.edu.cn/Academics.htm,https://en.nenu.edu.cn/Admission.htm,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Northeast Normal University official academic and international sources,2026-08-23
prog_cn_106,uni_cn_036,Northeast Forestry University,Forestry,Forestry,Master,https://www.nefu.edu.cn/,https://www.nefu.edu.cn/Academics/,https://www.nefu.edu.cn/Admissions/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Northeast Forestry University official academic and international sources,2026-08-23
prog_cn_107,uni_cn_036,Northeast Forestry University,Wildlife Conservation,Wildlife Conservation,Master,https://www.nefu.edu.cn/,https://www.nefu.edu.cn/Academics/,https://www.nefu.edu.cn/Admissions/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Northeast Forestry University official academic and international sources,2026-08-23
prog_cn_108,uni_cn_036,Northeast Forestry University,Environmental Science,Environmental Science,Master,https://www.nefu.edu.cn/,https://www.nefu.edu.cn/Academics/,https://www.nefu.edu.cn/Admissions/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Northeast Forestry University official academic and international sources,2026-08-23
prog_cn_109,uni_cn_037,East China University of Science and Technology,Chemical Engineering,Chemical Engineering,Master,https://english.ecust.edu.cn/,https://english.ecust.edu.cn/Schools/,https://english.ecust.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from East China University of Science and Technology official academic and international sources,2026-08-23
prog_cn_110,uni_cn_037,East China University of Science and Technology,Materials Science and Engineering,Materials Science and Engineering,Master,https://english.ecust.edu.cn/,https://english.ecust.edu.cn/Schools/,https://english.ecust.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from East China University of Science and Technology official academic and international sources,2026-08-23
prog_cn_111,uni_cn_037,East China University of Science and Technology,Computer Science and Technology,Computer Science and Technology,Master,https://english.ecust.edu.cn/,https://english.ecust.edu.cn/Schools/,https://english.ecust.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from East China University of Science and Technology official academic and international sources,2026-08-23
prog_cn_112,uni_cn_038,Donghua University,Textile Engineering,Textile Engineering,Master,https://english.dhu.edu.cn/,https://english.dhu.edu.cn/Schools/,https://english.dhu.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Donghua University official academic and international sources,2026-08-23
prog_cn_113,uni_cn_038,Donghua University,Fashion Design,Fashion Design,Master,https://english.dhu.edu.cn/,https://english.dhu.edu.cn/Schools/,https://english.dhu.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Donghua University official academic and international sources,2026-08-23
prog_cn_114,uni_cn_038,Donghua University,Materials Science and Engineering,Materials Science and Engineering,Master,https://english.dhu.edu.cn/,https://english.dhu.edu.cn/Schools/,https://english.dhu.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Donghua University official academic and international sources,2026-08-23
prog_cn_115,uni_cn_039,East China Normal University,Education,Education,Master,https://english.ecnu.edu.cn/,https://english.ecnu.edu.cn/Schools/,https://english.ecnu.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from East China Normal University official academic and international sources,2026-08-23
prog_cn_116,uni_cn_039,East China Normal University,Psychology,Psychology,Master,https://english.ecnu.edu.cn/,https://english.ecnu.edu.cn/Schools/,https://english.ecnu.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from East China Normal University official academic and international sources,2026-08-23
prog_cn_117,uni_cn_039,East China Normal University,Computer Science and Technology,Computer Science and Technology,Master,https://english.ecnu.edu.cn/,https://english.ecnu.edu.cn/Schools/,https://english.ecnu.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from East China Normal University official academic and international sources,2026-08-23
prog_cn_118,uni_cn_040,Shanghai University of Finance and Economics,Finance,Finance,Master,https://intl.shufe.edu.cn/,https://intl.shufe.edu.cn/Academics/,https://intl.shufe.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Shanghai University of Finance and Economics official academic and international sources,2026-08-23
prog_cn_119,uni_cn_040,Shanghai University of Finance and Economics,Economics,Economics,Master,https://intl.shufe.edu.cn/,https://intl.shufe.edu.cn/Academics/,https://intl.shufe.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Shanghai University of Finance and Economics official academic and international sources,2026-08-23
prog_cn_120,uni_cn_040,Shanghai University of Finance and Economics,Business Administration,Business Administration,Master,https://intl.shufe.edu.cn/,https://intl.shufe.edu.cn/Academics/,https://intl.shufe.edu.cn/Admission/,VERIFIED,VERIFIED,VERIFIED,Verified from official university postgraduate programme information,Verified from Shanghai University of Finance and Economics official academic and international sources,2026-08-23
