program_id,university_id,university_name,program_name,field_of_study,degree_level,official_program_url,official_department_source,programme_identity_status,programme_identity_evidence,international_application_url,international_applicants_status,international_requirements_note,research_status,research_note,last_verified_at,collected_at
prog_cn_011,uni_cn_004,Shanghai Jiao Tong University,Mechanical Engineering,Engineering,Master,https://me.sjtu.edu.cn/,"School of Mechanical Engineering, Shanghai Jiao Tong University",verified,Confirmed from official Shanghai Jiao Tong University academic source,https://isc.sjtu.edu.cn/,verified_yes,International graduate applicants supported through official SJTU admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_012,uni_cn_004,Shanghai Jiao Tong University,Business Administration,Business,Master,https://www.acem.sjtu.edu.cn/,"Antai College of Economics and Management, Shanghai Jiao Tong University",verified,Confirmed from official Shanghai Jiao Tong University academic source,https://isc.sjtu.edu.cn/,verified_yes,International graduate applicants supported through official SJTU admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_013,uni_cn_005,Fudan University,Computer Science,Computer Science,Master,https://cs.fudan.edu.cn/,"School of Computer Science, Fudan University",verified,Confirmed from official Fudan University academic source,https://iso.fudan.edu.cn/,verified_yes,International graduate applicants supported through official Fudan University admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_014,uni_cn_005,Fudan University,Economics,Economics,Master,https://econ.fudan.edu.cn/,"School of Economics, Fudan University",verified,Confirmed from official Fudan University academic source,https://iso.fudan.edu.cn/,verified_yes,International graduate applicants supported through official Fudan University admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_015,uni_cn_005,Fudan University,International Relations,Political Science,Master,https://sis.fudan.edu.cn/,"School of International Studies, Fudan University",verified,Confirmed from official Fudan University academic source,https://iso.fudan.edu.cn/,verified_yes,International graduate applicants supported through official Fudan University admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_016,uni_cn_006,University of Science and Technology of China,Computer Science and Technology,Computer Science,Master,https://cs.ustc.edu.cn/,"School of Computer Science and Technology, University of Science and Technology of China",verified,Confirmed from official USTC academic source,https://isa.ustc.edu.cn/,verified_yes,International graduate admission supported through official USTC admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_017,uni_cn_006,University of Science and Technology of China,Electronic Engineering,Engineering,Master,https://en.ustc.edu.cn/,"School of Information Science and Technology, USTC",verified,Confirmed from official USTC academic source,https://isa.ustc.edu.cn/,verified_yes,International graduate admission supported through official USTC admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_018,uni_cn_006,University of Science and Technology of China,Management Science and Engineering,Business,Master,https://en.ustc.edu.cn/,"School of Management, USTC",verified,Confirmed from official USTC academic source,https://isa.ustc.edu.cn/,verified_yes,International graduate admission supported through official USTC admission channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_019,uni_cn_007,Harbin Institute of Technology,Computer Science and Technology,Computer Science,Master,https://en.hit.edu.cn/,"School of Computer Science and Technology, Harbin Institute of Technology",verified,Confirmed from official HIT academic source,https://studyathit.hit.edu.cn/,verified_yes,International graduate admission supported through official HIT channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_020,uni_cn_007,Harbin Institute of Technology,Mechanical Engineering,Engineering,Master,https://en.hit.edu.cn/,"School of Mechanical Engineering, Harbin Institute of Technology",verified,Confirmed from official HIT academic source,https://studyathit.hit.edu.cn/,verified_yes,International graduate admission supported through official HIT channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_021,uni_cn_007,Harbin Institute of Technology,Business Administration,Business,Master,https://en.hit.edu.cn/,"School of Economics and Management, Harbin Institute of Technology",verified,Confirmed from official HIT academic source,https://studyathit.hit.edu.cn/,verified_yes,International graduate admission supported through official HIT channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_022,uni_cn_008,Xi'an Jiaotong University,Computer Science and Technology,Computer Science,Master,https://en.xjtu.edu.cn/,"School of Electronic and Information Engineering, Xi'an Jiaotong University",verified,Confirmed from official XJTU academic source,https://sie.xjtu.edu.cn/,verified_yes,International graduate admission supported through official XJTU channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_023,uni_cn_008,Xi'an Jiaotong University,Electrical Engineering,Engineering,Master,https://en.xjtu.edu.cn/,"School of Electrical Engineering, Xi'an Jiaotong University",verified,Confirmed from official XJTU academic source,https://sie.xjtu.edu.cn/,verified_yes,International graduate admission supported through official XJTU channel,verified,Official source verified,2026-08-22,2026-08-22
prog_cn_024,uni_cn_008,Xi'an Jiaotong University,Business Administration,Business,Master,https://en.xjtu.edu.cn/,"School of Management, Xi'an Jiaotong University",verified,Confirmed from official XJTU academic source,https://sie.xjtu.edu.cn/,verified_yes,International graduate admission supported through official XJTU channel,verified,Official source verified,2026-08-22,2026-08-22
