program_id,university_id,program_name,degree_level,program_url,duration_years,duration_source_name,duration_source_url,duration_reason,duration_research_status,study_mode,study_mode_basis,study_mode_research_status,verified_at,research_note
prog_hk_011,uni_hk_004,Bachelor of Science (Honours) Scheme in Data Science and Artificial Intelligence,Bachelor,https://www.polyu.edu.hk/dsai/study/ug/prospective-students/bsc-scheme-in-data-science-and-artificial-intelligence/,4,PolyU DSAI - BSc Scheme in Data Science and Artificial Intelligence,https://www.polyu.edu.hk/dsai/study/ug/prospective-students/bsc-scheme-in-data-science-and-artificial-intelligence/,Official PolyU page states Normal Duration: 4 years (including 1 year with common curriculum).,VERIFIED,Full-time,Official PolyU programme page explicitly states Mode of Study: Full-time.,VERIFIED,2026-08-21,Programme-specific duration and study mode explicitly verified.
prog_hk_012,uni_hk_004,Bachelor's Degree Scheme in Business Administration,Bachelor,https://www.polyu.edu.hk/study/ug/international/2026/js3003,4,PolyU International Undergraduate Admissions - JS3003,https://www.polyu.edu.hk/study/ug/international/2026/js3003,Official PolyU page explicitly states Duration: 4 years.,VERIFIED,Full-time,Official PolyU programme page explicitly states Study Mode: Full-time.,VERIFIED,2026-08-21,Both duration and study mode are programme-page verified for Sept 2026 entry.
prog_hk_013,uni_hk_005,BSc Computer Science,Bachelor,https://www.cityu.edu.hk/admo/programmes/bsc-computer-science,4,CityU Undergraduate Catalogue - Computer Science,https://www.cityu.edu.hk/catalogue/ug/current/Major/BSC1_CSC1-1.htm,CityU current undergraduate catalogue lists Normal Period of Study: 4 years for the normative Computer Science degree.,VERIFIED,Full-time,CityU current Computer Science major overview explicitly lists Mode of Study: Full-time.,VERIFIED,2026-08-21,Current CityU catalogue verifies normative 4-year duration and full-time mode.
prog_hk_014,uni_hk_005,Data Science (Majors: BSc Data Science / BSc Data and Systems Engineering),Bachelor,https://www.cityu.edu.hk/admo/programmes/school-data-science-options-bsc-data-science-bsc-data-and-systems-engineering,4,CityU Department of Data Science - BSc Data Science,https://www.ds.cityu.edu.hk/programmes/undergraduate-programmes/bscds,"CityU official Data Science pages list a normal period of 4 years for normative entry. The grouped EduPath record also includes Data and Systems Engineering, whose official CityU page likewise lists a 4-year normal period.",VERIFIED,Full-time,Official CityU pages for both Data Science and Data and Systems Engineering explicitly list Mode of Study: Full-time.,VERIFIED,2026-08-21,Both major options represented by this grouped record were checked. DSE corroborating source: https://www.ds.cityu.edu.hk/programmes/undergraduate-programmes/bscdse
prog_hk_015,uni_hk_005,BBA Global Business,Bachelor,https://www.cityu.edu.hk/admo/programmes/bba-global-business,4,CityU Undergraduate Catalogue - Global Business,https://www.cityu.edu.hk/catalogue/ug/current/Major/BBA1_GBU-1.htm,CityU current undergraduate catalogue lists Normal Period of Study: 4 years for Global Business.,VERIFIED,Full-time,Official CityU Global Business major overview lists Mode of Study: Full-time.,VERIFIED,2026-08-21,CityU official catalogue supports both normative duration and full-time study mode.
prog_hk_016,uni_hk_006,Bachelor of Science (Hons) in Business Computing and Data Analytics,Bachelor,https://admissions.hkbu.edu.hk/programmes/faculty-of-science/bachelor-of-science-hons-in-business-computing-and-data-analytics-year1.html,4,HKBU Undergraduate Admissions - Business Computing and Data Analytics,https://admissions.hkbu.edu.hk/programmes/faculty-of-science/bachelor-of-science-hons-in-business-computing-and-data-analytics-year1.html,Official HKBU admissions page explicitly states Duration of Study: 4 Years.,VERIFIED,Full-time,Official HKBU admissions page explicitly states Mode of Study: Full Time.,VERIFIED,2026-08-21,Programme-specific HKBU duration and study mode both directly verified.
prog_hk_017,uni_hk_006,Bachelor of Business Administration (Hons),Bachelor,https://admissions.hkbu.edu.hk/programmes/school-of-business/bachelor-of-business-administration-hons-year1.html,4,HKBU Undergraduate Admissions - BBA (Hons),https://admissions.hkbu.edu.hk/programmes/school-of-business/bachelor-of-business-administration-hons-year1.html,Official HKBU admissions page explicitly states Duration of Study: 4 Years.,VERIFIED,Full-time,Official HKBU admissions page explicitly states Mode of Study: Full Time.,VERIFIED,2026-08-21,Programme-specific HKBU duration and study mode both directly verified.
prog_hk_018,uni_hk_006,Bachelor of Communication (Hons) (Journalism and Digital Media / Public Relations and Advertising),Bachelor,https://admissions.hkbu.edu.hk/programmes/school-of-communication/bachelor-of-communication-hons-journalism-and-digital-media-public-relations-and-advertising-year1.html,4,HKBU Undergraduate Admissions - Bachelor of Communication (Hons),https://admissions.hkbu.edu.hk/programmes/school-of-communication/bachelor-of-communication-hons-journalism-and-digital-media-public-relations-and-advertising-year1.html,Official HKBU admissions page explicitly states Duration of Study: 4 Years.,VERIFIED,Full-time,Official HKBU admissions page explicitly states Mode of Study: Full Time.,VERIFIED,2026-08-21,Programme-specific HKBU duration and study mode both directly verified.
prog_hk_019,uni_hk_007,Bachelor of Science (Honours) in Data Science,Bachelor,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/data-science,4,JUPAS - Lingnan University BSc (Hons) in Data Science,https://www.jupas.edu.hk/en/programme/lingnanu/JS7225/,JUPAS programme listing for Lingnan University explicitly states Duration of Study: 4 years.,VERIFIED,Full-time,EduPath analytical normalization for the regular Year-1 undergraduate programme. The duration source explicitly verifies four years but does not explicitly label study mode.,NORMALIZED,2026-08-21,Duration directly reported in JUPAS programme listing; study mode conservatively normalized.
prog_hk_020,uni_hk_007,Bachelor of Social Sciences (Honours) - Government and International Affairs,Bachelor,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/government-and-international-affairs,4,JUPAS - Lingnan University Government and International Affairs,https://www.jupas.edu.hk/en/programme/lingnanu/JS7302/,JUPAS programme listing for Lingnan University explicitly states Duration of Study: 4 years.,VERIFIED,Full-time,EduPath analytical normalization for the regular Year-1 undergraduate programme. The duration source does not explicitly label study mode.,NORMALIZED,2026-08-21,Duration directly reported in JUPAS programme listing; study mode conservatively normalized.
prog_hk_021,uni_hk_007,Bachelor of Social Sciences (Honours) - Social Data Science,Bachelor,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/social-data-science,4,JUPAS - Lingnan University Social Data Science,https://www.jupas.edu.hk/en/programme/lingnanu/JS7307/,JUPAS programme listing for Lingnan University explicitly states Duration of Study: 4 Years.,VERIFIED,Full-time,EduPath analytical normalization for the regular Year-1 undergraduate programme. The duration source does not explicitly label study mode.,NORMALIZED,2026-08-21,Duration directly reported in JUPAS programme listing; study mode conservatively normalized.
prog_hk_022,uni_hk_008,Bachelor of Science (Honours) in Artificial Intelligence and Educational Technology,Bachelor,https://www.apply.eduhk.hk/ug/programmes/aiet,4,EdUHK Undergraduate Programmes - AIET,https://www.apply.eduhk.hk/ug/programmes/aiet,Official EdUHK programme page explicitly states Normal Period of Study: 4 Years (Year 1 Admissions).,VERIFIED,Full-time,Official EdUHK programme page explicitly states Study Mode: Full-time.,VERIFIED,2026-08-21,Year-1 duration and full-time mode directly verified from EdUHK.
prog_hk_023,uni_hk_008,Bachelor of Arts (Honours) in English Studies and Digital Communication,Bachelor,https://www.apply.eduhk.hk/ug/programmes/esdc/,4,EdUHK Undergraduate Programmes - ESDC,https://www.apply.eduhk.hk/ug/programmes/esdc/,Official EdUHK programme page explicitly states Normal Period of Study: 4 Years (Year 1 Admissions).,VERIFIED,Full-time,Official EdUHK programme page explicitly states Study Mode: Full-time.,VERIFIED,2026-08-21,Year-1 duration and full-time mode directly verified from EdUHK.
prog_hk_024,uni_hk_008,Bachelor of Social Sciences (Honours) in Psychology,Bachelor,https://www.apply.eduhk.hk/ug/programmes/psy,4,EdUHK Undergraduate Programmes - Psychology,https://www.apply.eduhk.hk/ug/programmes/psy,Official EdUHK programme page explicitly states Normal Period of Study: 4 Years (Year 1 Admissions).,VERIFIED,Full-time,Official EdUHK programme page explicitly states Study Mode: Full-time.,VERIFIED,2026-08-21,Year-1 duration and full-time mode directly verified from EdUHK.
prog_hk_025,uni_hk_009,Bachelor of Science with Honours in Computing,Bachelor,https://admissions.hkmu.edu.hk/ug/st/bachelor-of-science-with-honours-in-computing/,4,HKMU School of Science and Technology - Computer Science,https://www.hkmu.edu.hk/st/computing/programmes/full-time/5-credit-unit/bschcsj/,Current official HKMU school page describes the regular programme as a 4-year programme and gives a nominal 4-year study period for Year-1 entry.,VERIFIED,Full-time,Current official HKMU school page labels the programme Face-to-Face Full-time.,VERIFIED,2026-08-21,"Duration and mode directly supported by current HKMU source. Current HKMU school source uses the title 'Bachelor of Science with Honours in Computer Science' / BSCHCSJ, while the existing EduPath identity says '...Computing'. Identity was NOT changed in this duration/mode step and should be reviewed separately."
prog_hk_026,uni_hk_009,Bachelor of Business Administration with Honours in Business Management,Bachelor,https://admissions.hkmu.edu.hk/ug/ba/business-management/,4,HKMU Undergraduate Programmes (Full-time) - Business Management,https://www.hkmu.edu.hk/REG/reg_ftae/Admission/Tuition_fee_non_local.pdf,Official HKMU full-time undergraduate programme documentation lists Year-1 Business Management with a duration of 4 years.,VERIFIED,Full-time,The official HKMU source is explicitly the Undergraduate Programmes (Full-time) schedule and lists this programme.,VERIFIED,2026-08-21,Regular Year-1 duration and full-time mode verified from HKMU official programme schedule.
prog_hk_027,uni_hk_009,Bachelor of Business Administration with Honours in Finance and Financial Technology,Bachelor,https://admissions.hkmu.edu.hk/ug/ba/finance-and-financial-technology/,4,HKMU Undergraduate Programmes (Full-time) - Finance and Financial Technology,https://www.hkmu.edu.hk/REG/reg_ftae/Admission/Tuition_fee_non_local.pdf,Official HKMU full-time undergraduate programme documentation lists Year-1 Finance and Financial Technology with a duration of 4 years.,VERIFIED,Full-time,The official HKMU source is explicitly the Undergraduate Programmes (Full-time) schedule and lists this programme.,VERIFIED,2026-08-21,Regular Year-1 duration and full-time mode verified from HKMU official programme schedule.
prog_hk_028,uni_hk_010,Bachelor of Science with Honours in Applied Data Science,Bachelor,https://adsci.hksyu.edu/programme/BSc-ADS/programme-overview,4,HKSYU Applied Data Science Programme Structure,https://adsci.hksyu.edu/programme/BSc-ADS/programme-structure,Official HKSYU programme information explicitly states Duration of Programme: 4 years.,VERIFIED,Full-time,Official HKSYU programme information explicitly states Mode of Study: Full-time.,VERIFIED,2026-08-21,Duration and full-time study mode both directly verified from HKSYU programme information.
prog_hk_029,uni_hk_010,Bachelor of Commerce (Honours) in Financial Technology,Bachelor,https://ef.hksyu.edu/Programmes/BCom-in-FinTech,4,HKSYU Bachelor of Commerce (Honours) in Financial Technology,https://ef.hksyu.edu/Programmes/BCom-in-FinTech,Official HKSYU programme information explicitly states Duration of Programme: Four Years.,VERIFIED,Full-time,Official HKSYU programme information explicitly states Mode of Attendance: Full-time.,VERIFIED,2026-08-21,Duration and full-time attendance both directly verified from HKSYU.
prog_hk_030,uni_hk_010,Bachelor of Social Sciences (Honours) in Psychology,Bachelor,https://counpsy.hksyu.edu/,4,HKSYU Bachelor of Social Sciences (Hons) in Psychology,https://counpsy.hksyu.edu/UndergraduateProgrammes/BachelorofSocialSciences%28Hons%29inPsychology/Introduction,Official HKSYU programme page explicitly states Duration of Programme: Four Years.,VERIFIED,Full-time,Official HKSYU programme page explicitly states Mode of Attendance: Full-time.,VERIFIED,2026-08-21,Programme-specific duration and mode directly verified from HKSYU.
prog_hk_031,uni_hk_011,Bachelor of Science (Honours) in Applied Computing,Bachelor,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/hkdse-sssdp/admission-policy/bachelor-of-science-hons-in-applied-computing-jssh03/,4,HSUHK Admission FAQ - SSSDP Undergraduate Programmes,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/hkdse-sssdp/faq/,Official HSUHK admission FAQ lists Bachelor of Science (Honours) in Applied Computing among its four-year full-time SSSDP undergraduate programmes.,VERIFIED,Full-time,Official HSUHK admission FAQ explicitly identifies the programme as a full-time undergraduate programme.,VERIFIED,2026-08-21,Duration and full-time study mode directly verified from current HSUHK admissions information.
prog_hk_032,uni_hk_011,Bachelor of Science (Honours) in Data Science and Business Intelligence,Bachelor,https://msi.hsu.edu.hk/en/dsbi/programme-information/,4,HSUHK Admission FAQ - SSSDP Undergraduate Programmes,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/hkdse-sssdp/faq/,Official HSUHK admission FAQ lists Bachelor of Science (Honours) in Data Science and Business Intelligence among its four-year full-time SSSDP undergraduate programmes.,VERIFIED,Full-time,Official HSUHK admission FAQ explicitly identifies the programme as full-time.,VERIFIED,2026-08-21,Duration and study mode directly verified from current HSUHK admissions information.
prog_hk_033,uni_hk_011,Bachelor of Science (Honours) in Business Analytics and Information Management,Bachelor,https://scm.hsu.edu.hk/baim-msim-programme-overview/,4,HSUHK Admission FAQ - SSSDP Undergraduate Programmes,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/hkdse-sssdp/faq/,Official HSUHK admission FAQ lists Bachelor of Science (Honours) in Business Analytics and Information Management among its four-year full-time SSSDP undergraduate programmes.,VERIFIED,Full-time,Official HSUHK admission FAQ explicitly identifies the programme as full-time.,VERIFIED,2026-08-21,Duration and study mode directly verified from current HSUHK admissions information.
prog_hk_034,uni_hk_012,Bachelor of Science (Hons) in Computer Science,Bachelor,https://cs.chuhai.edu.hk/home/?lang=en,4,Hong Kong Chu Hai College - BSc (Hons) in Computer Science,https://cs.chuhai.edu.hk/video/?lang=en,Official programme page explicitly states Duration: 4 Years.,VERIFIED,Full-time,Official programme page explicitly states Study Mode: Full Time.,VERIFIED,2026-08-21,Programme-specific duration and mode directly verified from Chu Hai College.
prog_hk_035,uni_hk_012,Bachelor of Business Administration (Hons) in Finance and Information Management,Bachelor,https://fne.chuhai.edu.hk/?page_id=142,4,Hong Kong Chu Hai College Faculty of Business - Overview,https://fob.chuhai.edu.hk/?page_id=25,Official Faculty of Business overview states that the Faculty offers four full-time 4-year undergraduate degree programmes and explicitly includes Bachelor of Business Administration (Hons) in Finance and Information Management.,VERIFIED,Full-time,The official Faculty of Business overview explicitly describes this programme group as full-time.,VERIFIED,2026-08-21,Duration and study mode verified from the current Chu Hai Faculty of Business programme overview.
prog_hk_036,uni_hk_012,Bachelor of Arts (Hons) in Communication and Digital Media,Bachelor,https://jcm.chuhai.edu.hk/bachelor-of-arts-hons-in-communication-and-digital-media/,4,Hong Kong Chu Hai College - Communication and Digital Media,https://jcm.chuhai.edu.hk/bachelor-of-arts-hons-in-communication-and-digital-media/,Official current programme page explicitly states Normal Duration: 4 Years.,VERIFIED,Full-time,EduPath analytical normalization for the regular undergraduate programme. The current programme page explicitly verifies four-year duration but does not explicitly label the study mode.,NORMALIZED,2026-08-21,Duration directly verified from current programme page. Study mode conservatively normalized because no explicit current mode label was found.
prog_hk_037,uni_hk_013,Bachelor of Business Administration (Honours),Bachelor,https://www.sfu.edu.hk/en/admission/programmes-by-qflevel/bachelor-s-degree-programmes/bachelor-of-business-administration-honours/introduction/index.html,4,Saint Francis University - BBA (Honours),https://www.sfu.edu.hk/en/admission/programmes-by-qflevel/bachelor-s-degree-programmes/bachelor-of-business-administration-honours/introduction/index.html,Official SFU page states Duration and Mode of Study: 4-year full-time.,VERIFIED,Full-time,Official SFU programme page explicitly states 4-year full-time.,VERIFIED,2026-08-21,Duration and full-time mode directly verified.
prog_hk_038,uni_hk_013,Bachelor of Arts (Honours) in Translation Technology,Bachelor,https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-arts-honours-in-translation-technology/introduction/index.html,4,Saint Francis University - BA (Honours) in Translation Technology,https://www.sfu.edu.hk/en/admission/programmes-by-qflevel/bachelor-s-degree-programmes/bachelor-of-arts-honours-in-translation-technology/introduction/index.html,Official SFU page states the programme is a 4-year full-time programme.,VERIFIED,Full-time,"Official SFU page explicitly states full-time. A separate six-year part-time pathway is noted, but the EduPath Year-1 record represents the regular four-year full-time programme.",VERIFIED,2026-08-21,Regular four-year full-time pathway directly verified.
prog_hk_039,uni_hk_013,Bachelor of Science (Honours) in Artificial Intelligence and Multimedia Technology,Bachelor,https://www.sfu.edu.hk/en/admission/programmes-by-qflevel/bachelor-s-degree-programmes/bachelor-of-science-honours-in-artificial-intelligence-and-multimedia-technology-/introduction/index.html,4,Saint Francis University - Artificial Intelligence and Multimedia Technology,https://www.sfu.edu.hk/en/admission/programmes-by-qflevel/bachelor-s-degree-programmes/bachelor-of-science-honours-in-artificial-intelligence-and-multimedia-technology-/introduction/index.html,Official SFU programme page states 4-year full-time programme.,VERIFIED,Full-time,Official SFU page explicitly labels the programme full-time.,VERIFIED,2026-08-21,Programme-specific duration and mode directly verified.
prog_hk_040,uni_hk_014,Bachelor of Science (Honours) in Multimedia Technology and Innovation,Bachelor,https://thei.edu.hk/departments/department-of-digital-innovation-and-technology/bachelor-of-science-honours-multimedia-technology-and-innovation/,4,THEi - Multimedia Technology and Innovation,https://thei.edu.hk/departments/department-of-digital-innovation-and-technology/bachelor-of-science-honours-multimedia-technology-and-innovation/,Official THEi programme information states Year 1 Entry: 4 Years (Full-Time).,VERIFIED,Full-time,Official THEi programme page explicitly states Year 1 Entry is Full-Time.,VERIFIED,2026-08-21,Year-1 duration and mode directly verified from THEi.
prog_hk_041,uni_hk_014,Bachelor of Science (Honours) in Information and Communications Technology,Bachelor,https://thei.edu.hk/departments/department-of-digital-innovation-and-technology/bachelor-of-science-honours-information-and-communications-technology/,4,THEi - Information and Communications Technology,https://thei.edu.hk/departments/department-of-digital-innovation-and-technology/bachelor-of-science-honours-information-and-communications-technology/,Official THEi programme page explicitly states Year 1 Entry: 4 Years (Full-Time).,VERIFIED,Full-time,Official THEi programme page explicitly states Full-Time for Year-1 entry.,VERIFIED,2026-08-21,Year-1 duration and full-time mode directly verified.
prog_hk_042,uni_hk_014,Bachelor of Arts (Honours) in Fashion Design,Bachelor,https://thei.edu.hk/departments/department-of-design-and-architecture/bachelor-of-arts-honours-fashion-design/,4,THEi - BA (Honours) in Fashion Design,https://thei.edu.hk/departments/department-of-design-and-architecture/bachelor-of-arts-honours-fashion-design/,Official THEi programme page explicitly states Year 1 Entry: 4 Years (Full-Time).,VERIFIED,Full-time,Official THEi programme page explicitly identifies Year-1 entry as Full-Time.,VERIFIED,2026-08-21,Year-1 duration and full-time mode directly verified.
prog_hk_043,uni_hk_015,Bachelor of Social Science (Honours) in Applied Psychology,Bachelor,https://www.twc.edu.hk/en/Programmes/bssap/admission_requirement,4,Tung Wah College - Applied Psychology,https://www.twc.edu.hk/en/Programmes/bssap,Current official TWC programme page explicitly states 4 years full-time.,VERIFIED,Full-time,Current official TWC programme page explicitly identifies the programme as full-time.,VERIFIED,2026-08-21,Current TWC programme page directly verifies duration and full-time mode.
prog_hk_044,uni_hk_015,Bachelor of Management (Honours) in Social and Business Sustainability,Bachelor,https://www.twc.edu.hk/en/Programmes/bmgtsbs/admission_requirement,4,Tung Wah College - Social and Business Sustainability,https://www.twc.edu.hk/en/Programmes/bmgtsbs,Current official TWC programme page explicitly states 4 years full-time.,VERIFIED,Full-time,Current official TWC programme page explicitly identifies the programme as full-time.,VERIFIED,2026-08-21,Duration and full-time mode directly verified from current TWC programme information.
prog_hk_045,uni_hk_015,Bachelor of Science (Honours) in Biomedical Science,Bachelor,https://www.twc.edu.hk/en/Programmes/bsbms,4,Tung Wah College - Biomedical Science,https://www.twc.edu.hk/en/Programmes/bsbms,Current official TWC programme page explicitly states 4 years full-time.,VERIFIED,Full-time,Current official TWC programme page explicitly identifies the programme as full-time.,VERIFIED,2026-08-21,Current programme information directly verifies duration and study mode.
