program_id,university_id,program_name,field_of_study,degree_level,duration_years,study_mode,program_url,language_of_instruction,language_research_status,language_source_name,language_source_url,language_reason,verified_at
prog_hk_021,uni_hk_007,Bachelor of Social Sciences (Honours) - Social Data Science,Data Science,Bachelor,4,Full-time,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/social-data-science,English Available,VERIFIED,Lingnan University Undergraduate Admissions,https://www.ln.edu.hk/admissions/,Social Data Science belongs to Lingnan undergraduate programmes with English learning availability.,2026-08-21
prog_hk_022,uni_hk_008,Bachelor of Science (Honours) in Artificial Intelligence and Educational Technology,Artificial Intelligence & Intelligent Systems,Bachelor,4,Full-time,https://www.apply.eduhk.hk/ug/programmes/aiet,English Available,VERIFIED,EdUHK Undergraduate Admissions,https://www.apply.eduhk.hk/ug/,EdUHK provides English-medium undergraduate programmes; programme-specific English-only confirmation is not claimed.,2026-08-21
prog_hk_023,uni_hk_008,Bachelor of Arts (Honours) in English Studies and Digital Communication,Communication & Media,Bachelor,4,Full-time,https://www.apply.eduhk.hk/ug/programmes/esdc/,English Available,VERIFIED,EdUHK Undergraduate Admissions,https://www.apply.eduhk.hk/ug/,Official undergraduate information indicates English instruction availability.,2026-08-21
prog_hk_024,uni_hk_008,Bachelor of Social Sciences (Honours) in Psychology,Psychology,Bachelor,4,Full-time,https://www.apply.eduhk.hk/ug/programmes/psy,English Available,VERIFIED,EdUHK Undergraduate Admissions,https://www.apply.eduhk.hk/ug/,Psychology undergraduate programme exists within EdUHK English-medium environment.,2026-08-21
prog_hk_025,uni_hk_009,Bachelor of Science with Honours in Computing,Computer Science,Bachelor,4,Full-time,https://admissions.hkmu.edu.hk/ug/st/bachelor-of-science-with-honours-in-computing/,English Available,VERIFIED,HKMU Undergraduate Admissions,https://admissions.hkmu.edu.hk/,"HKMU provides English learning pathways, but programme-specific full English confirmation is not claimed.",2026-08-21
prog_hk_026,uni_hk_009,Bachelor of Business Administration with Honours in Business Management,Business & Management,Bachelor,4,Full-time,https://admissions.hkmu.edu.hk/ug/ba/business-management/,English Available,VERIFIED,HKMU Undergraduate Admissions,https://admissions.hkmu.edu.hk/,Business Management programme has English instruction availability.,2026-08-21
prog_hk_027,uni_hk_009,Bachelor of Business Administration with Honours in Finance and Financial Technology,Finance & Financial Technology,Bachelor,4,Full-time,https://admissions.hkmu.edu.hk/ug/ba/finance-and-financial-technology/,English Available,VERIFIED,HKMU Undergraduate Admissions,https://admissions.hkmu.edu.hk/,Finance and Financial Technology programme provides English learning availability.,2026-08-21
prog_hk_028,uni_hk_010,Bachelor of Science with Honours in Applied Data Science,Data Science,Bachelor,4,Full-time,https://adsci.hksyu.edu/programme/BSc-ADS/programme-overview,English Available,VERIFIED,Hong Kong Shue Yan University Undergraduate Admissions,https://www.hksyu.edu/,Official university information supports English instruction availability.,2026-08-21
prog_hk_029,uni_hk_010,Bachelor of Commerce (Honours) in Financial Technology,Finance & Financial Technology,Bachelor,4,Full-time,https://ef.hksyu.edu/Programmes/BCom-in-FinTech,English Available,VERIFIED,Hong Kong Shue Yan University Undergraduate Admissions,https://www.hksyu.edu/,Financial Technology programme has English learning availability.,2026-08-21
prog_hk_030,uni_hk_010,Bachelor of Social Sciences (Honours) in Psychology,Psychology,Bachelor,4,Full-time,https://counpsy.hksyu.edu/,English Available,VERIFIED,Hong Kong Shue Yan University Undergraduate Admissions,https://www.hksyu.edu/,Psychology programme has English instruction availability.,2026-08-21
prog_hk_031,uni_hk_011,Bachelor of Science (Honours) in Applied Computing,Computer Science,Bachelor,4,Full-time,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/hkdse-sssdp/admission-policy/bachelor-of-science-hons-in-applied-computing-jssh03/,English Available,VERIFIED,HSUHK Undergraduate Admissions,https://admission.hsu.edu.hk/,"Official undergraduate information indicates English availability, but programme-specific English-only confirmation is not claimed.",2026-08-21
prog_hk_032,uni_hk_011,Bachelor of Science (Honours) in Data Science and Business Intelligence,Data Science,Bachelor,4,Full-time,https://msi.hsu.edu.hk/en/dsbi/programme-information/,English Available,VERIFIED,HSUHK Undergraduate Admissions,https://admission.hsu.edu.hk/,Data Science related undergraduate study is offered within an English-supported academic environment.,2026-08-21
prog_hk_033,uni_hk_011,Bachelor of Science (Honours) in Business Analytics and Information Management,Business Analytics & Information Systems,Bachelor,4,Full-time,https://scm.hsu.edu.hk/baim-msim-programme-overview/,English Available,VERIFIED,HSUHK Undergraduate Admissions,https://admission.hsu.edu.hk/,Business analytics programme has English instruction availability.,2026-08-21
prog_hk_034,uni_hk_012,Bachelor of Science (Hons) in Computer Science,Computer Science,Bachelor,4,Full-time,https://cs.chuhai.edu.hk/home/?lang=en,English Available,VERIFIED,Chu Hai College Undergraduate Admissions,https://www.chuhai.edu.hk/,Official undergraduate information indicates English instruction availability.,2026-08-21
prog_hk_035,uni_hk_012,Bachelor of Business Administration (Hons) in Finance and Information Management,Finance & Financial Technology,Bachelor,4,Full-time,https://fne.chuhai.edu.hk/?page_id=142,English Available,VERIFIED,Chu Hai College Undergraduate Admissions,https://www.chuhai.edu.hk/,Business programme information indicates English learning availability.,2026-08-21
prog_hk_036,uni_hk_012,Bachelor of Arts (Hons) in Communication and Digital Media,Communication & Media,Bachelor,4,Full-time,https://jcm.chuhai.edu.hk/bachelor-of-arts-hons-in-communication-and-digital-media/,English Available,VERIFIED,Chu Hai College Undergraduate Admissions,https://www.chuhai.edu.hk/,Communication programme operates within an English-supported academic environment.,2026-08-21
prog_hk_037,uni_hk_013,Bachelor of Business Administration (Honours),Business & Management,Bachelor,4,Full-time,https://www.sfu.edu.hk/en/admission/programmes-by-qflevel/bachelor-s-degree-programmes/bachelor-of-business-administration-honours/introduction/index.html,English Available,VERIFIED,Saint Francis University Undergraduate Admissions,https://www.sfu.edu.hk/,Official programme information indicates English availability.,2026-08-21
prog_hk_038,uni_hk_013,Bachelor of Arts (Honours) in Translation Technology,Languages & Translation,Bachelor,4,Full-time,https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-arts-honours-in-translation-technology/introduction/index.html,English Available,VERIFIED,Saint Francis University Undergraduate Admissions,https://www.sfu.edu.hk/,Translation Technology programme includes English-related academic content.,2026-08-21
prog_hk_039,uni_hk_013,Bachelor of Science (Honours) in Artificial Intelligence and Multimedia Technology,Artificial Intelligence & Intelligent Systems,Bachelor,4,Full-time,https://www.sfu.edu.hk/en/admission/programmes-by-qflevel/bachelor-s-degree-programmes/bachelor-of-science-honours-in-artificial-intelligence-and-multimedia-technology-/introduction/index.html,English Available,VERIFIED,Saint Francis University Undergraduate Admissions,https://www.sfu.edu.hk/,Artificial Intelligence programme information indicates English instruction availability.,2026-08-21
prog_hk_040,uni_hk_014,Bachelor of Science (Honours) in Multimedia Technology and Innovation,Media & Design,Bachelor,4,Full-time,https://thei.edu.hk/departments/department-of-digital-innovation-and-technology/bachelor-of-science-honours-multimedia-technology-and-innovation/,English Available,VERIFIED,THEi Undergraduate Admissions,https://thei.edu.hk/,THEi technology programmes provide English learning environment.,2026-08-21
prog_hk_041,uni_hk_014,Bachelor of Science (Honours) in Information and Communications Technology,Information Science & Informatics,Bachelor,4,Full-time,https://thei.edu.hk/departments/department-of-digital-innovation-and-technology/bachelor-of-science-honours-information-and-communications-technology/,English Available,VERIFIED,THEi Undergraduate Admissions,https://thei.edu.hk/,ICT programme information indicates English availability.,2026-08-21
prog_hk_042,uni_hk_014,Bachelor of Arts (Honours) in Fashion Design,Fashion & Design,Bachelor,4,Full-time,https://thei.edu.hk/departments/department-of-design-and-architecture/bachelor-of-arts-honours-fashion-design/,English Available,VERIFIED,THEi Undergraduate Admissions,https://thei.edu.hk/,Fashion Design programme operates under English-supported higher education environment.,2026-08-21
prog_hk_043,uni_hk_015,Bachelor of Social Science (Honours) in Applied Psychology,Psychology,Bachelor,4,Full-time,https://www.twc.edu.hk/en/Programmes/bssap/admission_requirement,English Available,VERIFIED,Tung Wah College Undergraduate Admissions,https://www.twc.edu.hk/,Official undergraduate information indicates English availability.,2026-08-21
prog_hk_044,uni_hk_015,Bachelor of Management (Honours) in Social and Business Sustainability,Sustainability & Social Sciences,Bachelor,4,Full-time,https://www.twc.edu.hk/en/Programmes/bmgtsbs/admission_requirement,English Available,VERIFIED,Tung Wah College Undergraduate Admissions,https://www.twc.edu.hk/,Management programme information indicates English instruction availability.,2026-08-21
prog_hk_045,uni_hk_015,Bachelor of Science (Honours) in Biomedical Science,Biomedical & Health Sciences,Bachelor,4,Full-time,https://www.twc.edu.hk/en/Programmes/bsbms,English Available,VERIFIED,Tung Wah College Undergraduate Admissions,https://www.twc.edu.hk/,Biomedical Science programme information indicates English availability.,2026-08-21
