program_id,university_id,program_name,detail_research_status,programme_detail_source_url,tuition_source_url,international_admissions_source_url,verified_fields,unresolved_fields,evidence_note,verified_at
prog_mo_011,uni_mo_004,Bachelor of Business Administration,REVIEWED_PARTIAL,https://www.cityu.edu.mo/en/admissions/bachelors-degree-programmes/,https://ado.cityu.edu.mo/en/uploads/userfiles/Prospectus%202026-2027%281%29.pdf,https://www.cityu.edu.mo/en/apply-now-bachelors-degree-programs-2026-2027-macao-hong-kong-taiwan-overseas/,duration_years; language_of_instruction; tuition_fee; tuition_currency; tuition_period,study_mode; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,"Current Bachelor list identifies the selected BBA as Chinese-medium; 2026/27 tuition is HKD125,000 annually.",2026-08-22
prog_mo_012,uni_mo_004,Bachelor of International Tourism and Hotel Management,REVIEWED_PARTIAL,https://www.cityu.edu.mo/en/admissions/bachelors-degree-programmes/,https://ado.cityu.edu.mo/en/uploads/userfiles/Prospectus%202026-2027%281%29.pdf,https://www.cityu.edu.mo/en/apply-now-bachelors-degree-programs-2026-2027-macao-hong-kong-taiwan-overseas/,duration_years; study_mode; language_of_instruction; tuition_fee; tuition_currency; tuition_period,minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,"The selected International Tourism and Hotel Management English route is retained as English. Current sources support 4-year study and HKD115,000 annual tuition.",2026-08-22
prog_mo_013,uni_mo_005,Bachelor of Business Administration,REVIEWED_PARTIAL,https://www.usj.edu.mo/en/course/ba-business-administration/,https://www.usj.edu.mo/en/admissions/undergraduate-admissions/undergraduate-programmes-tuition-fees/,https://www.usj.edu.mo/en/international/international-application/,duration_years; study_mode; language_of_instruction; tuition_fee; tuition_currency; tuition_period,minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,"Official USJ programme information supports 4 years, full-time daytime and English. 2026/27 international Bachelor tuition is USD14,000 per year.",2026-08-22
prog_mo_014,uni_mo_005,Bachelor of Biology and Biotechnology,REVIEWED_PARTIAL,https://www.usj.edu.mo/en/course/bachelor-of-biology-and-biotechnology/,https://www.usj.edu.mo/en/admissions/undergraduate-admissions/undergraduate-programmes-tuition-fees/,https://www.usj.edu.mo/en/international/international-application/,duration_years; study_mode; language_of_instruction; tuition_fee; tuition_currency; tuition_period,minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Official USJ programme and 2026/27 international tuition information verified.,2026-08-22
prog_mo_015,uni_mo_005,Bachelor of Psychology,REVIEWED_PARTIAL,https://www.usj.edu.mo/en/course/ba-psychology/,https://www.usj.edu.mo/en/admissions/undergraduate-admissions/undergraduate-programmes-tuition-fees/,https://www.usj.edu.mo/en/international/international-application/,duration_years; study_mode; language_of_instruction; tuition_fee; tuition_currency; tuition_period,minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,"Official USJ programme information supports 4 years full-time in English and international tuition of USD14,000 per year.",2026-08-22
prog_mo_016,uni_mo_006,Bachelor of Science in Hotel Management,REVIEWED_PARTIAL,https://www.utm.edu.mo/admission/filemanager/Flyer/en/upload/18/2026-2027%20UG%20admission%20brochure%20%28ENG%29.pdf,https://www.utm.edu.mo/admission/filemanager/Flyer/en/upload/18/2026-2027%20UG%20admission%20brochure%20%28ENG%29.pdf,https://www.utm.edu.mo/admission/filemanager/Flyer/en/upload/18/2026-2027%20UG%20admission%20brochure%20%28ENG%29.pdf,duration_years; language_of_instruction; tuition_fee; tuition_currency; tuition_period,study_mode; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,2026/27 official non-local brochure lists Hotel Management under English-medium daytime programmes. Daytime is not force-mapped to Full-time.,2026-08-22
prog_mo_017,uni_mo_006,Bachelor of Science in Tourism Business Management,REVIEWED_PARTIAL,https://www.utm.edu.mo/admission/filemanager/Flyer/en/upload/18/2026-2027%20UG%20admission%20brochure%20%28ENG%29.pdf,https://www.utm.edu.mo/admission/filemanager/Flyer/en/upload/18/2026-2027%20UG%20admission%20brochure%20%28ENG%29.pdf,https://www.utm.edu.mo/admission/filemanager/Flyer/en/upload/18/2026-2027%20UG%20admission%20brochure%20%28ENG%29.pdf,duration_years; language_of_instruction; tuition_fee; tuition_currency; tuition_period,study_mode; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,"Official 2026/27 brochure supports 4-year English-medium Tourism Business Management and MOP480,000 full tuition for students from other countries/regions.",2026-08-22
prog_mo_018,uni_mo_006,Bachelor of Science in Tourism Event Management,REVIEWED_PARTIAL,https://www.utm.edu.mo/admission/filemanager/Flyer/en/upload/18/2026-2027%20UG%20admission%20brochure%20%28ENG%29.pdf,https://www.utm.edu.mo/admission/filemanager/Flyer/en/upload/18/2026-2027%20UG%20admission%20brochure%20%28ENG%29.pdf,https://www.utm.edu.mo/admission/filemanager/Flyer/en/upload/18/2026-2027%20UG%20admission%20brochure%20%28ENG%29.pdf,duration_years; language_of_instruction; tuition_fee; tuition_currency; tuition_period,study_mode; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Official 2026/27 brochure supports 4-year English-medium Tourism Event Management. Daytime wording is not force-normalized into study_mode.,2026-08-22
prog_mo_022,uni_mo_008,Bachelor of Science in Nursing Programme,REVIEWED_PARTIAL,https://www2.kwnc.edu.mo/en/standard/BSN_Programme.html,https://www2.kwnc.edu.mo/en/standard/BSN_Programme.html,https://www2.kwnc.edu.mo/en/standard/BSN_Programme.html,duration_years; study_mode; language_of_instruction; tuition_fee; tuition_currency; tuition_period,minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,"Official 2026/27 BSN information supports 4 years full-time and MOP248,000 total non-Macao tuition. Whole-programme teaching language is not inferred.",2026-08-22
prog_mo_025,uni_mo_009,Bachelor of Business Administration,REVIEWED_PARTIAL,https://mim.edu.mo/?list_186%2F=,,,language_of_instruction,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,BBA identity and Chinese teaching language remain verified. Older fee information is not promoted as current 2026/27 tuition; unresolved fields stay blank.,2026-08-22
prog_mo_028,uni_mo_010,Bachelor's Degree Programme in Smart Tourism and Entertainment Management,REVIEWED_PARTIAL,https://mmc.edu.mo/en/blog/college_en/college_business_en/15367/,,https://mmc.edu.mo/en/blog/category/enrollment_en/,duration_years; study_mode; language_of_instruction,tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Current official programme overview confirms standard full-time duration of 4 years. July 2026 approval confirms Chinese and English face-to-face delivery. Current exact tuition is not stored without verified evidence.,2026-08-22
