program_id,university_id,program_name,degree_level,tuition_fee,tuition_currency,tuition_period,source_name,source_url,verified_at,note
prog_jp_025,uni_jp_009,Computer Science,Master,535800,JPY,Annual,University of Tsukuba Tuition,https://informatics.tsukuba.ac.jp/en/admission-information-en/admission/fees/,2026-08-09,AY2026 tuition. AY2027 tuition revision has been announced; refresh required.
prog_jp_026,uni_jp_009,Intelligent and Mechanical Interaction Systems,Master,535800,JPY,Annual,University of Tsukuba Tuition,https://informatics.tsukuba.ac.jp/en/admission-information-en/admission/fees/,2026-08-09,AY2026 tuition. AY2027 tuition revision has been announced; refresh required.
prog_jp_027,uni_jp_009,Empowerment Informatics,PhD,535800,JPY,Annual,University of Tsukuba Tuition,https://informatics.tsukuba.ac.jp/en/admission-information-en/admission/fees/,2026-08-09,AY2026 tuition. AY2027 tuition revision has been announced; refresh required.
prog_jp_028,uni_jp_010,Computer Science and Systems Engineering,Bachelor,535800,JPY,Annual,Kobe University Tuition,https://www.kobe-u.ac.jp/en/campus-life/tuition/about/,2026-08-09,Current undergraduate and graduate annual tuition.
prog_jp_029,uni_jp_010,System Informatics,Master,535800,JPY,Annual,Kobe University Tuition,https://www.kobe-u.ac.jp/en/campus-life/tuition/about/,2026-08-09,Current undergraduate and graduate annual tuition.
prog_jp_030,uni_jp_010,System Informatics,PhD,535800,JPY,Annual,Kobe University Tuition,https://www.kobe-u.ac.jp/en/campus-life/tuition/about/,2026-08-09,Current undergraduate and graduate annual tuition.
prog_jp_031,uni_jp_011,Pure and Applied Mathematics,Master,991000,JPY,Annual,Waseda University AY2026 Master's Expenses,https://www.waseda.jp/inst/admission/assets/uploads/2025/06/Masters-Professional-Expenses-AY2026.pdf,2026-08-09,Graduate School of Fundamental Science and Engineering tuition only.
prog_jp_032,uni_jp_011,Computer Science and Communications Engineering,Master,991000,JPY,Annual,Waseda University AY2026 Master's Expenses,https://www.waseda.jp/inst/admission/assets/uploads/2025/06/Masters-Professional-Expenses-AY2026.pdf,2026-08-09,Graduate School of Fundamental Science and Engineering tuition only.
prog_jp_033,uni_jp_011,Intermedia Studies,Master,991000,JPY,Annual,Waseda University AY2026 Master's Expenses,https://www.waseda.jp/inst/admission/assets/uploads/2025/06/Masters-Professional-Expenses-AY2026.pdf,2026-08-09,Graduate School of Fundamental Science and Engineering tuition only.
prog_jp_034,uni_jp_012,International Graduate Program,Master,1160000,JPY,Annual,Keio University AY2026 Graduate Academic Fees,https://www.keio.ac.jp/en/admissions/fee/grad/,2026-08-09,Graduate School of Science and Technology.
prog_jp_035,uni_jp_012,International Graduate Program,PhD,740000,JPY,Annual,Keio University AY2026 Graduate Academic Fees,https://www.keio.ac.jp/en/admissions/fee/grad/,2026-08-09,Graduate School of Science and Technology.
prog_jp_036,uni_jp_012,Double Degree Program,Master,1160000,JPY,Annual,Keio University AY2026 Graduate Academic Fees,https://www.keio.ac.jp/en/admissions/fee/grad/,2026-08-09,Graduate School of Science and Technology.
