program_id,university_id,university_name,program_name,research_status,programme_identity_status,identity_source_url,international_applicants_status,international_source_url,verified_fields,unresolved_fields,evidence_note,verified_at
prog_mn_011,uni_mn_004,Mongolian National University of Education,Teacher Education in Informatics,VERIFIED,VERIFIED,https://smns.msue.edu.mn/p/r/5648,unknown,,program_name; field_of_study; degree_level; language_of_instruction; program_url,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Duration and teaching language remain unresolved rather than inferred.,2026-08-22
prog_mn_012,uni_mn_004,Mongolian National University of Education,Software,VERIFIED,VERIFIED,https://smns.msue.edu.mn/p/r/5648,unknown,,program_name; field_of_study; degree_level; language_of_instruction; program_url,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Published credit total is not converted into an assumed programme duration.,2026-08-22
prog_mn_013,uni_mn_005,University of Finance and Economics,Business Management,VERIFIED,VERIFIED,https://admission.ufe.edu.mn/en/professions/1,unknown,,program_name; field_of_study; degree_level; study_mode; language_of_instruction; program_url,duration_years; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,No programme duration or instruction language is inferred.,2026-08-22
prog_mn_014,uni_mn_005,University of Finance and Economics,Marketing + AI,VERIFIED,VERIFIED,https://admission.ufe.edu.mn/en/professions/1,unknown,,program_name; field_of_study; degree_level; study_mode; language_of_instruction; program_url,duration_years; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Current full-time status verified; duration and language remain unresolved.,2026-08-22
prog_mn_015,uni_mn_005,University of Finance and Economics,Finance and Banking,VERIFIED,VERIFIED,https://admission.ufe.edu.mn/en/professions/1,unknown,,program_name; field_of_study; degree_level; study_mode; language_of_instruction; program_url,duration_years; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Current full-time status verified.,2026-08-22
prog_mn_016,uni_mn_006,Mongolian University of Life Sciences,Veterinary Medicine,VERIFIED,VERIFIED,https://muls.edu.mn/view_program_new.php?value_profession=ZW5jb2RldXNlcmlkNjc%3D,unknown,,program_name; field_of_study; degree_level; language_of_instruction; program_url,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,"Duration, study mode, language and tuition remain unresolved.",2026-08-22
prog_mn_017,uni_mn_006,Mongolian University of Life Sciences,Agricultural Biotechnology,VERIFIED,VERIFIED,https://muls.edu.mn/view_program_new.php?value_profession=ZW5jb2RldXNlcmlkMTc%3D,unknown,,program_name; field_of_study; degree_level; language_of_instruction; program_url,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,English programme name is a normalized translation of the current official Mongolian programme title.,2026-08-22
prog_mn_018,uni_mn_006,Mongolian University of Life Sciences,Forestry Engineering,VERIFIED,VERIFIED,https://muls.edu.mn/view_program_new.php?value_profession=ZW5jb2RldXNlcmlkNjc%3D,unknown,,program_name; field_of_study; degree_level; language_of_instruction; program_url,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Optional details remain blank without current programme-specific evidence.,2026-08-22
prog_mn_019,uni_mn_007,German-Mongolian Institute for Resources and Technology,Raw Materials and Process Engineering,VERIFIED,VERIFIED,https://www.gmit.edu.mn/eng/p/16,verified_yes,https://www.gmit.edu.mn/eng/p/13,program_name; field_of_study; degree_level; duration_years; language_of_instruction; ielts_requirement; toefl_requirement; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; intake; application_deadline,Eight semesters normalized to 4 years. Whole-programme teaching language is not inferred solely from English admission requirements.,2026-08-22
prog_mn_020,uni_mn_007,German-Mongolian Institute for Resources and Technology,Mechanical Engineering,VERIFIED,VERIFIED,https://www.gmit.edu.mn/eng/p/18,verified_yes,https://www.gmit.edu.mn/eng/p/13,program_name; field_of_study; degree_level; duration_years; language_of_instruction; ielts_requirement; toefl_requirement; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; intake; application_deadline,Eight semesters normalized to 4 years.,2026-08-22
prog_mn_021,uni_mn_007,German-Mongolian Institute for Resources and Technology,Environmental Engineering,VERIFIED,VERIFIED,https://www.gmit.edu.mn/eng/p/40,verified_yes,https://www.gmit.edu.mn/eng/p/13,program_name; field_of_study; degree_level; duration_years; language_of_instruction; ielts_requirement; toefl_requirement; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; intake; application_deadline,Eight semesters normalized to 4 years.,2026-08-22
prog_mn_022,uni_mn_008,University of the Humanities,,DEFERRED,REVIEWED_UNRESOLVED,,unknown,,,program_name; field_of_study; degree_level; duration_years; study_mode; language_of_instruction; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline; program_url,No sufficiently usable current official programme-level source was verified for Phase-1 slot 1. Deferred rather than fabricated.,2026-08-22
prog_mn_023,uni_mn_008,University of the Humanities,,DEFERRED,REVIEWED_UNRESOLVED,,unknown,,,program_name; field_of_study; degree_level; duration_years; study_mode; language_of_instruction; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline; program_url,No sufficiently usable current official programme-level source was verified for Phase-1 slot 2. Deferred rather than fabricated.,2026-08-22
prog_mn_024,uni_mn_008,University of the Humanities,,DEFERRED,REVIEWED_UNRESOLVED,,unknown,,,program_name; field_of_study; degree_level; duration_years; study_mode; language_of_instruction; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline; program_url,No sufficiently usable current official programme-level source was verified for Phase-1 slot 3. Deferred rather than fabricated.,2026-08-22
prog_mn_025,uni_mn_009,Otgontenger University,Computer Programming,VERIFIED,VERIFIED,https://www.otgontenger.edu.mn/en/training/programs,verified_yes,https://otgontenger.edu.mn/en/about/rules,program_name; field_of_study; degree_level; duration_years; language_of_instruction; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,"The university-level foreign-student rule lists onsite/online/hybrid formats, but no mode is assigned to this individual programme without programme-level evidence.",2026-08-22
prog_mn_026,uni_mn_009,Otgontenger University,Tourism Management,VERIFIED,VERIFIED,https://www.otgontenger.edu.mn/en/training/programs,verified_yes,https://otgontenger.edu.mn/en/about/rules,program_name; field_of_study; degree_level; duration_years; language_of_instruction; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Programme-specific language and study mode remain unresolved.,2026-08-22
prog_mn_027,uni_mn_009,Otgontenger University,International Relations,VERIFIED,VERIFIED,https://www.otgontenger.edu.mn/en/training/programs,verified_yes,https://otgontenger.edu.mn/en/about/rules,program_name; field_of_study; degree_level; duration_years; language_of_instruction; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,No numerical IELTS/TOEFL requirement is stored because the foreign-citizen rule only requires programme-appropriate English evidence where applicable.,2026-08-22
prog_mn_028,uni_mn_010,Etugen University,Medicine - Medical Doctor,VERIFIED,VERIFIED,https://etugen.edu.mn/public/juram2627.pdf,verified_yes,https://etugen.edu.mn/Home/admission/23,program_name; field_of_study; degree_level; duration_years; language_of_instruction; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Official wording is daytime; it is not force-mapped to canonical Full-time.,2026-08-22
prog_mn_029,uni_mn_010,Etugen University,Pharmacy,VERIFIED,VERIFIED,https://etugen.edu.mn/public/juram2627.pdf,verified_yes,https://etugen.edu.mn/Home/admission/23,program_name; field_of_study; degree_level; duration_years; language_of_instruction; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Daytime wording is retained only as evidence; canonical study_mode remains blank.,2026-08-22
prog_mn_030,uni_mn_010,Etugen University,Nursing,VERIFIED,VERIFIED,https://etugen.edu.mn/public/juram2627.pdf,verified_yes,https://etugen.edu.mn/Home/admission/23,program_name; field_of_study; degree_level; duration_years; language_of_instruction; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Programme instruction language is not inferred from admissions information.,2026-08-22
prog_mn_031,uni_mn_011,International University of Ulaanbaatar,Software,VERIFIED,VERIFIED,https://www.iuu.edu.mn/bachelor/program,unknown,,program_name; field_of_study; degree_level; language_of_instruction; program_url,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,University name is not treated as proof of international-student eligibility.,2026-08-22
prog_mn_032,uni_mn_011,International University of Ulaanbaatar,Business Administration,VERIFIED,VERIFIED,https://www.iuu.edu.mn/bachelor/program,unknown,,program_name; field_of_study; degree_level; language_of_instruction; program_url,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,"No duration, mode or language is inferred.",2026-08-22
prog_mn_033,uni_mn_011,International University of Ulaanbaatar,International Relations,VERIFIED,VERIFIED,https://www.iuu.edu.mn/training/department/15,unknown,,program_name; field_of_study; degree_level; language_of_instruction; program_url,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Foreign-language study within the curriculum is not equivalent to whole-programme language of instruction.,2026-08-22
prog_mn_034,uni_mn_012,Mandakh University,Information System,VERIFIED,VERIFIED,https://en.mandakh.edu.mn/information-system,verified_yes,https://en.mandakh.edu.mn/admission-undergraduate-programs,program_name; field_of_study; degree_level; duration_years; language_of_instruction; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Official delivery wording is Day classes; it is not force-mapped to Full-time.,2026-08-22
prog_mn_035,uni_mn_012,Mandakh University,Software,VERIFIED,VERIFIED,https://en.mandakh.edu.mn/software,verified_yes,https://en.mandakh.edu.mn/admission-undergraduate-programs,program_name; field_of_study; degree_level; duration_years; language_of_instruction; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Day classes is preserved as evidence but not force-normalized into study_mode.,2026-08-22
prog_mn_036,uni_mn_012,Mandakh University,Business Administration,VERIFIED,VERIFIED,https://en.mandakh.edu.mn/business-administration-bachelor,verified_yes,https://en.mandakh.edu.mn/admission-undergraduate-programs,program_name; field_of_study; degree_level; duration_years; language_of_instruction; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,The regular Business Administration record is used here; no English-medium claim is made for this selected record.,2026-08-22
