program_id,university_id,university_name,country_id,program_slot,program_name,degree_level,field_of_study,program_url,programme_identity_status,programme_identity_evidence,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,official_university_website,research_status,research_note,last_verified_at,international_applicants_status,international_application_url,international_requirements_note,international_applicants_last_verified_at
prog_mo_012,uni_mo_004,City University of Macau,country_mo,3,Bachelor of International Tourism and Hotel Management,Bachelor,Tourism and Hotel Management,https://www.cityu.edu.mo/en/admissions/bachelors-degree-programmes/,VERIFIED,Official CityU Bachelor programme list confirms International Tourism and Hotel Management.,4,Full-time,English,115000,HKD,Annual,,,,,,,https://www.cityu.edu.mo/,VERIFIED,"Official CityU list provides both Chinese and English versions; English-medium route is available. | DETAIL PASS 2026-08-22: The selected International Tourism and Hotel Management English route is retained as English. Current sources support 4-year study and HKD115,000 annual tuition.",2026-08-22,verified_yes,https://www.cityu.edu.mo/en/apply-now-bachelors-degree-programs-2026-2027-macao-hong-kong-taiwan-overseas/,CityU explicitly lists this programme for its 2026/2027 international applicant route.,2026-08-21
prog_mo_013,uni_mo_005,University of Saint Joseph,country_mo,1,Bachelor of Business Administration,Bachelor,Business Administration,https://www.usj.edu.mo/en/admissions/undergraduate-admissions/,VERIFIED,USJ 2026/2027 official undergraduate admissions page lists Bachelor of Business Administration.,4,Full-time,English,14000,USD,Annual,,,,,,,https://www.usj.edu.mo/en/,VERIFIED,"Current programme identity verified. | DETAIL PASS 2026-08-22: Official USJ programme information supports 4 years, full-time daytime and English. 2026/27 international Bachelor tuition is USD14,000 per year.",2026-08-22,verified_yes,https://www.usj.edu.mo/en/international/international-application/,USJ has a dedicated international application process and its admissions requirements explicitly refer to international prospective students.,2026-08-21
prog_mo_014,uni_mo_005,University of Saint Joseph,country_mo,2,Bachelor of Biology and Biotechnology,Bachelor,Biology and Biotechnology,https://www.usj.edu.mo/en/admissions/undergraduate-admissions/,VERIFIED,USJ official 2026/2027 undergraduate list confirms Bachelor of Biology and Biotechnology.,4,Full-time,English,14000,USD,Annual,,,,,,,https://www.usj.edu.mo/en/,VERIFIED,Current official programme identity verified. | DETAIL PASS 2026-08-22: Official USJ programme and 2026/27 international tuition information verified.,2026-08-22,verified_yes,https://www.usj.edu.mo/en/international/international-application/,USJ accepts international applicants through its official international application process.,2026-08-21
prog_mo_015,uni_mo_005,University of Saint Joseph,country_mo,3,Bachelor of Psychology,Bachelor,Psychology,https://www.usj.edu.mo/en/admissions/undergraduate-admissions/,VERIFIED,USJ official 2026/2027 undergraduate list confirms Bachelor of Psychology.,4,Full-time,English,14000,USD,Annual,,,,,,,https://www.usj.edu.mo/en/,VERIFIED,"Current official programme identity verified. | DETAIL PASS 2026-08-22: Official USJ programme information supports 4 years full-time in English and international tuition of USD14,000 per year.",2026-08-22,verified_yes,https://www.usj.edu.mo/en/international/international-application/,International applicants may apply through USJ's official international application procedure.,2026-08-21
prog_mo_016,uni_mo_006,Macao University of Tourism,country_mo,1,Bachelor of Science in Hotel Management,Bachelor,Hotel Management,https://www.utm.edu.mo/about-utm/quality-assurance-policy,VERIFIED,Official UTM programme information confirms Bachelor of Science in Hotel Management.,4,,English,480000,MOP,Total,,,,,,,https://www.utm.edu.mo/EN/,VERIFIED,UTM official materials show English/Chinese programme options; 2026/27 undergraduate normal duration is four years. | DETAIL PASS 2026-08-22: 2026/27 official non-local brochure lists Hotel Management under English-medium daytime programmes. Daytime is not force-mapped to Full-time.,2026-08-22,verified_yes,https://www.utm.edu.mo/admission/filemanager/Flyer/en/upload/18/2026-2027%20UG%20admission%20brochure%20%28ENG%29.pdf,UTM 2026/2027 undergraduate brochure explicitly provides admission and tuition information for students from other countries or regions and non-local applicants.,2026-08-21
prog_mo_017,uni_mo_006,Macao University of Tourism,country_mo,2,Bachelor of Science in Tourism Business Management,Bachelor,Tourism Business Management,https://www.utm.edu.mo/about-utm/quality-assurance-policy,VERIFIED,Official UTM degree programme information confirms Bachelor of Science in Tourism Business Management.,4,,English,480000,MOP,Total,,,,,,,https://www.utm.edu.mo/EN/,VERIFIED,"Official UTM sources support the programme identity and English/Chinese provision. | DETAIL PASS 2026-08-22: Official 2026/27 brochure supports 4-year English-medium Tourism Business Management and MOP480,000 full tuition for students from other countries/regions.",2026-08-22,verified_yes,https://www.utm.edu.mo/admission/filemanager/Flyer/en/upload/18/2026-2027%20UG%20admission%20brochure%20%28ENG%29.pdf,UTM 2026/2027 admission brochure explicitly covers non-local applicants and students from other countries.,2026-08-21
prog_mo_018,uni_mo_006,Macao University of Tourism,country_mo,3,Bachelor of Science in Tourism Event Management,Bachelor,Tourism Event Management,https://www.utm.edu.mo/about-utm/quality-assurance-policy,VERIFIED,Official UTM programme information confirms Bachelor of Science in Tourism Event Management.,4,,English,480000,MOP,Total,,,,,,,https://www.utm.edu.mo/EN/,VERIFIED,Official UTM sources support the programme identity and English/Chinese provision. | DETAIL PASS 2026-08-22: Official 2026/27 brochure supports 4-year English-medium Tourism Event Management. Daytime wording is not force-normalized into study_mode.,2026-08-22,verified_yes,https://www.utm.edu.mo/admission/filemanager/Flyer/en/upload/18/2026-2027%20UG%20admission%20brochure%20%28ENG%29.pdf,UTM provides an official 2026/2027 non-local undergraduate admission route.,2026-08-21
prog_mo_019,uni_mo_007,Academy of Public Security Forces of Macao,country_mo,1,,,,,REVIEWED_UNRESOLVED,,,,,,,,,,,,,,https://www.fsm.gov.mo/esfsm/,DEFERRED,"Official ESFSM source confirms degree-bearing officer training in security disciplines, but no sufficiently current general programme/admission page suitable for EduPath international-student recommendation was verified.",2026-08-21,unknown,,General international-student admission eligibility could not be verified from current official evidence.,2026-08-21
prog_mo_020,uni_mo_007,Academy of Public Security Forces of Macao,country_mo,2,,,,,REVIEWED_UNRESOLVED,,,,,,,,,,,,,,https://www.fsm.gov.mo/esfsm/,DEFERRED,Slot deferred rather than translating or fabricating an exact current English programme title from older security training information.,2026-08-21,unknown,,No current general international admission route verified.,2026-08-21
prog_mo_021,uni_mo_007,Academy of Public Security Forces of Macao,country_mo,3,,,,,REVIEWED_UNRESOLVED,,,,,,,,,,,,,,https://www.fsm.gov.mo/esfsm/,DEFERRED,Unsupported Phase-1 slot deferred.,2026-08-21,unknown,,International eligibility unresolved.,2026-08-21
prog_mo_022,uni_mo_008,Kiang Wu Nursing College of Macau,country_mo,1,Bachelor of Science in Nursing Programme,Bachelor,Nursing,https://www2.kwnc.edu.mo/en/standard/BSN_Programme.html,VERIFIED,Official Kiang Wu Nursing College 2026/2027 BSN admission page confirms the programme.,4,Full-time,Unknown,248000,MOP,Total,,,,,,,https://www2.kwnc.edu.mo/en/standard/index.html,VERIFIED,"Official page explicitly reports 4 years full-time. Whole-programme medium of instruction was not safely inferred and remains Unknown. | DETAIL PASS 2026-08-22: Official 2026/27 BSN information supports 4 years full-time and MOP248,000 total non-Macao tuition. Whole-programme teaching language is not inferred.",2026-08-22,verified_yes,https://www2.kwnc.edu.mo/en/standard/BSN_Programme.html,Official 2026/2027 BSN page contains a dedicated International Students admission section and requirements.,2026-08-21
prog_mo_023,uni_mo_008,Kiang Wu Nursing College of Macau,country_mo,2,,,,,REVIEWED_UNRESOLVED,,,,,,,,,,,,,,https://www2.kwnc.edu.mo/en/standard/index.html,DEFERRED,A second distinct current undergraduate degree programme was not sufficiently verified. Slot deferred.,2026-08-21,unknown,,No separate programme identity exists for this slot.,2026-08-21
prog_mo_024,uni_mo_008,Kiang Wu Nursing College of Macau,country_mo,3,,,,,REVIEWED_UNRESOLVED,,,,,,,,,,,,,,https://www2.kwnc.edu.mo/en/standard/index.html,DEFERRED,A third distinct current undergraduate degree programme was not sufficiently verified. Slot deferred.,2026-08-21,unknown,,No separate programme identity exists for this slot.,2026-08-21
prog_mo_025,uni_mo_009,Macau Institute of Management,country_mo,1,Bachelor of Business Administration,Bachelor,Business Administration,https://mim.edu.mo/?list_186%2F=,VERIFIED,Official MIM degree programme page confirms the Bachelor of Business Administration.,,,Chinese,,,,,,,,,,https://mim.edu.mo/,VERIFIED,Programme identity is official. MIM states teaching language is Chinese with Chinese/English textbooks. International admission eligibility remains unresolved. | DETAIL PASS 2026-08-22: BBA identity and Chinese teaching language remain verified. Older fee information is not promoted as current 2026/27 tuition; unresolved fields stay blank.,2026-08-22,unknown,,A sufficiently explicit current international-student admission route for this BBA was not verified; do not infer eligibility from the public programme page.,2026-08-21
prog_mo_026,uni_mo_009,Macau Institute of Management,country_mo,2,,,,,REVIEWED_UNRESOLVED,,,,,,,,,,,,,,https://mim.edu.mo/,DEFERRED,Additional programme slot deferred because parent/awarding-institution and admission applicability were not sufficiently clear for canonical inclusion.,2026-08-21,unknown,,International eligibility unresolved.,2026-08-21
prog_mo_027,uni_mo_009,Macau Institute of Management,country_mo,3,,,,,REVIEWED_UNRESOLVED,,,,,,,,,,,,,,https://mim.edu.mo/,DEFERRED,Third slot deferred rather than force-mapping diploma or partner provision into the canonical programme model.,2026-08-21,unknown,,International eligibility unresolved.,2026-08-21
prog_mo_028,uni_mo_010,Macau Millennium College,country_mo,1,Bachelor's Degree Programme in Smart Tourism and Entertainment Management,Bachelor,Smart Tourism and Entertainment Management,https://mmc.edu.mo/en/blog/notice_en/15696/,VERIFIED,"Official MMC July 2026 notice confirms government approval, registration and 2026/2027 implementation of the renamed Bachelor programme.",4,Full-time,Chinese / English,,,,,,,,,,https://mmc.edu.mo/en/,VERIFIED,Current official source states face-to-face delivery in Chinese and English. Face-to-face is not force-mapped to a canonical study_mode value. | DETAIL PASS 2026-08-22: Current official programme overview confirms standard full-time duration of 4 years. July 2026 approval confirms Chinese and English face-to-face delivery. Current exact tuition is not stored without verified evidence.,2026-08-22,verified_yes,https://mmc.edu.mo/en/blog/category/enrollment_en/,MMC official enrolment area provides Macao International/Overseas Enrollment and international student enrolment information.,2026-08-21
prog_mo_029,uni_mo_010,Macau Millennium College,country_mo,2,,,,,REVIEWED_UNRESOLVED,,,,,,,,,,,,,,https://mmc.edu.mo/en/,DEFERRED,The current Associate Degree in Smart Tourism and Entertainment Management is not force-mapped to the existing canonical degree-level enum. Slot deferred.,2026-08-21,unknown,,Deferred programme slot.,2026-08-21
prog_mo_030,uni_mo_010,Macau Millennium College,country_mo,3,,,,,REVIEWED_UNRESOLVED,,,,,,,,,,,,,,https://mmc.edu.mo/en/,DEFERRED,No third current programme was added without sufficient programme-level evidence and schema compatibility.,2026-08-21,unknown,,Deferred programme slot.,2026-08-21
