program_id,university_id,university_name,program_name,degree_level,current_tuition_fee,current_tuition_currency,current_tuition_period,tuition_academic_year,tuition_student_scope,tuition_source_url,tuition_last_verified_at,tuition_note,current_program_url,current_last_verified_at
prog_jp_029,uni_jp_010,Kobe University,System Informatics,Master,535800,JPY,Annual,2026,Graduate Students,https://www.kobe-u.ac.jp/en/campus-life/tuition/about/,2026-08-12T00:00:00,Official Kobe University annual graduate tuition. Admission and entrance examination fees are separate.,https://www.csi.kobe-u.ac.jp/english/,2026-08-09T00:00:00
prog_jp_030,uni_jp_010,Kobe University,System Informatics,PhD,535800,JPY,Annual,2026,Graduate Students,https://www.kobe-u.ac.jp/en/campus-life/tuition/about/,2026-08-12T00:00:00,Official Kobe University annual graduate tuition. Admission and entrance examination fees are separate.,https://www.csi.kobe-u.ac.jp/english/,2026-08-09T00:00:00
prog_jp_005,uni_jp_002,Kyoto University,Communications and Computer Engineering,Master,535800,JPY,Annual,2026,Graduate Students,https://www.kyoto-u.ac.jp/en/current/how-to/tuition/tuition-and-fees,2026-08-12T00:00:00,Official Kyoto University annual graduate tuition. Law School and other special categories may use different tuition rates.,https://www.i.kyoto-u.ac.jp/en/course/,2026-08-09T00:00:00
prog_jp_006,uni_jp_002,Kyoto University,Data Science,Master,535800,JPY,Annual,2026,Graduate Students,https://www.kyoto-u.ac.jp/en/current/how-to/tuition/tuition-and-fees,2026-08-12T00:00:00,Official Kyoto University annual graduate tuition. Law School and other special categories may use different tuition rates.,https://www.i.kyoto-u.ac.jp/en/course/,2026-08-09T00:00:00
prog_jp_004,uni_jp_002,Kyoto University,Intelligence Science and Technology,Master,535800,JPY,Annual,2026,Graduate Students,https://www.kyoto-u.ac.jp/en/current/how-to/tuition/tuition-and-fees,2026-08-12T00:00:00,Official Kyoto University annual graduate tuition. Law School and other special categories may use different tuition rates.,https://www.i.kyoto-u.ac.jp/en/course/,2026-08-09T00:00:00
prog_jp_017,uni_jp_006,Kyushu University,International Master's/Doctoral Program in Electrical and Electronic Engineering,Master,535800,JPY,Annual,2026,Graduate Students,https://www.kyushu-u.ac.jp/en/admission/fees/expenses/,2026-08-12T00:00:00,Official Kyushu University annual graduate tuition. Enrollment and application fees are separate.,https://www.isc.kyushu-u.ac.jp/graduate/,2026-08-09T00:00:00
prog_jp_016,uni_jp_006,Kyushu University,International Master's/Doctoral Program in Information Science and Technology,Master,535800,JPY,Annual,2026,Graduate Students,https://www.kyushu-u.ac.jp/en/admission/fees/expenses/,2026-08-12T00:00:00,Official Kyushu University annual graduate tuition. Enrollment and application fees are separate.,https://www.isc.kyushu-u.ac.jp/graduate/,2026-08-09T00:00:00
prog_jp_018,uni_jp_006,Kyushu University,Master's Program in the Department of Design (Acoustic Design Course),Master,535800,JPY,Annual,2026,Graduate Students,https://www.kyushu-u.ac.jp/en/admission/fees/expenses/,2026-08-12T00:00:00,Official Kyushu University annual graduate tuition. Enrollment and application fees are separate.,https://www.isc.kyushu-u.ac.jp/graduate/,2026-08-09T00:00:00
prog_jp_014,uni_jp_005,Nagoya University,Computing and Software Systems,Master,535800,JPY,Annual,2026,Degree-Seeking Graduate Students,https://life.gmc.nagoya-u.ac.jp/en/life-at-nu/tuition/,2026-08-12T00:00:00,Official Nagoya University annual tuition for degree-seeking graduate students. Registration and application fees are separate.,https://www.i.nagoya-u.ac.jp/en/graduate-school-of-informatics/,2026-08-09T00:00:00
prog_jp_015,uni_jp_005,Nagoya University,Intelligent Systems,Master,535800,JPY,Annual,2026,Degree-Seeking Graduate Students,https://life.gmc.nagoya-u.ac.jp/en/life-at-nu/tuition/,2026-08-12T00:00:00,Official Nagoya University annual tuition for degree-seeking graduate students. Registration and application fees are separate.,https://www.i.nagoya-u.ac.jp/en/graduate-school-of-informatics/,2026-08-09T00:00:00
prog_jp_013,uni_jp_005,Nagoya University,Mathematical Informatics,Master,535800,JPY,Annual,2026,Degree-Seeking Graduate Students,https://life.gmc.nagoya-u.ac.jp/en/life-at-nu/tuition/,2026-08-12T00:00:00,Official Nagoya University annual tuition for degree-seeking graduate students. Registration and application fees are separate.,https://www.i.nagoya-u.ac.jp/en/graduate-school-of-informatics/,2026-08-09T00:00:00
prog_jp_007,uni_jp_003,Osaka University,Computer Science,Master,535800,JPY,Annual,2026,Graduate School of Information Science and Technology - Master's,https://www.ist.osaka-u.ac.jp/files/examinees/admission/2026/15_a_EN2026.pdf,2026-08-12T00:00:00,Annual tuition for the Graduate School of Information Science and Technology. Admission fee is separate.,https://www.ist.osaka-u.ac.jp/english/,2026-08-09T00:00:00
prog_jp_008,uni_jp_003,Osaka University,Information Networking,Master,535800,JPY,Annual,2026,Graduate School of Information Science and Technology - Master's,https://www.ist.osaka-u.ac.jp/files/examinees/admission/2026/15_a_EN2026.pdf,2026-08-12T00:00:00,Annual tuition for the Graduate School of Information Science and Technology. Admission fee is separate.,https://www.ist.osaka-u.ac.jp/english/majors/nw.php,2026-08-09T00:00:00
prog_jp_009,uni_jp_003,Osaka University,Multimedia Engineering,Master,535800,JPY,Annual,2026,Graduate School of Information Science and Technology - Master's,https://www.ist.osaka-u.ac.jp/files/examinees/admission/2026/15_a_EN2026.pdf,2026-08-12T00:00:00,Annual tuition for the Graduate School of Information Science and Technology. Admission fee is separate.,https://www.ist.osaka-u.ac.jp/english/majors/mm.php,2026-08-09T00:00:00
prog_jp_001,uni_jp_001,The University of Tokyo,Computer Science,Master,535800,JPY,Annual,2026,Graduate School of Information Science and Technology - Master's,https://www.i.u-tokyo.ac.jp/edu/entra/2026_admission-g_m_e.pdf,2026-08-12T00:00:00,AY2026 Master's annual tuition. Admission fee is separate.,https://www.i.u-tokyo.ac.jp/index_e.shtml,2026-08-09T00:00:00
prog_jp_003,uni_jp_001,The University of Tokyo,Information Physics & Computing,Master,535800,JPY,Annual,2026,Graduate School of Information Science and Technology - Master's,https://www.i.u-tokyo.ac.jp/edu/entra/2026_admission-g_m_e.pdf,2026-08-12T00:00:00,AY2026 Master's annual tuition. Admission fee is separate.,https://www.i.u-tokyo.ac.jp/index_e.shtml,2026-08-09T00:00:00
prog_jp_002,uni_jp_001,The University of Tokyo,Mathematical Informatics,Master,535800,JPY,Annual,2026,Graduate School of Information Science and Technology - Master's,https://www.i.u-tokyo.ac.jp/edu/entra/2026_admission-g_m_e.pdf,2026-08-12T00:00:00,AY2026 Master's annual tuition. Admission fee is separate.,https://www.i.u-tokyo.ac.jp/index_e.shtml,2026-08-09T00:00:00
prog_jp_012,uni_jp_004,Tohoku University,Applied Information Sciences,Master,535800,JPY,Annual,2026,Graduate School of Information Sciences - Master's,https://www.is.tohoku.ac.jp/media/files/entrance/summary/first202604_20251010_1_1_en.pdf,2026-08-12T00:00:00,AY2026 annual tuition for the Graduate School of Information Sciences. Amount may change if university tuition is revised.,https://www.is.tohoku.ac.jp/en/,2026-08-09T00:00:00
prog_jp_010,uni_jp_004,Tohoku University,Computer and Mathematical Sciences,Master,535800,JPY,Annual,2026,Graduate School of Information Sciences - Master's,https://www.is.tohoku.ac.jp/media/files/entrance/summary/first202604_20251010_1_1_en.pdf,2026-08-12T00:00:00,AY2026 annual tuition for the Graduate School of Information Sciences. Amount may change if university tuition is revised.,https://www.is.tohoku.ac.jp/en/,2026-08-09T00:00:00
prog_jp_011,uni_jp_004,Tohoku University,System Information Sciences,Master,535800,JPY,Annual,2026,Graduate School of Information Sciences - Master's,https://www.is.tohoku.ac.jp/media/files/entrance/summary/first202604_20251010_1_1_en.pdf,2026-08-12T00:00:00,AY2026 annual tuition for the Graduate School of Information Sciences. Amount may change if university tuition is revised.,https://www.is.tohoku.ac.jp/en/,2026-08-09T00:00:00
prog_jp_025,uni_jp_009,University of Tsukuba,Computer Science,Master,535800,JPY,Annual,,,,,,https://www.sie.tsukuba.ac.jp/eng/edu/course/cs/,2026-08-09T00:00:00
prog_jp_026,uni_jp_009,University of Tsukuba,Intelligent and Mechanical Interaction Systems,Master,535800,JPY,Annual,,,,,,https://www.sie.tsukuba.ac.jp/eng/,2026-08-09T00:00:00
prog_jp_027,uni_jp_009,University of Tsukuba,Empowerment Informatics,PhD,535800,JPY,Annual,,,,,,https://www.emp.tsukuba.ac.jp/english,2026-08-09T00:00:00
prog_jp_032,uni_jp_011,Waseda University,Computer Science and Communications Engineering,Master,991000,JPY,Annual,2026,Graduate School of Fundamental Science and Engineering - Master's,https://www.waseda.jp/inst/admission/assets/uploads/2025/06/Masters-Professional-Expenses-AY2026.pdf,2026-08-12T00:00:00,"AY2026 tuition fee only. Admission fee, seminar/laboratory fees and other charges are separate.",https://www.waseda.jp/fsci/en/about/departments,2026-08-09T00:00:00
prog_jp_033,uni_jp_011,Waseda University,Intermedia Studies,Master,991000,JPY,Annual,2026,Graduate School of Fundamental Science and Engineering - Master's,https://www.waseda.jp/inst/admission/assets/uploads/2025/06/Masters-Professional-Expenses-AY2026.pdf,2026-08-12T00:00:00,"AY2026 tuition fee only. Admission fee, seminar/laboratory fees and other charges are separate.",https://www.waseda.jp/fsci/en/about/departments,2026-08-09T00:00:00
prog_jp_031,uni_jp_011,Waseda University,Pure and Applied Mathematics,Master,991000,JPY,Annual,2026,Graduate School of Fundamental Science and Engineering - Master's,https://www.waseda.jp/inst/admission/assets/uploads/2025/06/Masters-Professional-Expenses-AY2026.pdf,2026-08-12T00:00:00,"AY2026 tuition fee only. Admission fee, seminar/laboratory fees and other charges are separate.",https://www.waseda.jp/fsci/en/about/departments,2026-08-09T00:00:00
