program_id,university_id,program_name,degree_level,program_url,intake,application_deadline,schedule_research_status,applicant_scope,admission_route,academic_year,schedule_type,schedule_source_name,schedule_source_url,schedule_evidence,storage_reason,verified_at
prog_hk_011,uni_hk_004,Bachelor of Science (Honours) Scheme in Data Science and Artificial Intelligence,Bachelor,https://www.polyu.edu.hk/dsai/study/ug/prospective-students/bsc-scheme-in-data-science-and-artificial-intelligence/,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International / Other Qualifications,2027/28,Target admission cycle not yet published on reviewed official source,PolyU International / Other Qualifications,https://www.polyu.edu.hk/study/ug/admissions/international-other-qualifications,PolyU's current undergraduate international admissions listings primarily show Sept 2026 entry and 2026 programme application deadlines. A verified 2027/28 application deadline for these three I1 programmes was not yet published on the reviewed official admissions listing.,"The target is 2027/28 admission, but the reviewed official source still publishes the previous/current admission cycle. No 2026 intake or deadline is copied into the master record as if it were a 2027 schedule.",2026-08-21
prog_hk_012,uni_hk_004,Bachelor's Degree Scheme in Business Administration,Bachelor,https://www.polyu.edu.hk/study/ug/international/2026/js3003,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International / Other Qualifications,2027/28,Target admission cycle not yet published on reviewed official source,PolyU International / Other Qualifications,https://www.polyu.edu.hk/study/ug/admissions/international-other-qualifications,PolyU's current undergraduate international admissions listings primarily show Sept 2026 entry and 2026 programme application deadlines. A verified 2027/28 application deadline for these three I1 programmes was not yet published on the reviewed official admissions listing.,"The target is 2027/28 admission, but the reviewed official source still publishes the previous/current admission cycle. No 2026 intake or deadline is copied into the master record as if it were a 2027 schedule.",2026-08-21
prog_hk_013,uni_hk_005,BSc Computer Science,Bachelor,https://www.cityu.edu.hk/admo/programmes/bsc-computer-science,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International Admission - Bachelor's Degree,2027/28,Target admission cycle not yet published on reviewed official source,CityUHK International Admission,https://www.cityu.edu.hk/admo/admissions/international-admissions,"CityUHK's current official international admissions page publishes the 2026-entry cycle: application opens 25 Sep 2025, early deadline 15 Nov 2025, main deadline 15 Jan 2026 and provisional Semester A start on 31 Aug 2026. A 2027-entry exact application schedule was not published on the reviewed page.","The target is 2027/28 admission, but the reviewed official source still publishes the previous/current admission cycle. No 2026 intake or deadline is copied into the master record as if it were a 2027 schedule.",2026-08-21
prog_hk_014,uni_hk_005,Data Science (Majors: BSc Data Science / BSc Data and Systems Engineering),Bachelor,https://www.cityu.edu.hk/admo/programmes/school-data-science-options-bsc-data-science-bsc-data-and-systems-engineering,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International Admission - Bachelor's Degree,2027/28,Target admission cycle not yet published on reviewed official source,CityUHK International Admission,https://www.cityu.edu.hk/admo/admissions/international-admissions,"CityUHK's current official international admissions page publishes the 2026-entry cycle: application opens 25 Sep 2025, early deadline 15 Nov 2025, main deadline 15 Jan 2026 and provisional Semester A start on 31 Aug 2026. A 2027-entry exact application schedule was not published on the reviewed page.","The target is 2027/28 admission, but the reviewed official source still publishes the previous/current admission cycle. No 2026 intake or deadline is copied into the master record as if it were a 2027 schedule.",2026-08-21
prog_hk_015,uni_hk_005,BBA Global Business,Bachelor,https://www.cityu.edu.hk/admo/programmes/bba-global-business,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International Admission - Bachelor's Degree,2027/28,Target admission cycle not yet published on reviewed official source,CityUHK International Admission,https://www.cityu.edu.hk/admo/admissions/international-admissions,"CityUHK's current official international admissions page publishes the 2026-entry cycle: application opens 25 Sep 2025, early deadline 15 Nov 2025, main deadline 15 Jan 2026 and provisional Semester A start on 31 Aug 2026. A 2027-entry exact application schedule was not published on the reviewed page.","The target is 2027/28 admission, but the reviewed official source still publishes the previous/current admission cycle. No 2026 intake or deadline is copied into the master record as if it were a 2027 schedule.",2026-08-21
prog_hk_016,uni_hk_006,Bachelor of Science (Hons) in Business Computing and Data Analytics,Bachelor,https://admissions.hkbu.edu.hk/programmes/faculty-of-science/bachelor-of-science-hons-in-business-computing-and-data-analytics-year1.html,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International Qualifications,2027/28,Target 2027/28 exact schedule not yet safely verified,HKBU Undergraduate Admissions - International Qualifications,https://admissions.hkbu.edu.hk/admissions/international-qualifications.html,"As reviewed on 2026-08-21, HKBU's official international undergraduate admissions page still presents the 2026 admissions timeline and related 2025/26 application-cycle information. A verified exact 2027/28 application deadline for these programmes was not yet available on the reviewed source.",Target admission cycle is 2027/28. The reviewed official material does not yet provide a safely attributable exact 2027/28 programme schedule. Previous-cycle dates are therefore preserved as evidence only and are not stored in master intake or application_deadline fields.,2026-08-21
prog_hk_017,uni_hk_006,Bachelor of Business Administration (Hons),Bachelor,https://admissions.hkbu.edu.hk/programmes/school-of-business/bachelor-of-business-administration-hons-year1.html,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International Qualifications,2027/28,Target 2027/28 exact schedule not yet safely verified,HKBU Undergraduate Admissions - International Qualifications,https://admissions.hkbu.edu.hk/admissions/international-qualifications.html,"As reviewed on 2026-08-21, HKBU's official international undergraduate admissions page still presents the 2026 admissions timeline and related 2025/26 application-cycle information. A verified exact 2027/28 application deadline for these programmes was not yet available on the reviewed source.",Target admission cycle is 2027/28. The reviewed official material does not yet provide a safely attributable exact 2027/28 programme schedule. Previous-cycle dates are therefore preserved as evidence only and are not stored in master intake or application_deadline fields.,2026-08-21
prog_hk_018,uni_hk_006,Bachelor of Communication (Hons) (Journalism and Digital Media / Public Relations and Advertising),Bachelor,https://admissions.hkbu.edu.hk/programmes/school-of-communication/bachelor-of-communication-hons-journalism-and-digital-media-public-relations-and-advertising-year1.html,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International Qualifications,2027/28,Target 2027/28 exact schedule not yet safely verified,HKBU Undergraduate Admissions - International Qualifications,https://admissions.hkbu.edu.hk/admissions/international-qualifications.html,"As reviewed on 2026-08-21, HKBU's official international undergraduate admissions page still presents the 2026 admissions timeline and related 2025/26 application-cycle information. A verified exact 2027/28 application deadline for these programmes was not yet available on the reviewed source.",Target admission cycle is 2027/28. The reviewed official material does not yet provide a safely attributable exact 2027/28 programme schedule. Previous-cycle dates are therefore preserved as evidence only and are not stored in master intake or application_deadline fields.,2026-08-21
prog_hk_019,uni_hk_007,Bachelor of Science (Honours) in Data Science,Bachelor,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/data-science,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,Non-local / International Undergraduate Admission,2027/28,Target 2027/28 exact schedule not yet safely verified,Lingnan University Undergraduate Admissions,https://www.ln.edu.hk/admissions/ug/,Official Lingnan undergraduate admissions sources were reviewed for the target 2027/28 cycle. A sufficiently direct and verified exact 2027/28 intake/deadline schedule for these programmes was not retrieved in this verification pass. No prior-cycle deadline is inferred.,Target admission cycle is 2027/28. The reviewed official material does not yet provide a safely attributable exact 2027/28 programme schedule. Previous-cycle dates are therefore preserved as evidence only and are not stored in master intake or application_deadline fields.,2026-08-21
prog_hk_020,uni_hk_007,Bachelor of Social Sciences (Honours) - Government and International Affairs,Bachelor,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/government-and-international-affairs,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,Non-local / International Undergraduate Admission,2027/28,Target 2027/28 exact schedule not yet safely verified,Lingnan University Undergraduate Admissions,https://www.ln.edu.hk/admissions/ug/,Official Lingnan undergraduate admissions sources were reviewed for the target 2027/28 cycle. A sufficiently direct and verified exact 2027/28 intake/deadline schedule for these programmes was not retrieved in this verification pass. No prior-cycle deadline is inferred.,Target admission cycle is 2027/28. The reviewed official material does not yet provide a safely attributable exact 2027/28 programme schedule. Previous-cycle dates are therefore preserved as evidence only and are not stored in master intake or application_deadline fields.,2026-08-21
prog_hk_021,uni_hk_007,Bachelor of Social Sciences (Honours) - Social Data Science,Bachelor,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/social-data-science,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,Non-local / International Undergraduate Admission,2027/28,Target 2027/28 exact schedule not yet safely verified,Lingnan University Undergraduate Admissions,https://www.ln.edu.hk/admissions/ug/,Official Lingnan undergraduate admissions sources were reviewed for the target 2027/28 cycle. A sufficiently direct and verified exact 2027/28 intake/deadline schedule for these programmes was not retrieved in this verification pass. No prior-cycle deadline is inferred.,Target admission cycle is 2027/28. The reviewed official material does not yet provide a safely attributable exact 2027/28 programme schedule. Previous-cycle dates are therefore preserved as evidence only and are not stored in master intake or application_deadline fields.,2026-08-21
prog_hk_022,uni_hk_008,Bachelor of Science (Honours) in Artificial Intelligence and Educational Technology,Bachelor,https://www.apply.eduhk.hk/ug/programmes/aiet,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International Applicants / Non-local Qualifications,2027/28,Target 2027/28 exact schedule not yet safely verified,EdUHK International Qualifications - Important Dates,https://www.apply.eduhk.hk/ug/nonlocal_dates,"EdUHK's official page currently publishes the 2026/27 schedule: applications opened 2 Oct 2025, with early, main and late application rounds continuing through 6 May 2026, and the academic year commencing in early Sep 2026. A verified 2027/28 exact schedule was not published on the reviewed page.",Target admission cycle is 2027/28. The reviewed official material does not yet provide a safely attributable exact 2027/28 programme schedule. Previous-cycle dates are therefore preserved as evidence only and are not stored in master intake or application_deadline fields.,2026-08-21
prog_hk_023,uni_hk_008,Bachelor of Arts (Honours) in English Studies and Digital Communication,Bachelor,https://www.apply.eduhk.hk/ug/programmes/esdc/,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International Applicants / Non-local Qualifications,2027/28,Target 2027/28 exact schedule not yet safely verified,EdUHK International Qualifications - Important Dates,https://www.apply.eduhk.hk/ug/nonlocal_dates,"EdUHK's official page currently publishes the 2026/27 schedule: applications opened 2 Oct 2025, with early, main and late application rounds continuing through 6 May 2026, and the academic year commencing in early Sep 2026. A verified 2027/28 exact schedule was not published on the reviewed page.",Target admission cycle is 2027/28. The reviewed official material does not yet provide a safely attributable exact 2027/28 programme schedule. Previous-cycle dates are therefore preserved as evidence only and are not stored in master intake or application_deadline fields.,2026-08-21
prog_hk_024,uni_hk_008,Bachelor of Social Sciences (Honours) in Psychology,Bachelor,https://www.apply.eduhk.hk/ug/programmes/psy,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,International Applicants / Non-local Qualifications,2027/28,Target 2027/28 exact schedule not yet safely verified,EdUHK International Qualifications - Important Dates,https://www.apply.eduhk.hk/ug/nonlocal_dates,"EdUHK's official page currently publishes the 2026/27 schedule: applications opened 2 Oct 2025, with early, main and late application rounds continuing through 6 May 2026, and the academic year commencing in early Sep 2026. A verified 2027/28 exact schedule was not published on the reviewed page.",Target admission cycle is 2027/28. The reviewed official material does not yet provide a safely attributable exact 2027/28 programme schedule. Previous-cycle dates are therefore preserved as evidence only and are not stored in master intake or application_deadline fields.,2026-08-21
prog_hk_025,uni_hk_009,Bachelor of Science with Honours in Computing,Bachelor,https://admissions.hkmu.edu.hk/ug/st/bachelor-of-science-with-honours-in-computing/,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,Direct Admission (Non-local),2027/28,Target 2027/28 exact schedule not yet safely verified,HKMU Direct Admission (Non-local),https://admissions.hkmu.edu.hk/ug/overseas/,"HKMU's official non-local undergraduate page currently publishes the 2026/27 cycle: applications started 20 Oct 2025, the first-round deadline was 31 Mar 2026, the overseas-applicant second-round deadline was 31 May 2026, and term commencement was 1 Sep 2026. A verified 2027/28 exact schedule was not published on the reviewed page.",Target admission cycle is 2027/28. The reviewed official material does not yet provide a safely attributable exact 2027/28 programme schedule. Previous-cycle dates are therefore preserved as evidence only and are not stored in master intake or application_deadline fields.,2026-08-21
prog_hk_026,uni_hk_009,Bachelor of Business Administration with Honours in Business Management,Bachelor,https://admissions.hkmu.edu.hk/ug/ba/business-management/,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,Direct Admission (Non-local),2027/28,Target 2027/28 exact schedule not yet safely verified,HKMU Direct Admission (Non-local),https://admissions.hkmu.edu.hk/ug/overseas/,"HKMU's official non-local undergraduate page currently publishes the 2026/27 cycle: applications started 20 Oct 2025, the first-round deadline was 31 Mar 2026, the overseas-applicant second-round deadline was 31 May 2026, and term commencement was 1 Sep 2026. A verified 2027/28 exact schedule was not published on the reviewed page.",Target admission cycle is 2027/28. The reviewed official material does not yet provide a safely attributable exact 2027/28 programme schedule. Previous-cycle dates are therefore preserved as evidence only and are not stored in master intake or application_deadline fields.,2026-08-21
prog_hk_027,uni_hk_009,Bachelor of Business Administration with Honours in Finance and Financial Technology,Bachelor,https://admissions.hkmu.edu.hk/ug/ba/finance-and-financial-technology/,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,Direct Admission (Non-local),2027/28,Target 2027/28 exact schedule not yet safely verified,HKMU Direct Admission (Non-local),https://admissions.hkmu.edu.hk/ug/overseas/,"HKMU's official non-local undergraduate page currently publishes the 2026/27 cycle: applications started 20 Oct 2025, the first-round deadline was 31 Mar 2026, the overseas-applicant second-round deadline was 31 May 2026, and term commencement was 1 Sep 2026. A verified 2027/28 exact schedule was not published on the reviewed page.",Target admission cycle is 2027/28. The reviewed official material does not yet provide a safely attributable exact 2027/28 programme schedule. Previous-cycle dates are therefore preserved as evidence only and are not stored in master intake or application_deadline fields.,2026-08-21
prog_hk_028,uni_hk_010,Bachelor of Science with Honours in Applied Data Science,Bachelor,https://adsci.hksyu.edu/programme/BSc-ADS/programme-overview,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,First-Year Entry - Other / Overseas Qualifications,2027/28,Target 2027/28 exact schedule not yet safely verified,HKSYU Undergraduate Admissions - First-Year Entry,https://uao.hksyu.edu/en/student-admission/first-year,HKSYU accepts applicants with overseas academic qualifications for individual assessment. Current official undergraduate admissions materials reviewed on 2026-08-21 remain associated with the 2026/27 entry cycle. A safely attributable exact 2027/28 deadline for non-local applicants with overseas qualifications was not yet verified.,Target admission cycle is 2027/28. The reviewed official material does not yet provide a safely attributable exact 2027/28 programme schedule. Previous-cycle dates are therefore preserved as evidence only and are not stored in master intake or application_deadline fields.,2026-08-21
prog_hk_029,uni_hk_010,Bachelor of Commerce (Honours) in Financial Technology,Bachelor,https://ef.hksyu.edu/Programmes/BCom-in-FinTech,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,First-Year Entry - Other / Overseas Qualifications,2027/28,Target 2027/28 exact schedule not yet safely verified,HKSYU Undergraduate Admissions - First-Year Entry,https://uao.hksyu.edu/en/student-admission/first-year,HKSYU accepts applicants with overseas academic qualifications for individual assessment. Current official undergraduate admissions materials reviewed on 2026-08-21 remain associated with the 2026/27 entry cycle. A safely attributable exact 2027/28 deadline for non-local applicants with overseas qualifications was not yet verified.,Target admission cycle is 2027/28. The reviewed official material does not yet provide a safely attributable exact 2027/28 programme schedule. Previous-cycle dates are therefore preserved as evidence only and are not stored in master intake or application_deadline fields.,2026-08-21
prog_hk_030,uni_hk_010,Bachelor of Social Sciences (Honours) in Psychology,Bachelor,https://counpsy.hksyu.edu/,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,First-Year Entry - Other / Overseas Qualifications,2027/28,Target 2027/28 exact schedule not yet safely verified,HKSYU Undergraduate Admissions - First-Year Entry,https://uao.hksyu.edu/en/student-admission/first-year,HKSYU accepts applicants with overseas academic qualifications for individual assessment. Current official undergraduate admissions materials reviewed on 2026-08-21 remain associated with the 2026/27 entry cycle. A safely attributable exact 2027/28 deadline for non-local applicants with overseas qualifications was not yet verified.,Target admission cycle is 2027/28. The reviewed official material does not yet provide a safely attributable exact 2027/28 programme schedule. Previous-cycle dates are therefore preserved as evidence only and are not stored in master intake or application_deadline fields.,2026-08-21
prog_hk_031,uni_hk_011,Bachelor of Science (Honours) in Applied Computing,Bachelor,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/hkdse-sssdp/admission-policy/bachelor-of-science-hons-in-applied-computing-jssh03/,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,Year 1 Entry - International Qualifications,2027/28,Target 2027/28 exact schedule not yet safely verified,HSUHK International Qualifications - Important Dates,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/international-qualification/important-dates/,"HSUHK's current official important-dates page publishes September intake for 2026 admissions. Applications opened 15 Nov 2025 and the non-local deadline was 10 Jun 2026, with Semester 1 beginning in Sep 2026. No exact 2027/28 schedule was published on the reviewed official source.",The target master record is for the 2027/28 admission cycle. Current official material still reflects the previous/current cycle or does not provide a safely attributable exact 2027/28 deadline. No prior-cycle date is stored as a 2027 intake or application deadline.,2026-08-21
prog_hk_032,uni_hk_011,Bachelor of Science (Honours) in Data Science and Business Intelligence,Bachelor,https://msi.hsu.edu.hk/en/dsbi/programme-information/,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,Year 1 Entry - International Qualifications,2027/28,Target 2027/28 exact schedule not yet safely verified,HSUHK International Qualifications - Important Dates,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/international-qualification/important-dates/,"HSUHK's current official important-dates page publishes September intake for 2026 admissions. Applications opened 15 Nov 2025 and the non-local deadline was 10 Jun 2026, with Semester 1 beginning in Sep 2026. No exact 2027/28 schedule was published on the reviewed official source.",The target master record is for the 2027/28 admission cycle. Current official material still reflects the previous/current cycle or does not provide a safely attributable exact 2027/28 deadline. No prior-cycle date is stored as a 2027 intake or application deadline.,2026-08-21
prog_hk_033,uni_hk_011,Bachelor of Science (Honours) in Business Analytics and Information Management,Bachelor,https://scm.hsu.edu.hk/baim-msim-programme-overview/,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,Year 1 Entry - International Qualifications,2027/28,Target 2027/28 exact schedule not yet safely verified,HSUHK International Qualifications - Important Dates,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/international-qualification/important-dates/,"HSUHK's current official important-dates page publishes September intake for 2026 admissions. Applications opened 15 Nov 2025 and the non-local deadline was 10 Jun 2026, with Semester 1 beginning in Sep 2026. No exact 2027/28 schedule was published on the reviewed official source.",The target master record is for the 2027/28 admission cycle. Current official material still reflects the previous/current cycle or does not provide a safely attributable exact 2027/28 deadline. No prior-cycle date is stored as a 2027 intake or application deadline.,2026-08-21
prog_hk_034,uni_hk_012,Bachelor of Science (Hons) in Computer Science,Bachelor,https://cs.chuhai.edu.hk/home/?lang=en,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,Undergraduate - Non-local - International Qualifications,2027/28,Target 2027/28 exact schedule not yet safely verified,Hong Kong Chu Hai College - International Qualifications,https://chuhai.edu.hk/en/overseas-candidates,Chu Hai's current official international qualifications page publishes the 2026/27 admission cycle. Non-local applications run from 20 Oct 2025 to 26 Jun 2026. No verified exact 2027/28 application period was published on the reviewed official page.,The target master record is for the 2027/28 admission cycle. Current official material still reflects the previous/current cycle or does not provide a safely attributable exact 2027/28 deadline. No prior-cycle date is stored as a 2027 intake or application deadline.,2026-08-21
prog_hk_035,uni_hk_012,Bachelor of Business Administration (Hons) in Finance and Information Management,Bachelor,https://fne.chuhai.edu.hk/?page_id=142,,,REVIEWED_UNRESOLVED,Non-local / international undergraduate applicant,Undergraduate - Non-local - International Qualifications,2027/28,Target 2027/28 exact schedule not yet safely verified,Hong Kong Chu Hai College - International Qualifications,https://chuhai.edu.hk/en/overseas-candidates,Chu Hai's current official international qualifications page publishes the 2026/27 admission cycle. Non-local applications run from 20 Oct 2025 to 26 Jun 2026. No verified exact 2027/28 application period was published on the reviewed official page.,The target master record is for the 2027/28 admission cycle. Current official material still reflects the previous/current cycle or does not provide a safely attributable exact 2027/28 deadline. No prior-cycle date is stored as a 2027 intake or application deadline.,2026-08-21
