program_id,university_id,program_name,degree_level,schedule_status,stored_intake,stored_application_deadline,source_name,source_url,schedule_evidence,storage_reason,verified_at
prog_jp_011,uni_jp_004,System Information Sciences,Master,Stored - Directly Verified,April 2027,2026-07-08,Tohoku University GSIS 2027 Two-Year Master's Admission,https://www.math.is.tohoku.ac.jp/english/admission/index.html,"AY2027 Master's application period was June 26 to July 8, 2026.",Current official schedule maps safely to this seed program/admission route.,2026-08-09
prog_jp_012,uni_jp_004,Applied Information Sciences,Master,Stored - Directly Verified,April 2027,2026-07-08,Tohoku University GSIS 2027 Two-Year Master's Admission,https://www.math.is.tohoku.ac.jp/english/admission/index.html,"AY2027 Master's application period was June 26 to July 8, 2026.",Current official schedule maps safely to this seed program/admission route.,2026-08-09
prog_jp_013,uni_jp_005,Mathematical Informatics,Master,Stored - Directly Verified,April 2027,2026-06-18,Nagoya University Graduate School of Informatics 2027 Master's Admission,https://www.i.nagoya-u.ac.jp/en/gs/entranceexamination/,"First calling for Mathematical Informatics accepted applications June 12-18, 2026.",Current official schedule maps safely to this seed program/admission route.,2026-08-09
prog_jp_014,uni_jp_005,Computing and Software Systems,Master,Reviewed - Exact Deadline Not Stored,,,Existing official program source,https://www.i.nagoya-u.ac.jp/en/graduate-school-of-informatics/,Program source retained.,No single current program-level intake and deadline pair was safely verified in this step.,2026-08-09
prog_jp_015,uni_jp_005,Intelligent Systems,Master,Reviewed - Exact Deadline Not Stored,,,Existing official program source,https://www.i.nagoya-u.ac.jp/en/graduate-school-of-informatics/,Program source retained.,No single current program-level intake and deadline pair was safely verified in this step.,2026-08-09
prog_jp_016,uni_jp_006,International Master's/Doctoral Program in Information Science and Technology,Master,Reviewed - Route Dependent,,,Kyushu University International Graduate Programs,https://www.isc.kyushu-u.ac.jp/graduate/,Program-level admission information is available through individual graduate schools.,A common current deadline for all three seed programs was not safely verified.,2026-08-09
prog_jp_017,uni_jp_006,International Master's/Doctoral Program in Electrical and Electronic Engineering,Master,Reviewed - Route Dependent,,,Kyushu University International Graduate Programs,https://www.isc.kyushu-u.ac.jp/graduate/,Program-level admission information is available through individual graduate schools.,A common current deadline for all three seed programs was not safely verified.,2026-08-09
prog_jp_018,uni_jp_006,Master's Program in the Department of Design (Acoustic Design Course),Master,Reviewed - Route Dependent,,,Kyushu University International Graduate Programs,https://www.isc.kyushu-u.ac.jp/graduate/,Program-level admission information is available through individual graduate schools.,A common current deadline for all three seed programs was not safely verified.,2026-08-09
prog_jp_019,uni_jp_007,Computer Science and Information Technology,Master,Reviewed - Route Dependent,,,Hokkaido University IST Admissions,https://www.ist.hokudai.ac.jp/examinfo/,Graduate admission information is published by examination cycle.,No single program-level deadline is applied without current route-specific verification.,2026-08-09
prog_jp_020,uni_jp_007,Media and Network Technologies,Master,Reviewed - Route Dependent,,,Hokkaido University IST Admissions,https://www.ist.hokudai.ac.jp/examinfo/,Graduate admission information is published by examination cycle.,No single program-level deadline is applied without current route-specific verification.,2026-08-09
prog_jp_021,uni_jp_007,Systems Science and Informatics,Master,Reviewed - Route Dependent,,,Hokkaido University IST Admissions,https://www.ist.hokudai.ac.jp/examinfo/,Graduate admission information is published by examination cycle.,No single program-level deadline is applied without current route-specific verification.,2026-08-09
prog_jp_022,uni_jp_008,Graduate major in Computer Science,Master,Stored - Directly Verified,Spring 2027,2026-10-11,Science Tokyo IGP(C) Spring 2027,https://admissions.isct.ac.jp/en/013/graduate/programs/science-and-engineering/igp-c,"Computer Science participates in IGP(C). Application deadline is October 11, 2026 at 23:59 JST.",Current official schedule maps safely to this seed program/admission route.,2026-08-09
prog_jp_023,uni_jp_008,Graduate major in Mathematical and Computing Science,Master,Stored - Directly Verified,Spring 2027,2026-10-11,Science Tokyo IGP(C) Spring 2027,https://admissions.isct.ac.jp/en/013/graduate/programs/science-and-engineering/igp-c,"Mathematical and Computing Science participates in IGP(C). Application deadline is October 11, 2026.",Current official schedule maps safely to this seed program/admission route.,2026-08-09
prog_jp_024,uni_jp_008,Graduate major in Artificial Intelligence,Master,Reviewed - Exact Deadline Not Stored,,,Existing official program source,https://www.isct.ac.jp/en/001/about/organizations/school-of-computing,Program source retained.,No single current program-level intake and deadline pair was safely verified in this step.,2026-08-09
prog_jp_025,uni_jp_009,Computer Science,Master,Reviewed - Route Dependent,,,University of Tsukuba Graduate Admissions,https://www.sie.tsukuba.ac.jp/eng/exam/applicants/entra/,"Multiple selection processes exist, including general and special international selections.",Programs can have different selection routes and schedules.,2026-08-09
prog_jp_026,uni_jp_009,Intelligent and Mechanical Interaction Systems,Master,Reviewed - Route Dependent,,,University of Tsukuba Graduate Admissions,https://www.sie.tsukuba.ac.jp/eng/exam/applicants/entra/,"Multiple selection processes exist, including general and special international selections.",Programs can have different selection routes and schedules.,2026-08-09
prog_jp_027,uni_jp_009,Empowerment Informatics,PhD,Reviewed - Route Dependent,,,University of Tsukuba Graduate Admissions,https://www.sie.tsukuba.ac.jp/eng/exam/applicants/entra/,"Multiple selection processes exist, including general and special international selections.",Programs can have different selection routes and schedules.,2026-08-09
prog_jp_028,uni_jp_010,Computer Science and Systems Engineering,Bachelor,Reviewed - Route Dependent,,,Kobe University System Informatics Admissions,https://www.csi.kobe-u.ac.jp/,Multiple April/October admission rounds are published.,Multiple rounds mean one deadline cannot safely represent the whole program.,2026-08-09
prog_jp_029,uni_jp_010,System Informatics,Master,Reviewed - Route Dependent,,,Kobe University System Informatics Admissions,https://www.csi.kobe-u.ac.jp/,Multiple April/October admission rounds are published.,Multiple rounds mean one deadline cannot safely represent the whole program.,2026-08-09
prog_jp_030,uni_jp_010,System Informatics,PhD,Reviewed - Route Dependent,,,Kobe University System Informatics Admissions,https://www.csi.kobe-u.ac.jp/,Multiple April/October admission rounds are published.,Multiple rounds mean one deadline cannot safely represent the whole program.,2026-08-09
prog_jp_031,uni_jp_011,Pure and Applied Mathematics,Master,Stored - Directly Verified,April 2027,2026-10-22,Waseda English-based Graduate Program April 2027,https://www.waseda.jp/fsci/assets/uploads/2025/12/ApplicationGuidelines_20251119.pdf,"April 2027 AO admission application period ends October 22, 2026.",Current official schedule maps safely to this seed program/admission route.,2026-08-09
prog_jp_032,uni_jp_011,Computer Science and Communications Engineering,Master,Stored - Directly Verified,April 2027,2026-10-22,Waseda English-based Graduate Program April 2027,https://www.waseda.jp/fsci/assets/uploads/2025/12/ApplicationGuidelines_20251119.pdf,"April 2027 AO admission application period ends October 22, 2026.",Current official schedule maps safely to this seed program/admission route.,2026-08-09
prog_jp_033,uni_jp_011,Intermedia Studies,Master,Stored - Directly Verified,April 2027,2026-10-22,Waseda English-based Graduate Program April 2027,https://www.waseda.jp/fsci/assets/uploads/2025/12/ApplicationGuidelines_20251119.pdf,"April 2027 AO admission application period ends October 22, 2026.",Current official schedule maps safely to this seed program/admission route.,2026-08-09
prog_jp_034,uni_jp_012,International Graduate Program,Master,Reviewed - Route Dependent,,,Keio Science and Technology Graduate Admissions,https://www.keio.ac.jp/en/st/admissions-en/,IGP and Double Degree pathways use different application routes.,"Do not apply one deadline across IGP Master's, IGP Doctoral and Double Degree records.",2026-08-09
prog_jp_035,uni_jp_012,International Graduate Program,PhD,Reviewed - Route Dependent,,,Keio Science and Technology Graduate Admissions,https://www.keio.ac.jp/en/st/admissions-en/,IGP and Double Degree pathways use different application routes.,"Do not apply one deadline across IGP Master's, IGP Doctoral and Double Degree records.",2026-08-09
prog_jp_036,uni_jp_012,Double Degree Program,Master,Reviewed - Route Dependent,,,Keio Science and Technology Graduate Admissions,https://www.keio.ac.jp/en/st/admissions-en/,IGP and Double Degree pathways use different application routes.,"Do not apply one deadline across IGP Master's, IGP Doctoral and Double Degree records.",2026-08-09
