program_id,university_id,program_name,degree_level,program_url,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,requirements_research_status,gpa_status,english_status,accepted_tests,numeric_minimum_status,requirements_source_name,requirements_source_url,requirements_reason,verified_at
prog_hk_015,uni_hk_005,BBA Global Business,Bachelor,https://www.cityu.edu.hk/admo/programmes/bba-global-business,,,6.5,79,VERIFIED,No universal numeric GPA minimum verified; academic entry requirements depend on the qualification and admission route.,General undergraduate English minimum verified.,IELTS; TOEFL iBT,IELTS 6.5 and TOEFL iBT 79 verified; universal GPA minimum not stored.,CityUHK Undergraduate Admissions FAQ,https://www.cityu.edu.hk/admo/faq,CityUHK official undergraduate admissions FAQ specifies IELTS overall 6.5 or TOEFL iBT 79 for applicants whose entrance qualification was obtained in a language other than English. No universal GPA is stored.,2026-08-21
prog_hk_016,uni_hk_006,Bachelor of Science (Hons) in Business Computing and Data Analytics,Bachelor,https://admissions.hkbu.edu.hk/programmes/faculty-of-science/bachelor-of-science-hons-in-business-computing-and-data-analytics-year1.html,,,6.0,79,VERIFIED,No universal numeric GPA minimum verified. Academic entrance requirements depend on the applicant's qualification or region.,General international undergraduate English minimum verified.,IELTS Academic; TOEFL iBT; other recognised English qualifications,IELTS Academic 6.0 and TOEFL iBT 79 verified. No universal GPA value stored.,HKBU Undergraduate Admissions - International Qualifications,https://admissions.hkbu.edu.hk/admissions/international-qualifications.html,HKBU official international admissions requirements specify IELTS Academic 6.0 and TOEFL iBT 79. Myanmar academic entry is qualification-based rather than based on one universal GPA threshold.,2026-08-21
prog_hk_017,uni_hk_006,Bachelor of Business Administration (Hons),Bachelor,https://admissions.hkbu.edu.hk/programmes/school-of-business/bachelor-of-business-administration-hons-year1.html,,,6.0,79,VERIFIED,No universal numeric GPA minimum verified. Academic entrance requirements depend on the applicant's qualification or region.,General international undergraduate English minimum verified.,IELTS Academic; TOEFL iBT; other recognised English qualifications,IELTS Academic 6.0 and TOEFL iBT 79 verified. No universal GPA value stored.,HKBU Undergraduate Admissions - International Qualifications,https://admissions.hkbu.edu.hk/admissions/international-qualifications.html,HKBU official international admissions requirements specify IELTS Academic 6.0 and TOEFL iBT 79. Myanmar academic entry is qualification-based rather than based on one universal GPA threshold.,2026-08-21
prog_hk_018,uni_hk_006,Bachelor of Communication (Hons) (Journalism and Digital Media / Public Relations and Advertising),Bachelor,https://admissions.hkbu.edu.hk/programmes/school-of-communication/bachelor-of-communication-hons-journalism-and-digital-media-public-relations-and-advertising-year1.html,,,6.0,79,VERIFIED,No universal numeric GPA minimum verified. Academic entrance requirements depend on the applicant's qualification or region.,General international undergraduate English minimum verified.,IELTS Academic; TOEFL iBT; other recognised English qualifications,IELTS Academic 6.0 and TOEFL iBT 79 verified. No universal GPA value stored.,HKBU Undergraduate Admissions - International Qualifications,https://admissions.hkbu.edu.hk/admissions/international-qualifications.html,HKBU official international admissions requirements specify IELTS Academic 6.0 and TOEFL iBT 79. Myanmar academic entry is qualification-based rather than based on one universal GPA threshold.,2026-08-21
prog_hk_019,uni_hk_007,Bachelor of Science (Honours) in Data Science,Bachelor,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/data-science,,,6.0,,VERIFIED,No universal numeric GPA minimum verified. Academic thresholds are qualification-specific.,"IELTS Academic minimum verified. TOEFL is recognised, but a current numeric cutoff was not independently verified in this evidence pass.",IELTS Academic; TOEFL; other recognised English qualifications,IELTS Academic 6.0 stored. TOEFL numeric field intentionally left blank rather than inferring a current cutoff.,Lingnan Undergraduate Admissions - International Qualifications,https://www.ln.edu.hk/admissions/ug/apply-now/overseas-and-mainland-applicants-holding-international-qualifications,Lingnan's official international-qualifications admissions information confirms IELTS Academic overall 6.0 and recognises TOEFL. This pass does not store a TOEFL number without sufficiently clear current official numeric evidence. No universal GPA is stored.,2026-08-21
prog_hk_020,uni_hk_007,Bachelor of Social Sciences (Honours) - Government and International Affairs,Bachelor,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/government-and-international-affairs,,,6.0,,VERIFIED,No universal numeric GPA minimum verified. Academic thresholds are qualification-specific.,"IELTS Academic minimum verified. TOEFL is recognised, but a current numeric cutoff was not independently verified in this evidence pass.",IELTS Academic; TOEFL; other recognised English qualifications,IELTS Academic 6.0 stored. TOEFL numeric field intentionally left blank rather than inferring a current cutoff.,Lingnan Undergraduate Admissions - International Qualifications,https://www.ln.edu.hk/admissions/ug/apply-now/overseas-and-mainland-applicants-holding-international-qualifications,Lingnan's official international-qualifications admissions information confirms IELTS Academic overall 6.0 and recognises TOEFL. This pass does not store a TOEFL number without sufficiently clear current official numeric evidence. No universal GPA is stored.,2026-08-21
prog_hk_021,uni_hk_007,Bachelor of Social Sciences (Honours) - Social Data Science,Bachelor,https://www.ln.edu.hk/admissions/ug/programme/jupas-applicants/social-data-science,,,6.0,,VERIFIED,No universal numeric GPA minimum verified. Academic thresholds are qualification-specific.,"IELTS Academic minimum verified. TOEFL is recognised, but a current numeric cutoff was not independently verified in this evidence pass.",IELTS Academic; TOEFL; other recognised English qualifications,IELTS Academic 6.0 stored. TOEFL numeric field intentionally left blank rather than inferring a current cutoff.,Lingnan Undergraduate Admissions - International Qualifications,https://www.ln.edu.hk/admissions/ug/apply-now/overseas-and-mainland-applicants-holding-international-qualifications,Lingnan's official international-qualifications admissions information confirms IELTS Academic overall 6.0 and recognises TOEFL. This pass does not store a TOEFL number without sufficiently clear current official numeric evidence. No universal GPA is stored.,2026-08-21
prog_hk_022,uni_hk_008,Bachelor of Science (Honours) in Artificial Intelligence and Educational Technology,Bachelor,https://www.apply.eduhk.hk/ug/programmes/aiet,,,6.0,,VERIFIED,No universal numeric GPA minimum verified. General entrance thresholds depend on the applicant's international qualification.,IELTS requirement verified. TOEFL requirement is verified but uses different score scales depending on the test date.,IELTS Academic; TOEFL iBT; PTE Academic; other recognised tests,IELTS Academic 6.0 stored. TOEFL numeric field left blank because EdUHK specifies 80 for tests before 21 January 2026 and 4 for tests on or after 21 January 2026.,EdUHK International Qualifications - Entrance Requirements,https://www.apply.eduhk.hk/ug/nonlocal,"EdUHK official international undergraduate requirements specify IELTS Academic 6.0. TOEFL uses a test-date-dependent score scale, which cannot be represented safely by the current single numeric EduPath TOEFL field. No universal GPA is stored.",2026-08-21
prog_hk_023,uni_hk_008,Bachelor of Arts (Honours) in English Studies and Digital Communication,Bachelor,https://www.apply.eduhk.hk/ug/programmes/esdc/,,,6.0,,VERIFIED,No universal numeric GPA minimum verified. General entrance thresholds depend on the applicant's international qualification.,IELTS requirement verified. TOEFL requirement is verified but uses different score scales depending on the test date.,IELTS Academic; TOEFL iBT; PTE Academic; other recognised tests,IELTS Academic 6.0 stored. TOEFL numeric field left blank because EdUHK specifies 80 for tests before 21 January 2026 and 4 for tests on or after 21 January 2026.,EdUHK International Qualifications - Entrance Requirements,https://www.apply.eduhk.hk/ug/nonlocal,"EdUHK official international undergraduate requirements specify IELTS Academic 6.0. TOEFL uses a test-date-dependent score scale, which cannot be represented safely by the current single numeric EduPath TOEFL field. No universal GPA is stored.",2026-08-21
prog_hk_024,uni_hk_008,Bachelor of Social Sciences (Honours) in Psychology,Bachelor,https://www.apply.eduhk.hk/ug/programmes/psy,,,6.0,,VERIFIED,No universal numeric GPA minimum verified. General entrance thresholds depend on the applicant's international qualification.,IELTS requirement verified. TOEFL requirement is verified but uses different score scales depending on the test date.,IELTS Academic; TOEFL iBT; PTE Academic; other recognised tests,IELTS Academic 6.0 stored. TOEFL numeric field left blank because EdUHK specifies 80 for tests before 21 January 2026 and 4 for tests on or after 21 January 2026.,EdUHK International Qualifications - Entrance Requirements,https://www.apply.eduhk.hk/ug/nonlocal,"EdUHK official international undergraduate requirements specify IELTS Academic 6.0. TOEFL uses a test-date-dependent score scale, which cannot be represented safely by the current single numeric EduPath TOEFL field. No universal GPA is stored.",2026-08-21
prog_hk_025,uni_hk_009,Bachelor of Science with Honours in Computing,Bachelor,https://admissions.hkmu.edu.hk/ug/st/bachelor-of-science-with-honours-in-computing/,,,6.0,79,VERIFIED,No universal numeric GPA minimum verified. General academic entrance requirements vary by qualification.,General full-time undergraduate English minimum verified.,IELTS Academic; TOEFL; other recognised English qualifications,IELTS Academic 6.0 and TOEFL iBT 79 verified. No universal GPA value stored.,HKMU Undergraduate Admissions - Entry Requirements,https://admissions.hkmu.edu.hk/ug/entry_requirements/,"HKMU official undergraduate entry requirements specify IELTS Academic 6.0 and TOEFL iBT 79. Academic entry requirements are based on the applicant's qualification, so no universal GPA threshold is stored.",2026-08-21
prog_hk_026,uni_hk_009,Bachelor of Business Administration with Honours in Business Management,Bachelor,https://admissions.hkmu.edu.hk/ug/ba/business-management/,,,6.0,79,VERIFIED,No universal numeric GPA minimum verified. General academic entrance requirements vary by qualification.,General full-time undergraduate English minimum verified.,IELTS Academic; TOEFL; other recognised English qualifications,IELTS Academic 6.0 and TOEFL iBT 79 verified. No universal GPA value stored.,HKMU Undergraduate Admissions - Entry Requirements,https://admissions.hkmu.edu.hk/ug/entry_requirements/,"HKMU official undergraduate entry requirements specify IELTS Academic 6.0 and TOEFL iBT 79. Academic entry requirements are based on the applicant's qualification, so no universal GPA threshold is stored.",2026-08-21
prog_hk_027,uni_hk_009,Bachelor of Business Administration with Honours in Finance and Financial Technology,Bachelor,https://admissions.hkmu.edu.hk/ug/ba/finance-and-financial-technology/,,,6.0,79,VERIFIED,No universal numeric GPA minimum verified. General academic entrance requirements vary by qualification.,General full-time undergraduate English minimum verified.,IELTS Academic; TOEFL; other recognised English qualifications,IELTS Academic 6.0 and TOEFL iBT 79 verified. No universal GPA value stored.,HKMU Undergraduate Admissions - Entry Requirements,https://admissions.hkmu.edu.hk/ug/entry_requirements/,"HKMU official undergraduate entry requirements specify IELTS Academic 6.0 and TOEFL iBT 79. Academic entry requirements are based on the applicant's qualification, so no universal GPA threshold is stored.",2026-08-21
prog_hk_028,uni_hk_010,Bachelor of Science with Honours in Applied Data Science,Bachelor,https://adsci.hksyu.edu/programme/BSc-ADS/programme-overview,,,5.5,79,VERIFIED,No universal numeric GPA minimum verified for all international undergraduate applicants.,Non-local undergraduate English minimum verified.,IELTS; TOEFL iBT; other recognised international examinations,IELTS 5.5 and TOEFL iBT 79 verified. No universal GPA value stored.,HKSYU University Admissions Office - Non-Local International Students,https://uao.hksyu.edu/en/student-admission/non-local_international,HKSYU official international admissions information states a minimum IELTS score of 5.5 or TOEFL internet-based score of 79 for non-local applicants. No universal numeric GPA requirement is stored.,2026-08-21
prog_hk_029,uni_hk_010,Bachelor of Commerce (Honours) in Financial Technology,Bachelor,https://ef.hksyu.edu/Programmes/BCom-in-FinTech,,,5.5,79,VERIFIED,No universal numeric GPA minimum verified for all international undergraduate applicants.,Non-local undergraduate English minimum verified.,IELTS; TOEFL iBT; other recognised international examinations,IELTS 5.5 and TOEFL iBT 79 verified. No universal GPA value stored.,HKSYU University Admissions Office - Non-Local International Students,https://uao.hksyu.edu/en/student-admission/non-local_international,HKSYU official international admissions information states a minimum IELTS score of 5.5 or TOEFL internet-based score of 79 for non-local applicants. No universal numeric GPA requirement is stored.,2026-08-21
prog_hk_030,uni_hk_010,Bachelor of Social Sciences (Honours) in Psychology,Bachelor,https://counpsy.hksyu.edu/,,,5.5,79,VERIFIED,No universal numeric GPA minimum verified for all international undergraduate applicants.,Non-local undergraduate English minimum verified.,IELTS; TOEFL iBT; other recognised international examinations,IELTS 5.5 and TOEFL iBT 79 verified. No universal GPA value stored.,HKSYU University Admissions Office - Non-Local International Students,https://uao.hksyu.edu/en/student-admission/non-local_international,HKSYU official international admissions information states a minimum IELTS score of 5.5 or TOEFL internet-based score of 79 for non-local applicants. No universal numeric GPA requirement is stored.,2026-08-21
prog_hk_031,uni_hk_011,Bachelor of Science (Honours) in Applied Computing,Bachelor,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/hkdse-sssdp/admission-policy/bachelor-of-science-hons-in-applied-computing-jssh03/,,,5.5,70,VERIFIED,No universal numeric GPA minimum verified for Year 1 international admission. Academic entry requirements depend on the applicant's qualification.,General English requirement for overseas Year 1 applicants verified.,IELTS Academic; TOEFL iBT; TOEFL PBT; other recognised qualification-specific English results,IELTS Academic 5.5 and TOEFL iBT 70 verified. No universal GPA value stored.,HSUHK International Qualifications - Year 1 Entrance Requirements,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/international-qualification/entrance-requirements/,"HSUHK official Year 1 international qualification requirements specify IELTS Academic overall 5.5 or TOEFL iBT 70. Academic requirements vary by qualification, so no universal numeric GPA is stored.",2026-08-21
prog_hk_032,uni_hk_011,Bachelor of Science (Honours) in Data Science and Business Intelligence,Bachelor,https://msi.hsu.edu.hk/en/dsbi/programme-information/,,,5.5,70,VERIFIED,No universal numeric GPA minimum verified for Year 1 international admission. Academic entry requirements depend on the applicant's qualification.,General English requirement for overseas Year 1 applicants verified.,IELTS Academic; TOEFL iBT; TOEFL PBT; other recognised qualification-specific English results,IELTS Academic 5.5 and TOEFL iBT 70 verified. No universal GPA value stored.,HSUHK International Qualifications - Year 1 Entrance Requirements,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/international-qualification/entrance-requirements/,"HSUHK official Year 1 international qualification requirements specify IELTS Academic overall 5.5 or TOEFL iBT 70. Academic requirements vary by qualification, so no universal numeric GPA is stored.",2026-08-21
prog_hk_033,uni_hk_011,Bachelor of Science (Honours) in Business Analytics and Information Management,Bachelor,https://scm.hsu.edu.hk/baim-msim-programme-overview/,,,5.5,70,VERIFIED,No universal numeric GPA minimum verified for Year 1 international admission. Academic entry requirements depend on the applicant's qualification.,General English requirement for overseas Year 1 applicants verified.,IELTS Academic; TOEFL iBT; TOEFL PBT; other recognised qualification-specific English results,IELTS Academic 5.5 and TOEFL iBT 70 verified. No universal GPA value stored.,HSUHK International Qualifications - Year 1 Entrance Requirements,https://admission.hsu.edu.hk/undergraduate-admissions/year-1-entry/international-qualification/entrance-requirements/,"HSUHK official Year 1 international qualification requirements specify IELTS Academic overall 5.5 or TOEFL iBT 70. Academic requirements vary by qualification, so no universal numeric GPA is stored.",2026-08-21
prog_hk_034,uni_hk_012,Bachelor of Science (Hons) in Computer Science,Bachelor,https://cs.chuhai.edu.hk/home/?lang=en,,,5.5,,VERIFIED,No universal numeric GPA minimum verified. Academic entry requirements are based on the applicant's international qualification.,IELTS and TOEFL requirements verified. TOEFL uses different official score scales depending on the test-result date.,IELTS; TOEFL; ACT; AP; GCE/IAL; GCSE/IGCSE; IB; SAT; SPM/STPM; UEC,IELTS overall 5.5 stored. TOEFL numeric field intentionally blank because the official requirement is 70 on the older iBT scale or 3.5 for results obtained after 21 January 2026.,Hong Kong Chu Hai College - International Qualifications,https://chuhai.edu.hk/en/overseas-candidates,"Hong Kong Chu Hai College official international undergraduate requirements specify IELTS 5.5. TOEFL has a test-date-dependent score scale, which cannot be represented safely by EduPath's single numeric TOEFL field. No universal GPA value is stored.",2026-08-21
prog_hk_035,uni_hk_012,Bachelor of Business Administration (Hons) in Finance and Information Management,Bachelor,https://fne.chuhai.edu.hk/?page_id=142,,,5.5,,VERIFIED,No universal numeric GPA minimum verified. Academic entry requirements are based on the applicant's international qualification.,IELTS and TOEFL requirements verified. TOEFL uses different official score scales depending on the test-result date.,IELTS; TOEFL; ACT; AP; GCE/IAL; GCSE/IGCSE; IB; SAT; SPM/STPM; UEC,IELTS overall 5.5 stored. TOEFL numeric field intentionally blank because the official requirement is 70 on the older iBT scale or 3.5 for results obtained after 21 January 2026.,Hong Kong Chu Hai College - International Qualifications,https://chuhai.edu.hk/en/overseas-candidates,"Hong Kong Chu Hai College official international undergraduate requirements specify IELTS 5.5. TOEFL has a test-date-dependent score scale, which cannot be represented safely by EduPath's single numeric TOEFL field. No universal GPA value is stored.",2026-08-21
prog_hk_036,uni_hk_012,Bachelor of Arts (Hons) in Communication and Digital Media,Bachelor,https://jcm.chuhai.edu.hk/bachelor-of-arts-hons-in-communication-and-digital-media/,,,5.5,,VERIFIED,No universal numeric GPA minimum verified. Academic entry requirements are based on the applicant's international qualification.,IELTS and TOEFL requirements verified. TOEFL uses different official score scales depending on the test-result date.,IELTS; TOEFL; ACT; AP; GCE/IAL; GCSE/IGCSE; IB; SAT; SPM/STPM; UEC,IELTS overall 5.5 stored. TOEFL numeric field intentionally blank because the official requirement is 70 on the older iBT scale or 3.5 for results obtained after 21 January 2026.,Hong Kong Chu Hai College - International Qualifications,https://chuhai.edu.hk/en/overseas-candidates,"Hong Kong Chu Hai College official international undergraduate requirements specify IELTS 5.5. TOEFL has a test-date-dependent score scale, which cannot be represented safely by EduPath's single numeric TOEFL field. No universal GPA value is stored.",2026-08-21
