program_id,university_id,university_name,program_name,official_program_url,official_department_source,international_application_url,verification_status,notes
prog_cn_106,uni_cn_036,Northeast Forestry University,Forestry,,,,PENDING_URL_VERIFICATION,Awaiting official URL evidence collection
prog_cn_107,uni_cn_036,Northeast Forestry University,Wildlife Conservation,,,,PENDING_URL_VERIFICATION,Awaiting official URL evidence collection
prog_cn_108,uni_cn_036,Northeast Forestry University,Environmental Science,,,,PENDING_URL_VERIFICATION,Awaiting official URL evidence collection
prog_cn_109,uni_cn_037,East China University of Science and Technology,Chemical Engineering,,,,PENDING_URL_VERIFICATION,Awaiting official URL evidence collection
prog_cn_110,uni_cn_037,East China University of Science and Technology,Materials Science and Engineering,,,,PENDING_URL_VERIFICATION,Awaiting official URL evidence collection
prog_cn_111,uni_cn_037,East China University of Science and Technology,Computer Science and Technology,,,,PENDING_URL_VERIFICATION,Awaiting official URL evidence collection
prog_cn_112,uni_cn_038,Donghua University,Textile Engineering,,,,PENDING_URL_VERIFICATION,Awaiting official URL evidence collection
prog_cn_113,uni_cn_038,Donghua University,Fashion Design,,,,PENDING_URL_VERIFICATION,Awaiting official URL evidence collection
prog_cn_114,uni_cn_038,Donghua University,Materials Science and Engineering,,,,PENDING_URL_VERIFICATION,Awaiting official URL evidence collection
prog_cn_115,uni_cn_039,East China Normal University,Education,,,,PENDING_URL_VERIFICATION,Awaiting official URL evidence collection
prog_cn_116,uni_cn_039,East China Normal University,Psychology,,,,PENDING_URL_VERIFICATION,Awaiting official URL evidence collection
prog_cn_117,uni_cn_039,East China Normal University,Computer Science and Technology,,,,PENDING_URL_VERIFICATION,Awaiting official URL evidence collection
prog_cn_118,uni_cn_040,Shanghai University of Finance and Economics,Finance,,,,PENDING_URL_VERIFICATION,Awaiting official URL evidence collection
prog_cn_119,uni_cn_040,Shanghai University of Finance and Economics,Economics,,,,PENDING_URL_VERIFICATION,Awaiting official URL evidence collection
prog_cn_120,uni_cn_040,Shanghai University of Finance and Economics,Business Administration,,,,PENDING_URL_VERIFICATION,Awaiting official URL evidence collection
